target_id,run_id,truth,prediction
r2_s14000_l1,2,0.007740162037037,0.0007372463818480259
r2_s14000_l2,2,0.0028211805555555,-0.010915548972000588
r2_s14000_l3,2,-0.0341435185185184,-0.022006653398660772
r2_s14000_l4,2,-0.0138888888888888,-0.02894065613392989
r2_s14000_l6,2,-0.0250289351851851,-0.034532209205608094
r2_s14000_l9,2,-0.0378327546296295,-0.023668130186774772
r2_s14000_l10,2,0.0020254629629629,0.002328110029481998
r2_s72000_l1,2,-0.0008680555555555,0.0005255260633711088
r2_s72000_l2,2,-0.0199652777777777,-0.014997394022360302
r2_s72000_l3,2,-0.0490451388888888,-0.03125814847991404
r2_s72000_l7,2,-0.0407262731481481,-0.04659907604294489
r2_s72000_l9,2,-0.035011574074074,-0.01628781227589502
r2_s72000_l10,2,0.0251012731481481,0.012119475966331127
r2_s143000_l1,2,-0.0036892361111111,-0.001655873821283316
r2_s143000_l2,2,-0.007740162037037,-0.024608172606624814
r2_s143000_l3,2,-0.0593894675925925,-0.029366551230155472
r2_s143000_l4,2,-0.0237991898148148,-0.040020679633857456
r2_s143000_l6,2,-0.0337094907407407,-0.02666183078171038
r2_s143000_l9,2,-0.0167100694444444,-0.026449488939943092
r2_s143000_l10,2,0.0240162037037037,0.012909981793150442
r3_s14000_l1,3,0.0036892361111111,-0.00025764047783887953
r3_s14000_l2,3,-0.017505787037037,-0.00777228555663342
r3_s14000_l3,3,-0.0251012731481481,-0.04058710803025062
r3_s14000_l4,3,-0.0266203703703703,-0.016006896437548622
r3_s14000_l5,3,-0.0141782407407407,-0.023209509681352734
r3_s14000_l8,3,-0.0128761574074074,-0.01911675651570311
r3_s14000_l9,3,-0.0264033564814814,-0.01925764651874258
r3_s14000_l10,3,-0.0052806712962962,0.015592139747348209
r3_s72000_l1,3,0.0108506944444444,0.005583091376209874
r3_s72000_l2,3,-0.0045572916666666,-0.006841144936844214
r3_s72000_l3,3,-0.0324797453703704,-0.0680217059555576
r3_s72000_l4,3,-0.0329861111111111,-0.031408530633521003
r3_s72000_l5,3,-0.0394965277777777,-0.04034999452389377
r3_s72000_l6,3,-0.0380497685185185,-0.03714386357537957
r3_s72000_l8,3,-0.0248119212962963,-0.020009009526022553
r3_s72000_l9,3,-0.0130208333333333,-0.016476239965197252
r3_s72000_l10,3,0.0085358796296296,0.02577721012036411
r3_s143000_l1,3,0.0043402777777777,0.009946071744060758
r3_s143000_l2,3,-0.0169270833333333,-0.004035103480149217
r3_s143000_l3,3,-0.0373263888888889,-0.06125167683184608
