target_id,run_id,truth,prediction
r2_s14000_l1,2,0.007740162037037,0.0045490987117776625
r2_s14000_l2,2,0.0028211805555555,-0.006271131659401073
r2_s14000_l3,2,-0.0341435185185184,-0.016296958423605255
r2_s14000_l4,2,-0.0138888888888888,-0.03207525019111719
r2_s14000_l6,2,-0.0250289351851851,-0.03789502720988777
r2_s14000_l9,2,-0.0378327546296295,-0.02724143529752248
r2_s14000_l10,2,0.0020254629629629,0.006534306309968284
r2_s72000_l1,2,-0.0008680555555555,-0.0016325155964503485
r2_s72000_l2,2,-0.0199652777777777,-0.013671249064748849
r2_s72000_l3,2,-0.0490451388888888,-0.015062177391638912
r2_s72000_l7,2,-0.0407262731481481,-0.04958028470991064
r2_s72000_l9,2,-0.035011574074074,-0.020840593442242848
r2_s72000_l10,2,0.0251012731481481,0.015682163466975547
r2_s143000_l1,2,-0.0036892361111111,-0.005007436976533873
r2_s143000_l2,2,-0.007740162037037,-0.01833414259570932
r2_s143000_l3,2,-0.0593894675925925,-0.011775210118907444
r2_s143000_l4,2,-0.0237991898148148,-0.030183453501233595
r2_s143000_l6,2,-0.0337094907407407,-0.0334508063587822
r2_s143000_l9,2,-0.0167100694444444,-0.016232497889698452
r2_s143000_l10,2,0.0240162037037037,0.01539306831550386
r3_s14000_l1,3,0.0036892361111111,0.003890790518034381
r3_s14000_l2,3,-0.017505787037037,-0.0034122487336819152
r3_s14000_l3,3,-0.0251012731481481,-0.040344715433882565
r3_s14000_l4,3,-0.0266203703703703,-0.027059821582441163
r3_s14000_l5,3,-0.0141782407407407,-0.025423972893796193
r3_s14000_l8,3,-0.0128761574074074,-0.017234904073977313
r3_s14000_l9,3,-0.0264033564814814,-0.025832395009444193
r3_s14000_l10,3,-0.0052806712962962,0.02049285514592255
r3_s72000_l1,3,0.0108506944444444,0.003239256510587679
r3_s72000_l2,3,-0.0045572916666666,-0.01113771289383007
r3_s72000_l3,3,-0.0324797453703704,-0.0566800099346542
r3_s72000_l4,3,-0.0329861111111111,-0.02877966424001572
r3_s72000_l5,3,-0.0394965277777777,-0.02828077480728946
r3_s72000_l6,3,-0.0380497685185185,-0.041764102111325925
r3_s72000_l8,3,-0.0248119212962963,-0.023541082557163487
r3_s72000_l9,3,-0.0130208333333333,-0.022023138050160703
r3_s72000_l10,3,0.0085358796296296,0.023778290061986118
r3_s143000_l1,3,0.0043402777777777,0.003216005253054564
r3_s143000_l2,3,-0.0169270833333333,-0.011990945127325583
r3_s143000_l3,3,-0.0373263888888889,-0.049905913799133034
r3_s143000_l4,3,-0.0380497685185185,-0.020868448267082212
r3_s143000_l5,3,-0.0321180555555555,-0.018602450451720928
r3_s143000_l8,3,0.0026041666666666,-0.010146274649561426
r3_s143000_l10,3,0.023365162037037,0.027022753835721128
r5_s14000_l1,5,0.0012297453703704,0.0002121023678500623
r5_s14000_l2,5,-0.0060040509259259,-0.003015896730799706
r5_s14000_l3,5,-0.0089699074074074,-0.012819312922083957
r5_s14000_l4,5,-0.0322627314814814,-0.030153810748794047
r5_s14000_l8,5,-0.0142505787037037,-0.017351996480507816
r5_s72000_l1,5,0.0188802083333333,-0.0021743266310536276
r5_s72000_l2,5,-0.0055700231481481,-0.008476323756738412
r5_s72000_l4,5,-0.0270543981481481,-0.032311326753566044
r5_s72000_l6,5,-0.0426070601851852,-0.02780202229402254
r5_s72000_l8,5,-0.0146846064814815,-0.01702157426731476
r5_s72000_l10,5,0.015552662037037,0.02129098877053504
r5_s143000_l1,5,0.0003616898148147,-0.0031970154399420933
r5_s143000_l2,5,-0.0217737268518519,-0.015813565313564443
r5_s143000_l4,5,-0.0344328703703703,-0.03943826461940815
r5_s143000_l5,5,-0.033058449074074,-0.02208087217260487
r5_s143000_l6,5,-0.0434027777777777,-0.02693622049404352
r5_s143000_l8,5,-0.0050636574074074,-0.017452958783222807
