epoch,loss,answer_loss,aux_loss
1,5.812568978627523,3.346212402089437,2.4663565753300984
2,3.4627977399190266,2.5797899974822998,0.8830077452977498
3,1.8653382153193157,1.5874644970575968,0.2778737121582031
4,0.8803818381945292,0.8008731166521709,0.0795087265153726
5,0.45325692963600156,0.4259604290008545,0.027296498868862786
6,0.22916389463742573,0.2166612470626831,0.012502647559344769
7,0.12738832483688992,0.12068921533425649,0.00669910932953159
8,0.08151953177054723,0.07719570104082425,0.004323830508937438
9,0.04841078847845395,0.045653695021073026,0.0027570935648245118
10,0.030020393093427022,0.028383454263210296,0.0016369386271263163
11,0.013495928159852823,0.012872413032750288,0.0006235150336443136
12,0.0031696530188123385,0.002878462624984483,0.00029119038190692664
13,0.0017541020983209213,0.0015293619710952044,0.00022474012766809514
14,0.0012743793681884805,0.0010794072149321436,0.00019497215355125566
15,0.0011183010657007495,0.0009392889737462004,0.00017901209195454916
16,0.00102174899186939,0.0008533039929966131,0.00016844499902023624
17,0.0009704101483648022,0.0008083682773324351,0.00016204187073744835
18,0.000951549975387752,0.0007928504865927,0.00015869948864759257
19,0.0009404338440547387,0.0007839542705255251,0.00015647957323429486
20,0.000938308218959719,0.0007827009598724544,0.00015560725923472395
