target_id,run_id,step,layer,family,target_metric,target_value,alpha_min,alpha_max,bracketed,root_alpha,iterations
r3_s14000_l1,3,14000,1,block,kl,0.6331983407338461,0.081171277810375,1.298740444966,True,0.5453143440690995,11
r3_s14000_l1,3,14000,1,block,nll_damage,0.718385034137302,0.081171277810375,1.298740444966,True,0.562561171500962,10
r3_s14000_l1,3,14000,1,noise,kl,0.6331983407338461,0.081171277810375,1.298740444966,True,0.6546664198587056,10
r3_s14000_l1,3,14000,1,noise,nll_damage,0.718385034137302,0.081171277810375,1.298740444966,True,0.649370222483,2
r3_s14000_l2,3,14000,2,block,kl,0.5016940666569604,0.074108215934875,1.185731454958,True,0.46089053792862333,10
r3_s14000_l2,3,14000,2,block,nll_damage,0.5203430122799345,0.074108215934875,1.185731454958,True,0.4565434829277993,11
r3_s14000_l2,3,14000,2,noise,kl,0.5016940666569604,0.074108215934875,1.185731454958,True,0.6009465377093655,10
r3_s14000_l2,3,14000,2,noise,nll_damage,0.5203430122799345,0.074108215934875,1.185731454958,True,0.5646640954474073,9
r3_s14000_l3,3,14000,3,block,kl,1.1653783188925848,0.090438185081,1.447010961296,True,0.5897412344933216,11
r3_s14000_l3,3,14000,3,block,nll_damage,1.2564765877193873,0.090438185081,1.447010961296,True,0.5873509113079693,10
r3_s14000_l3,3,14000,3,noise,kl,1.1653783188925848,0.090438185081,1.447010961296,True,0.7041786298038819,9
r3_s14000_l3,3,14000,3,noise,nll_damage,1.2564765877193873,0.090438185081,1.447010961296,True,0.6928312218719233,6
r3_s14000_l4,3,14000,4,block,kl,0.4211405383216011,0.05775533624375,0.9240853799,True,0.3745846495070519,11
r3_s14000_l4,3,14000,4,block,nll_damage,0.4601081477271185,0.05775533624375,0.9240853799,True,0.37866360890611017,11
r3_s14000_l4,3,14000,4,noise,kl,0.4211405383216011,0.05775533624375,0.9240853799,True,0.4570655721900385,8
r3_s14000_l4,3,14000,4,noise,nll_damage,0.4601081477271185,0.05775533624375,0.9240853799,True,0.4448560749906716,9
r3_s14000_l5,3,14000,5,block,kl,0.2574349194765091,0.04876207875075,0.780193260012,True,0.3179741885927052,11
r3_s14000_l5,3,14000,5,block,nll_damage,0.303992615805732,0.04876207875075,0.780193260012,True,0.30948021048253727,11
r3_s14000_l5,3,14000,5,noise,kl,0.2574349194765091,0.04876207875075,0.780193260012,True,0.38381046140302305,9
r3_s14000_l5,3,14000,5,noise,nll_damage,0.303992615805732,0.04876207875075,0.780193260012,True,0.41069013265051646,10
r3_s14000_l8,3,14000,8,block,kl,0.1952278746498955,0.044456847032125,0.711309552514,True,0.33147844013783034,9
r3_s14000_l8,3,14000,8,block,nll_damage,0.2021975252363418,0.044456847032125,0.711309552514,True,0.3527775584319648,10
r3_s14000_l8,3,14000,8,noise,kl,0.1952278746498955,0.044456847032125,0.711309552514,True,0.35182366769965995,8
r3_s14000_l8,3,14000,8,noise,nll_damage,0.2021975252363418,0.044456847032125,0.711309552514,True,0.3644279946205848,10
r3_s14000_l9,3,14000,9,block,kl,0.2099452780352698,0.0464153616405,0.742645786248,True,0.30226192618463854,8
r3_s14000_l9,3,14000,9,block,nll_damage,0.2110987769232855,0.0464153616405,0.742645786248,True,0.3234304508172848,10
r3_s14000_l9,3,14000,9,noise,kl,0.2099452780352698,0.0464153616405,0.742645786248,True,0.37638405570171296,10
r3_s14000_l9,3,14000,9,noise,nll_damage,0.2110987769232855,0.0464153616405,0.742645786248,True,0.38254859229345733,10
r3_s14000_l10,3,14000,10,block,kl,0.2584894531302982,0.05546525711525,0.887444113844,True,0.37515031501609797,9
