epoch,loss,answer_loss,aux_loss
1,6.398686844889323,3.3290350900014243,3.0696517573038737
2,4.627719099934896,2.6846630861918133,1.9430560137430828
3,3.066477555847168,1.9718556029001872,1.0946219503084818
4,1.80157283299764,1.2985576073010763,0.5030152212142944
5,0.8756007338205973,0.7147690081278483,0.1608317240635554
6,0.4902724755605062,0.4246918951511383,0.065580580586195
7,0.3008606153647105,0.2680998743693034,0.03276074021359285
8,0.19249157032171885,0.17292889676094056,0.01956267358660698
9,0.1197914319952329,0.10900965580542882,0.010781776096175115
10,0.07852054385940234,0.0717548173725605,0.00676572638352712
11,0.04917713054815928,0.045053549071153005,0.004123581684380769
12,0.03050831779340903,0.027712930515408515,0.0027953874822705983
13,0.013807500334084033,0.012709580653905869,0.0010979196865111588
14,0.004491345694288612,0.004029201409965754,0.0004621443172140668
15,0.002330929701651136,0.001998537484804789,0.00033239220581017433
16,0.0018349779822553198,0.0015443153159692884,0.0002906626603255669
17,0.0016104901456584534,0.0013400622483963768,0.0002704278986590604
18,0.0015196390057603518,0.0012617230950544278,0.0002579159101160864
19,0.0014621027942125996,0.0012094697929918765,0.0002526330015156418
20,0.0014403000311305125,0.00118956648328652,0.00025073354843383036
