target_id,run_id,step,layer,geometry_match,delta_b_standardized_difference,absolute_log_norm_ratio,absolute_cosine_difference,pass_delta_b,pass_norm,pass_cosine,failure_reason
r6_s72000_l3,6,72000,3,False,1.0086461291307334,0.04717863998630012,0.00011124135926365852,False,True,True,delta_boundary
r6_s72000_l4,6,72000,4,False,0.6572299039304745,0.028106525558841078,9.010219946503639e-05,False,True,True,delta_boundary
r6_s72000_l5,6,72000,5,False,0.5761137090676884,0.08859643827809105,0.0005363600794225931,False,True,True,delta_boundary
r6_s72000_l6,6,72000,6,True,0.006837760544976453,0.01990256626982312,0.0005749235861003399,True,True,True,
r6_s72000_l9,6,72000,9,True,0.1242392432002677,0.06075467571961912,2.150190994143486e-06,True,True,True,
r8_s14000_l1,8,14000,1,False,1.0187786796418592,0.03173197463659427,0.00010291323997080326,False,True,True,delta_boundary
r8_s14000_l2,8,14000,2,False,0.7205674198862205,0.010905078078542019,0.00011843768879771233,False,True,True,delta_boundary
r8_s14000_l4,8,14000,4,False,0.764163778000647,0.1269060464827696,0.0001981209497898817,False,True,True,delta_boundary
r8_s14000_l6,8,14000,6,False,0.8630466843930538,0.13974669598625766,0.0006467222701758146,False,True,True,delta_boundary
r8_s14000_l9,8,14000,9,True,0.2337758415471542,0.032834234890390945,0.00043354439549148083,True,True,True,
r8_s143000_l1,8,143000,1,False,1.1605510140682633,0.1478298284207762,0.00030975346453487873,False,True,True,delta_boundary
r8_s143000_l10,8,143000,10,False,2.3726882918101238,0.2620981525841932,2.634013071656227e-06,False,False,True,delta_boundary;log_norm
r8_s143000_l2,8,143000,2,False,1.0199972436007316,0.07175571405418157,4.7948211431503296e-05,False,True,True,delta_boundary
r8_s143000_l4,8,143000,4,False,1.7022001008553036,0.19432047922336526,0.0002396218478679657,False,True,True,delta_boundary
r8_s143000_l5,8,143000,5,True,0.06544428726919853,0.03068335851738091,0.00030604051426053047,True,True,True,
r8_s143000_l6,8,143000,6,False,0.8709536446292039,0.0798818494603255,0.00028337305411696434,False,True,True,delta_boundary
r8_s143000_l7,8,143000,7,False,0.5214362148190985,0.07987125520037974,7.859617471694946e-05,False,True,True,delta_boundary
r8_s143000_l9,8,143000,9,False,0.4936332331790684,0.2491355326774478,0.0004225968150421977,True,False,True,log_norm
r8_s72000_l1,8,72000,1,False,0.8904141389762779,0.118794013597741,0.00023208698257803917,False,True,True,delta_boundary
r8_s72000_l2,8,72000,2,False,0.6828683574141247,0.07181831133664662,0.00010278797708451748,False,True,True,delta_boundary
r8_s72000_l4,8,72000,4,False,1.4996874563107634,0.07018129929865324,0.0003067550715059042,False,True,True,delta_boundary
r8_s72000_l5,8,72000,5,True,0.19483032907880954,0.05457553812802374,0.0004191517364233732,True,True,True,
r8_s72000_l7,8,72000,7,True,0.39001306892887044,0.05500681718765055,0.00038755149580538273,True,True,True,
r8_s72000_l9,8,72000,9,True,0.10933054085473697,0.0743551064410628,0.00022444291971623898,True,True,True,
