epoch,loss,answer_loss,aux_loss
1,6.445730731709798,3.3487173182169596,3.0970134110768637
2,4.72557931137085,2.7303210763295493,1.9952582362492879
3,3.09434333597819,1.985054229736328,1.1092891050338745
4,1.802199515469869,1.305379788049062,0.49681972009340925
5,0.8782585907300313,0.7168613228797912,0.16139726805289586
6,0.47468349684079486,0.41252711575826007,0.06215638184547424
7,0.28473814357121785,0.25371911517779033,0.031019029874602953
8,0.17319287083148957,0.15621337817112604,0.01697949251731237
9,0.10540187869469325,0.09630314677158991,0.009098731675247352
10,0.0712358087559541,0.06425102254748344,0.006984785802289843
11,0.042909503849347434,0.039457920951644576,0.003451582758190731
12,0.026627525598804155,0.02453145316541195,0.002096072248990337
13,0.010409568077077469,0.00959272727544109,0.0008168408234138041
14,0.0029842017531394958,0.0026453387022639316,0.0003388630389546355
15,0.001954041476423542,0.0016786488531778255,0.0002753926238355537
16,0.0016620517731954654,0.001410322896266977,0.0002517288764861102
17,0.0015207765738169353,0.001282016126314799,0.00023876044750213623
18,0.0014538452435284854,0.001224181477477153,0.00022966376546149452
19,0.0014383723703523478,0.001214180100398759,0.00022419226965866984
20,0.0014016255017369986,0.0011785026942069331,0.00022312280738260597
