epoch,loss,answer_loss,aux_loss
1,3.4293614576975506,3.4293614576975506,0.0
2,3.145790559005737,3.145790559005737,0.0
3,2.689959244410197,2.689959244410197,0.0
4,2.0974754388809203,2.0974754388809203,0.0
5,1.4079637956619262,1.4079637956619262,0.0
6,0.9237251100858053,0.9237251100858053,0.0
7,0.6199918393770854,0.6199918393770854,0.0
8,0.4183387656847636,0.4183387656847636,0.0
9,0.29497949684460956,0.29497949684460956,0.0
10,0.19740383478005727,0.19740383478005727,0.0
11,0.1475207146803538,0.1475207146803538,0.0
12,0.10098498798211415,0.10098498798211415,0.0
13,0.058824195911486944,0.058824195911486944,0.0
14,0.03924401363531749,0.03924401363531749,0.0
15,0.019704316014051437,0.019704316014051437,0.0
16,0.010504981532196204,0.010504981532196204,0.0
17,0.006866852172712485,0.006866852172712485,0.0
18,0.0057634764907260735,0.0057634764907260735,0.0
19,0.005412492411335309,0.005412492411335309,0.0
20,0.005163849251220624,0.005163849251220624,0.0
