run_id,stage,step,progress,layer,alpha,bin_index,bin_low,bin_high,bin_count,bin_agree_count,bin_agreement,bin_damage
1,pilot,14000,0.0979020979020979,1,0.25,0,0.0,0.05,224,162.0,0.7232142857142857,0.2767857142857143
1,pilot,14000,0.0979020979020979,1,0.25,1,0.05,0.1,547,450.0,0.8226691042047533,0.17733089579524675
1,pilot,14000,0.0979020979020979,1,0.25,2,0.1,0.2,1126,983.0,0.8730017761989343,0.12699822380106573
1,pilot,14000,0.0979020979020979,1,0.25,3,0.2,0.4,1277,1219.0,0.9545810493343775,0.045418950665622515
1,pilot,14000,0.0979020979020979,1,0.25,4,0.4,1.01,1434,1423.0,0.9923291492329149,0.007670850767085069
1,pilot,14000,0.0979020979020979,1,0.5,0,0.0,0.05,224,112.0,0.5,0.5
1,pilot,14000,0.0979020979020979,1,0.5,1,0.05,0.1,547,338.0,0.6179159049360147,0.38208409506398533
1,pilot,14000,0.0979020979020979,1,0.5,2,0.1,0.2,1126,837.0,0.7433392539964476,0.2566607460035524
1,pilot,14000,0.0979020979020979,1,0.5,3,0.2,0.4,1277,1099.0,0.860610806577917,0.139389193422083
1,pilot,14000,0.0979020979020979,1,0.5,4,0.4,1.01,1434,1401.0,0.9769874476987448,0.023012552301255207
1,pilot,14000,0.0979020979020979,1,0.75,0,0.0,0.05,224,66.0,0.29464285714285715,0.7053571428571428
1,pilot,14000,0.0979020979020979,1,0.75,1,0.05,0.1,547,255.0,0.46617915904936014,0.5338208409506399
1,pilot,14000,0.0979020979020979,1,0.75,2,0.1,0.2,1126,613.0,0.544404973357016,0.455595026642984
1,pilot,14000,0.0979020979020979,1,0.75,3,0.2,0.4,1277,912.0,0.7141738449490994,0.2858261550509006
1,pilot,14000,0.0979020979020979,1,0.75,4,0.4,1.01,1434,1314.0,0.9163179916317992,0.08368200836820083
1,pilot,14000,0.0979020979020979,1,1.0,0,0.0,0.05,224,41.0,0.18303571428571427,0.8169642857142857
1,pilot,14000,0.0979020979020979,1,1.0,1,0.05,0.1,547,191.0,0.3491773308957952,0.6508226691042047
1,pilot,14000,0.0979020979020979,1,1.0,2,0.1,0.2,1126,494.0,0.43872113676731794,0.5612788632326821
1,pilot,14000,0.0979020979020979,1,1.0,3,0.2,0.4,1277,736.0,0.5763508222396241,0.4236491777603759
1,pilot,14000,0.0979020979020979,1,1.0,4,0.4,1.01,1434,1190.0,0.8298465829846583,0.1701534170153417
1,pilot,14000,0.0979020979020979,2,0.25,0,0.0,0.05,224,162.0,0.7232142857142857,0.2767857142857143
1,pilot,14000,0.0979020979020979,2,0.25,1,0.05,0.1,547,445.0,0.8135283363802559,0.1864716636197441
1,pilot,14000,0.0979020979020979,2,0.25,2,0.1,0.2,1126,981.0,0.8712255772646537,0.12877442273534634
1,pilot,14000,0.0979020979020979,2,0.25,3,0.2,0.4,1277,1214.0,0.9506656225528582,0.04933437744714175
1,pilot,14000,0.0979020979020979,2,0.25,4,0.4,1.01,1434,1430.0,0.99721059972106,0.002789400278940035
1,pilot,14000,0.0979020979020979,2,0.5,0,0.0,0.05,224,118.0,0.5267857142857143,0.4732142857142857
1,pilot,14000,0.0979020979020979,2,0.5,1,0.05,0.1,547,329.0,0.6014625228519196,0.3985374771480804
1,pilot,14000,0.0979020979020979,2,0.5,2,0.1,0.2,1126,837.0,0.7433392539964476,0.2566607460035524
1,pilot,14000,0.0979020979020979,2,0.5,3,0.2,0.4,1277,1123.0,0.8794048551292091,0.12059514487079093
1,pilot,14000,0.0979020979020979,2,0.5,4,0.4,1.01,1434,1408.0,0.9818688981868898,0.018131101813110173
1,pilot,14000,0.0979020979020979,2,0.75,0,0.0,0.05,224,79.0,0.35267857142857145,0.6473214285714286
1,pilot,14000,0.0979020979020979,2,0.75,1,0.05,0.1,547,253.0,0.4625228519195612,0.5374771480804388
1,pilot,14000,0.0979020979020979,2,0.75,2,0.1,0.2,1126,699.0,0.6207815275310835,0.3792184724689165
1,pilot,14000,0.0979020979020979,2,0.75,3,0.2,0.4,1277,962.0,0.7533281127642913,0.24667188723570865
1,pilot,14000,0.0979020979020979,2,0.75,4,0.4,1.01,1434,1354.0,0.9442119944211994,0.05578800557880059
1,pilot,14000,0.0979020979020979,2,1.0,0,0.0,0.05,224,53.0,0.23660714285714285,0.7633928571428572
1,pilot,14000,0.0979020979020979,2,1.0,1,0.05,0.1,547,179.0,0.3272394881170018,0.6727605118829982
1,pilot,14000,0.0979020979020979,2,1.0,2,0.1,0.2,1126,533.0,0.4733570159857904,0.5266429840142096
1,pilot,14000,0.0979020979020979,2,1.0,3,0.2,0.4,1277,786.0,0.615505090054816,0.384494909945184
1,pilot,14000,0.0979020979020979,2,1.0,4,0.4,1.01,1434,1226.0,0.8549511854951185,0.1450488145048815
1,pilot,14000,0.0979020979020979,3,0.25,0,0.0,0.05,224,161.0,0.71875,0.28125
1,pilot,14000,0.0979020979020979,3,0.25,1,0.05,0.1,547,427.0,0.7806215722120659,0.21937842778793415
1,pilot,14000,0.0979020979020979,3,0.25,2,0.1,0.2,1126,962.0,0.8543516873889876,0.1456483126110124
1,pilot,14000,0.0979020979020979,3,0.25,3,0.2,0.4,1277,1194.0,0.9350039154267815,0.06499608457321848
1,pilot,14000,0.0979020979020979,3,0.25,4,0.4,1.01,1434,1422.0,0.9916317991631799,0.008368200836820106
1,pilot,14000,0.0979020979020979,3,0.5,0,0.0,0.05,224,102.0,0.45535714285714285,0.5446428571428572
1,pilot,14000,0.0979020979020979,3,0.5,1,0.05,0.1,547,308.0,0.5630712979890311,0.4369287020109689
1,pilot,14000,0.0979020979020979,3,0.5,2,0.1,0.2,1126,799.0,0.7095914742451155,0.2904085257548845
1,pilot,14000,0.0979020979020979,3,0.5,3,0.2,0.4,1277,1066.0,0.8347689898198903,0.16523101018010966
1,pilot,14000,0.0979020979020979,3,0.5,4,0.4,1.01,1434,1381.0,0.9630404463040446,0.03695955369595538
1,pilot,14000,0.0979020979020979,3,0.75,0,0.0,0.05,224,65.0,0.29017857142857145,0.7098214285714286
1,pilot,14000,0.0979020979020979,3,0.75,1,0.05,0.1,547,197.0,0.360146252285192,0.6398537477148081
1,pilot,14000,0.0979020979020979,3,0.75,2,0.1,0.2,1126,559.0,0.49644760213143874,0.5035523978685612
1,pilot,14000,0.0979020979020979,3,0.75,3,0.2,0.4,1277,861.0,0.6742364917776038,0.3257635082223962
1,pilot,14000,0.0979020979020979,3,0.75,4,0.4,1.01,1434,1225.0,0.8542538354253836,0.14574616457461642
