run_id,step,evaluation_seed,baseline_nll_noise,baseline_confidence,tokens,baseline_nll_block,abs_nll_diff
2,14000,11,3.9130800565083823,0.34216360251108807,1536,3.9130800565083823,0.0
2,14000,23,3.8178316752115884,0.3452710310618083,1536,3.8178316752115884,0.0
2,14000,37,3.8612186908721924,0.33917348583539325,1536,3.8612186908721924,0.0
2,72000,11,3.776266574859619,0.36000000437100727,1536,3.776266574859619,0.0
2,72000,23,3.6835830211639404,0.36026813586552936,1536,3.6835830211639404,0.0
2,72000,37,3.718632141749064,0.35538901885350543,1536,3.718632141749064,0.0
2,143000,11,3.7134910424550376,0.3571742574373881,1536,3.7134910424550376,0.0
2,143000,23,3.6881887118021646,0.3583560585975647,1536,3.6881887118021646,0.0
2,143000,37,3.6841123898824057,0.36074769496917725,1536,3.6841123898824057,0.0
3,14000,11,3.8862592379252114,0.3398250341415405,1536,3.8862592379252114,0.0
3,14000,23,3.958644390106201,0.3377628227074941,1536,3.958644390106201,0.0
3,14000,37,3.863776604334513,0.33196236689885456,1536,3.863776604334513,0.0
3,72000,11,3.744488080342611,0.3604528506596883,1536,3.744488080342611,0.0
3,72000,23,3.735752503077189,0.3667638599872589,1536,3.735752503077189,0.0
3,72000,37,3.6867948373158774,0.3613146146138509,1536,3.6867948373158774,0.0
3,143000,11,3.780242443084717,0.3555983603000641,1536,3.780242443084717,0.0
3,143000,23,3.763264258702596,0.35988765954971313,1536,3.763264258702596,0.0
3,143000,37,3.6947070757548013,0.3555006782213847,1536,3.6947070757548013,0.0
5,14000,11,3.9716336727142334,0.3452685475349426,1536,3.9716336727142334,0.0
5,14000,23,3.87795090675354,0.3424466649691264,1536,3.87795090675354,0.0
5,14000,37,3.9159606297810874,0.3356861670811971,1536,3.9159606297810874,0.0
5,72000,11,3.795119047164917,0.36031441887219745,1536,3.795119047164917,0.0
5,72000,23,3.6801966031392417,0.36307579278945923,1536,3.6801966031392417,0.0
5,72000,37,3.7191277345021567,0.3631034890810649,1536,3.7191277345021567,0.0
5,143000,11,3.7745725313822427,0.35977788766225177,1536,3.7745725313822427,0.0
5,143000,23,3.709791421890259,0.3657151559988658,1536,3.709791421890259,0.0
5,143000,37,3.7126197814941406,0.36940162380536395,1536,3.7126197814941406,0.0
6,14000,11,3.8696760336558023,0.3433036208152771,1536,3.8696760336558023,0.0
6,14000,23,3.810188372929891,0.3543534179528554,1536,3.810188372929891,0.0
6,14000,37,3.810784339904785,0.34590286016464233,1536,3.810784339904785,0.0
6,72000,11,3.720371723175049,0.36713477969169617,1536,3.720371723175049,0.0
6,72000,23,3.6568024158477783,0.3716951807339986,1536,3.6568024158477783,0.0
6,72000,37,3.6327625115712485,0.37676705916722614,1536,3.6327625115712485,0.0
6,143000,11,3.7066996097564697,0.3558892110983531,1536,3.7066996097564697,0.0
6,143000,23,3.6458792686462402,0.36096030473709106,1536,3.6458792686462402,0.0
6,143000,37,3.694935957590739,0.3674154082934062,1536,3.694935957590739,0.0
8,14000,11,3.860687573750814,0.34839563568433124,1536,3.860687573750814,0.0
8,14000,23,3.853239377339681,0.34500349561373395,1536,3.853239377339681,0.0
8,14000,37,3.86675755182902,0.35307315985361737,1536,3.86675755182902,0.0
8,72000,11,3.8232407569885254,0.3420288761456807,1536,3.8232407569885254,0.0
8,72000,23,3.785118897755941,0.34980640808741253,1536,3.785118897755941,0.0
8,72000,37,3.774035612742106,0.35304781794548035,1536,3.774035612742106,0.0
8,143000,11,3.740668296813965,0.3569030563036601,1536,3.740668296813965,0.0
8,143000,23,3.7604161898295083,0.35450483361879986,1536,3.7604161898295083,0.0
8,143000,37,3.7048837343851724,0.3721938232580821,1536,3.7048837343851724,0.0
