run_id,step,progress,layer,top1_agreement,top1_damage,nll_damage,kl,family,catastrophic
2,14000,0.0979020979020979,1,0.5939670138888888,0.40603298611111116,0.6313015884823269,0.5876143508487278,block_deletion,False
2,14000,0.0979020979020979,2,0.5553385416666666,0.4446614583333333,0.7525731987423366,0.6941122081544665,block_deletion,False
2,14000,0.0979020979020979,3,0.523654513888889,0.4763454861111111,0.7743501398298474,0.7652236223220825,block_deletion,False
2,14000,0.0979020979020979,4,0.7046440972222222,0.2953559027777778,0.29923613866170246,0.262666051586469,block_deletion,False
2,14000,0.0979020979020979,5,0.6794704861111112,0.3205295138888889,0.3676611582438154,0.3018526766035292,block_deletion,False
2,14000,0.0979020979020979,6,0.7400173611111112,0.2599826388888889,0.2089083989461266,0.1849737829632229,block_deletion,False
2,14000,0.0979020979020979,7,0.7081163194444443,0.2918836805555556,0.23603468471103253,0.25317857828405166,block_deletion,False
2,14000,0.0979020979020979,8,0.6903211805555555,0.3096788194444445,0.33424403932359475,0.24400135709179774,block_deletion,False
2,14000,0.0979020979020979,9,0.7194010416666666,0.28059895833333337,0.2148643864525687,0.21019462082121107,block_deletion,False
2,14000,0.0979020979020979,10,0.6929253472222222,0.3070746527777778,0.32094449467129166,0.2904930694235696,block_deletion,False
2,72000,0.5034965034965035,1,0.5164930555555556,0.4835069444444444,0.9494883219401044,0.9493300782309637,block_deletion,False
2,72000,0.5034965034965035,2,0.49782986111111116,0.5021701388888888,0.9390635490417482,0.92882463004854,block_deletion,False
2,72000,0.5034965034965035,3,0.5032552083333334,0.4967447916666667,0.8943626085917153,0.8842032485538058,block_deletion,False
2,72000,0.5034965034965035,4,0.6905381944444445,0.3094618055555555,0.3406482802497017,0.3037220537662506,block_deletion,False
2,72000,0.5034965034965035,5,0.6538628472222222,0.34613715277777785,0.46446243921915703,0.3947205775313907,block_deletion,False
2,72000,0.5034965034965035,6,0.6983506944444443,0.3016493055555556,0.2966276009877524,0.2554864916536543,block_deletion,False
2,72000,0.5034965034965035,7,0.656032986111111,0.3439670138888889,0.3660224808586971,0.3825724124908447,block_deletion,False
2,72000,0.5034965034965035,8,0.6451822916666666,0.3548177083333333,0.5048611164093016,0.371453324953715,block_deletion,False
2,72000,0.5034965034965035,9,0.6566840277777778,0.34331597222222215,0.3771826161278618,0.3535401688681708,block_deletion,False
2,72000,0.5034965034965035,10,0.6284722222222222,0.37152777777777785,0.5656325022379556,0.5688886642456055,block_deletion,False
2,143000,1.0,1,0.48090277777777773,0.5190972222222222,1.0317671828799777,1.0257128013504875,block_deletion,False
2,143000,1.0,2,0.4420572916666667,0.5579427083333333,1.209634330537584,1.2016478247112696,block_deletion,False
2,143000,1.0,3,0.4186197916666667,0.5813802083333333,1.227257172266642,1.250755018658108,block_deletion,False
2,143000,1.0,4,0.6438802083333334,0.3561197916666667,0.4097302754720051,0.39459201362397933,block_deletion,False
2,143000,1.0,5,0.5768229166666666,0.4231770833333333,0.6294175518883601,0.5600684947437711,block_deletion,False
2,143000,1.0,6,0.6499565972222222,0.35004340277777785,0.39757010671827525,0.3667832811673482,block_deletion,False
2,143000,1.0,7,0.5633680555555555,0.4366319444444445,0.5878107017940946,0.6537510553995768,block_deletion,False
2,143000,1.0,8,0.6213107638888888,0.37868923611111116,0.48765325546264665,0.39108974072668284,block_deletion,False
2,143000,1.0,9,0.66796875,0.33203125,0.36736673778957796,0.36895714203516644,block_deletion,False
2,143000,1.0,10,0.501953125,0.498046875,1.0224942366282146,1.0224928392304315,block_deletion,False
3,14000,0.0979020979020979,1,0.5635850694444444,0.4364149305555556,0.718385034137302,0.6331983407338461,block_deletion,False
3,14000,0.0979020979020979,2,0.603515625,0.396484375,0.5203430122799345,0.5016940666569604,block_deletion,False
3,14000,0.0979020979020979,3,0.4270833333333333,0.5729166666666666,1.2564765877193873,1.1653783188925848,block_deletion,False
3,14000,0.0979020979020979,4,0.6304253472222222,0.36957465277777785,0.4601081477271185,0.4211405383216011,block_deletion,False
3,14000,0.0979020979020979,5,0.711154513888889,0.2888454861111111,0.30399261580573206,0.2574349194765091,block_deletion,False
3,14000,0.0979020979020979,6,0.677951388888889,0.3220486111111111,0.40075892872280566,0.2951902614699469,block_deletion,False
3,14000,0.0979020979020979,7,0.7183159722222223,0.28168402777777773,0.2768083678351507,0.19824758337603673,block_deletion,False
3,14000,0.0979020979020979,8,0.7454427083333334,0.25455729166666663,0.2021975252363418,0.19522787464989555,block_deletion,False
3,14000,0.0979020979020979,9,0.720703125,0.27929687499999994,0.2110987769232855,0.20994527803526983,block_deletion,False
3,14000,0.0979020979020979,10,0.7016059027777778,0.2983940972222222,0.29543153444925974,0.2584894531302982,block_deletion,False
3,72000,0.5034965034965035,1,0.5442708333333334,0.4557291666666667,0.8519875208536782,0.8216641214158799,block_deletion,False
3,72000,0.5034965034965035,2,0.53515625,0.46484375,0.798615190717909,0.8010647826724583,block_deletion,False
3,72000,0.5034965034965035,3,0.35004340277777785,0.6499565972222222,1.7594680786132812,1.7865699529647827,block_deletion,False
3,72000,0.5034965034965035,4,0.6354166666666666,0.3645833333333333,0.43734224637349434,0.42071168290244204,block_deletion,False
3,72000,0.5034965034965035,5,0.6953125,0.3046875,0.2731298870510523,0.2777864734331767,block_deletion,False
3,72000,0.5034965034965035,6,0.6440972222222222,0.35590277777777785,0.43180523978339275,0.39168943630324465,block_deletion,False
