target_id,run_id,step,layer,selected_beta,target_kl,target_nll_damage,alpha_min,alpha_max,block_alpha,noise_alpha,block_alpha_multiplier,noise_alpha_multiplier,objective,block_kl,block_nll_damage,block_output_logit_norm,block_output_abs_cosine,block_hidden_relative_norm,noise_kl,noise_nll_damage,noise_output_logit_norm,noise_output_abs_cosine,noise_hidden_relative_norm,no_bracket,numerical_issue,pathological,boundary_selected,coordinate_converged,block_evaluations,noise_evaluations,relative_kl_difference,relative_nll_difference,hidden_norm_ratio,output_norm_ratio,absolute_cosine_difference,pass_kl,pass_nll,pass_hidden_norm,pass_output_norm,pass_abs_cosine,block_target_kl_log_error,noise_target_kl_log_error,block_target_nll_log_error,noise_target_nll_log_error,mean_target_log_error,calibration_class,damage_regime
r2_s14000_l1,2,14000,1,0.610086654353,0.5876143508487278,0.6313015884823269,0.076260831794125,1.220173308706,0.4591157491736263,0.6234458125152603,0.7525418658117032,1.0218971486541166,0.4719277472131062,0.5882918834686279,0.6108608245849609,249.98912048339844,0.0034725300502032,0.4591143727302551,0.5878325899442037,0.7079927126566572,239.8267822265625,0.0033200808490316,0.6234458088874817,False,False,False,False,True,22,25,0.0007807238844026835,0.13719334441624487,1.3579313694311608,1.0423736588653205,0.00015244920117160003,True,True,False,True,True,0.0011523583685559599,0.0003713295605438174,0.032914551356987565,0.11465009920416198,0.03727208462256233,FAIL-TRADEOFF,mid
r2_s14000_l2,2,14000,2,0.667777390647,0.6941122081544665,0.7525731987423366,0.083472173830875,1.335554781294,0.4734701580019929,0.660584101405589,0.7090239421602076,0.9892280131939754,0.3719602836609552,0.6937881708145142,0.7767605781555176,264.83380126953125,0.003360697068274,0.473471999168396,0.6891207297643026,0.8163264592488604,250.62429809570312,0.0035215366321305,0.6605841716130575,False,False,False,False,True,29,24,0.006727472803019875,0.0484682085764428,1.3951916328165324,1.0566964308001856,0.00016083956385649998,True,True,False,True,True,0.00046694611623463366,0.007217150371926802,0.03163390069353257,0.08131608159688748,0.03015851969464537,FAIL-TRADEOFF,mid
r2_s14000_l3,2,14000,3,0.569293543783,0.7652236223220825,0.7743501398298474,0.071161692972875,1.138587087566,0.5206329024206788,0.588094394194,0.9145245157024486,1.0330248790212284,0.4400282942532938,0.76344895362854,0.8739867210388184,247.598876953125,0.0036516468971967,0.5206331014633179,0.7556931575139364,0.8830574353535967,295.6759033203125,0.003135054372251,0.5880942145983378,False,False,False,False,True,24,28,0.010158892847703428,0.010271941497379755,1.1295751517628838,1.1941730389039251,0.0005165925249456999,True,True,True,True,True,0.0023218438254543738,0.012532690386073209,0.12104103388145776,0.1313660958499144,0.06681541598572494,PASS-A,high
r2_s14000_l4,2,14000,4,0.367257583746,0.262666051586469,0.2992361386617024,0.04590719796825,0.734515167492,0.2541256996861245,0.3835174661035881,0.6919549409819159,1.0442737824274138,0.5114288526266219,0.2688872814178467,0.2958197593688965,163.49472045898438,0.0034444774501025,0.2541267871856689,0.2712549567222595,0.2768838405609131,192.7396240234375,0.0026941142665843,0.3835174838701884,False,False,False,False,True,21,22,0.00872859737946513,0.0640116767330938,1.5091580392486352,1.1788736876784323,0.0007503631835182002,True,True,False,True,True,0.023408804087404048,0.032175718807010194,0.01148267529830216,0.07763495302285656,0.03617553780389324,FAIL-TRADEOFF,low
r2_s14000_l6,2,14000,6,0.327424162539,0.1849737829632229,0.2089083989461266,0.040928020317375,0.654848325078,0.2898646777597167,0.340995934902209,0.8852879870317772,1.041450124688316,0.1814341379917665,0.1889955252408981,0.2084612846374511,156.9808349609375,0.00292195007205,0.2898675203323364,0.1832542320092519,0.2090624968210854,167.2411142985026,0.0027024878654628,0.3409956097602844,False,False,False,False,True,25,24,0.030377932092985928,0.0028757533884656225,1.1763843336747515,1.0653600762164257,0.00021946220658720017,True,True,True,True,True,0.021509237481598737,0.0093396666394,0.002142534531375946,0.0007373617804557126,0.008432200108207598,PASS-A,low
r2_s14000_l9,2,14000,9,0.370729772479,0.210194620821211,0.2148643864525687,0.046341221559875,0.741459544958,0.3418066532844568,0.4187674269951351,0.921983284479313,1.129575928566288,0.5941753636237326,0.2631009817123413,0.2150757312774658,188.0082855224609,0.0030073276720941,0.3418067395687103,0.2427867203950882,0.2147878805796303,203.11338806152344,0.0025444393977522,0.4187674323717753,False,False,False,False,True,26,24,0.07721089136589956,0.0013383690299494477,1.2251585000926206,1.0803427492415374,0.00046288827434190017,True,True,True,True,True,0.22450405201660664,0.14414949674393726,0.0009831361773634615,0.0003561292683287009,0.09249820355155901,PASS-A,low
r2_s14000_l10,2,14000,10,0.467887361263,0.2904930694235696,0.3209444946712916,0.058485920157875,0.935774722526,0.4204296405098816,0.4578614999359066,0.8985702015437805,0.9785720620877,0.2266015893745473,0.2910080254077911,0.3209700584411621,210.35394287109372,0.0030583040788769,0.4204276800155639,0.2929654816786448,0.2996030648549399,222.11198933919272,0.0026521328836679,0.4578611850738525,False,False,False,False,True,22,26,0.006681525276076176,0.06657005232822683,1.0890367281640776,1.0558964871664154,0.0004061711952090003,True,True,True,True,True,0.0017711269107211275,0.008475073505015175,7.964851321733111e-05,0.06880971296846533,0.01978389047435474,PASS-A,low
r2_s72000_l1,2,72000,1,0.708203932499,0.9493300782309636,0.9494883219401044,0.088525491562375,1.416407864998,0.5336751109159514,0.708203932499,0.7535613492469628,1.0,0.3142386749156771,0.9579410552978516,0.941904067993164,340.2170715332031,0.0028024825733155,0.5336745977401733,0.93745356798172,0.987187385559082,317.42059326171875,0.0029898320014278,0.7082039515177408,False,False,False,False,True,26,20,0.021387002052815702,0.04587104558702642,1.327033279298432,1.0718178932161726,0.00018734942811230023,True,True,False,True,True,0.009029692133096685,0.012589325896260727,0.008019800266821996,0.03893664406134288,0.017143865589380573,PASS-B,high
r2_s72000_l2,2,72000,2,0.699480193099,0.92882463004854,0.9390635490417482,0.087435024137375,1.398960386198,0.5088705960269033,0.7186780908883782,0.7274982208894097,1.0274459491187635,0.2644914529695886,0.9290904998779296,0.9484548568725586,335.30426025390625,0.0031327111646533,0.5088713765144348,0.9276368816693624,0.9729827245076494,324.24815877278644,0.0029287654130409,0.7186781962712606,False,False,False,False,True,23,24,0.001564560404780955,0.025208944637226203,1.4122983320333444,1.0340976538555064,0.0002039457516124,True,True,False,True,True,0.00028620234253102036,0.001279583264982619,0.0099510397331178,0.03548317287543049,0.011749999554015483,FAIL-TRADEOFF,high
r2_s72000_l3,2,72000,3,0.44408862564,0.8842032485538058,0.8943626085917153,0.055511078205,0.88817725128,0.5575003150419978,0.4624961545454409,1.255380757024691,1.041450124688316,0.2888597498868018,0.880897045135498,0.947169303894043,299.2143249511719,0.0031801271252334,0.5575000643730164,0.8839163780212402,0.9433062871297198,345.1488749186198,0.0028172826083997,0.4624961912631988,False,False,False,False,True,26,24,0.0034158580617109392,0.004078486019808088,1.2054154713147618,1.1535172153771172,0.00036284451683370016,True,True,True,True,True,0.0037461976486339067,0.00032449222413580937,0.05736656100749989,0.05327973528027438,0.028679246540135997,PASS-A,high
r2_s72000_l7,2,72000,7,0.341906038116,0.3825724124908447,0.3660224808586971,0.0427382547645,0.683812076232,0.3414434778445334,0.3446945889289459,0.99864711289097,1.0081558981184175,0.2817673954261558,0.3826831579208374,0.4146552085876465,238.69151306152344,0.0027935274410992,0.341443121433258,0.3827467163403829,0.4102018674214678,250.87360636393228,0.0024488056854655,0.3446946640809377,False,False,False,False,True,27,29,0.00016605869320887785,0.010739865492940913,1.0095229408459638,1.0510369771683874,0.00034472175563370023,True,True,True,True,True,0.0002894338441893443,0.00045550632666956987,0.12475259759964466,0.11395464346747114,0.05986304530949368,PASS-A,low
r2_s72000_l9,2,72000,9,0.37324227185,0.3535401688681708,0.3771826161278618,0.04665528398125,0.7464845437,0.3079654781684633,0.3918835158997198,0.8251087869603089,1.0499440858006872,0.3381301925951177,0.3836010694503784,0.3770089149475097,233.0232086181641,0.0027806079015135,0.3079656660556793,0.3816292881965637,0.3775997161865234,257.40709431966144,0.0024730653191606,0.391883651415507,False,False,False,False,True,24,22,0.005140187061104535,0.0015646231013633312,1.2724913670875995,1.1046414468588541,0.00030754258235290034,True,True,False,True,True,0.08160602017949056,0.07645257691110587,0.0004606288356903469,0.0011052195666537944,0.039906111373235145,PASS-B,low
r2_s72000_l10,2,72000,10,0.52014326253,0.5688886642456055,0.5656325022379556,0.06501790781625,1.04028652506,0.5159353464089977,0.5152373441297482,0.9919100824251096,0.99056814006128,0.228418326043419,0.5677657127380371,0.615577220916748,299.7353210449219,0.0026331101544201,0.5159386992454529,0.5723422169685364,0.5620072682698565,317.60264078776044,0.0025051642830173,0.5152372121810913,False,False,False,False,True,21,22,0.007996097605273898,0.08702393595252363,1.0013614836967826,1.059610324470771,0.00012794587140280015,True,True,True,True,True,0.0019758897614858997,0.0060523480778646955,0.08461582022953604,0.006429795316768721,0.02476846334641384,PASS-A,mid
r2_s143000_l1,2,143000,1,0.734741719419,1.0257128013504877,1.0317671828799777,0.091842714927375,1.469483438838,0.5789694379529887,0.734741719419,0.7879904225539434,1.0,0.2281941256278933,1.0274617671966553,1.024531364440918,739.5171508789062,0.0018416077364236,0.5789682865142822,0.9971227447191874,1.034977118174235,780.6235555013021,0.0014862227253615,0.734741727511088,False,False,False,False,True,21,20,0.02952812790323616,0.010092738815080375,1.2690534950271306,1.0555854648854883,0.00035538501106209997,True,True,False,True,True,0.0017036703025550242,0.02826918938927858,0.007037741007191401,0.00310627480492862,0.010029218875988408,PASS-B,high
r2_s143000_l2,2,143000,2,0.75,1.2016478247112696,1.209634330537584,0.09375,1.5,0.5752057491903585,0.7622837361832147,0.766940998920478,1.0163783149109529,0.372114280298816,1.202000617980957,1.2223119735717771,955.5806274414062,0.0015073951799422,0.57520592212677,1.198020060857137,1.2360491752624512,668.3440958658854,0.0020519338237742,0.7622836430867513,False,False,False,False,True,20,24,0.0033116098812880344,0.011113798678565698,1.325236082876118,1.429773425623497,0.0005445386438320001,True,True,False,False,True,0.00029354814618862027,0.0030235572511266057,0.01042601792057118,0.02160203628723133,0.008836289901279434,FAIL-TRADEOFF,high
