run_id,layer,relative_depth,early,late,delta
1,1,0.09090909090909091,0.5755208333333334,0.5186631944444445,-0.05685763888888884
1,2,0.18181818181818182,0.6026475694444445,0.4889322916666667,-0.11371527777777785
1,3,0.2727272727272727,0.3776041666666667,0.2938368055555555,-0.08376736111111116
1,4,0.36363636363636365,0.697265625,0.6048177083333334,-0.09244791666666663
1,5,0.45454545454545453,0.7176649305555555,0.6499565972222222,-0.06770833333333326
1,6,0.5454545454545454,0.677517361111111,0.542751736111111,-0.134765625
1,7,0.6363636363636364,0.7261284722222222,0.6566840277777778,-0.06944444444444442
1,8,0.7272727272727273,0.7300347222222222,0.6792534722222223,-0.05078124999999989
1,9,0.8181818181818182,0.7204861111111112,0.6605902777777778,-0.05989583333333337
1,10,0.9090909090909091,0.6649305555555557,0.49240451388888884,-0.17252604166666685
2,1,0.09090909090909091,0.5939670138888888,0.48090277777777773,-0.1130642361111111
2,2,0.18181818181818182,0.5553385416666666,0.4420572916666667,-0.11328124999999994
2,3,0.2727272727272727,0.523654513888889,0.4186197916666667,-0.10503472222222227
2,4,0.36363636363636365,0.7046440972222222,0.6438802083333334,-0.06076388888888884
2,5,0.45454545454545453,0.6794704861111112,0.5768229166666666,-0.10264756944444453
2,6,0.5454545454545454,0.7400173611111112,0.6499565972222222,-0.09006076388888895
2,7,0.6363636363636364,0.7081163194444443,0.5633680555555555,-0.14474826388888884
2,8,0.7272727272727273,0.6903211805555555,0.6213107638888888,-0.06901041666666663
2,9,0.8181818181818182,0.7194010416666666,0.66796875,-0.05143229166666663
2,10,0.9090909090909091,0.6929253472222222,0.501953125,-0.1909722222222222
3,1,0.09090909090909091,0.5635850694444444,0.5251736111111112,-0.03841145833333326
3,2,0.18181818181818182,0.603515625,0.4908854166666667,-0.11263020833333331
3,3,0.2727272727272727,0.4270833333333333,0.3435329861111111,-0.08355034722222221
3,4,0.36363636363636365,0.6304253472222222,0.5805121527777778,-0.04991319444444442
3,5,0.45454545454545453,0.711154513888889,0.6143663194444443,-0.09678819444444464
3,6,0.5454545454545454,0.677951388888889,0.5850694444444445,-0.09288194444444442
3,7,0.6363636363636364,0.7183159722222223,0.6614583333333334,-0.05685763888888895
3,8,0.7272727272727273,0.7454427083333334,0.634765625,-0.11067708333333337
3,9,0.8181818181818182,0.720703125,0.67578125,-0.044921875
3,10,0.9090909090909091,0.7016059027777778,0.4971788194444444,-0.20442708333333337
4,1,0.09090909090909091,0.6462673611111112,0.5206163194444443,-0.12565104166666685
4,2,0.18181818181818182,0.5583767361111112,0.443359375,-0.11501736111111116
4,3,0.2727272727272727,0.665798611111111,0.5596788194444445,-0.10611979166666652
4,4,0.36363636363636365,0.5462239583333334,0.40256076388888884,-0.14366319444444453
4,5,0.45454545454545453,0.7202690972222223,0.654296875,-0.06597222222222232
4,6,0.5454545454545454,0.661892361111111,0.5173611111111112,-0.1445312499999999
4,7,0.6363636363636364,0.7230902777777777,0.6295572916666666,-0.09353298611111105
4,8,0.7272727272727273,0.7269965277777778,0.6597222222222222,-0.06727430555555558
4,9,0.8181818181818182,0.7293836805555555,0.5930989583333334,-0.1362847222222221
4,10,0.9090909090909091,0.701171875,0.5173611111111112,-0.18381076388888884
5,1,0.09090909090909091,0.5807291666666666,0.5154079861111112,-0.06532118055555547
5,2,0.18181818181818182,0.5946180555555557,0.4752604166666667,-0.119357638888889
5,3,0.2727272727272727,0.6202256944444445,0.545138888888889,-0.07508680555555558
5,4,0.36363636363636365,0.568359375,0.4654947916666667,-0.10286458333333331
5,5,0.45454545454545453,0.7137586805555557,0.6286892361111112,-0.08506944444444453
5,6,0.5454545454545454,0.7085503472222222,0.6395399305555555,-0.06901041666666674
5,7,0.6363636363636364,0.6647135416666666,0.5805121527777778,-0.08420138888888884
5,8,0.7272727272727273,0.6907552083333334,0.625,-0.06575520833333337
5,9,0.8181818181818182,0.7139756944444443,0.6449652777777778,-0.06901041666666652
5,10,0.9090909090909091,0.7055121527777777,0.5381944444444445,-0.16731770833333315
6,1,0.09090909090909091,0.5846354166666666,0.5499131944444445,-0.0347222222222221
6,2,0.18181818181818182,0.6282552083333334,0.552734375,-0.07552083333333337
6,3,0.2727272727272727,0.626953125,0.5106336805555556,-0.11631944444444442
6,4,0.36363636363636365,0.4563802083333333,0.3025173611111111,-0.1538628472222222
6,5,0.45454545454545453,0.7202690972222223,0.5451388888888888,-0.17513020833333348
6,6,0.5454545454545454,0.7562934027777778,0.6592881944444444,-0.09700520833333337
6,7,0.6363636363636364,0.6861979166666666,0.5379774305555555,-0.14822048611111116
6,8,0.7272727272727273,0.7087673611111112,0.6297743055555556,-0.07899305555555558
6,9,0.8181818181818182,0.7237413194444445,0.6195746527777777,-0.10416666666666685
6,10,0.9090909090909091,0.6907552083333334,0.4754774305555555,-0.21527777777777785
7,1,0.09090909090909091,0.5299479166666666,0.50390625,-0.02604166666666663
7,2,0.18181818181818182,0.585720486111111,0.48090277777777785,-0.1048177083333332
7,3,0.2727272727272727,0.48090277777777773,0.3478732638888889,-0.13302951388888884
7,4,0.36363636363636365,0.6547309027777778,0.587890625,-0.06684027777777779
7,5,0.45454545454545453,0.7026909722222222,0.6091579861111112,-0.09353298611111105
7,6,0.5454545454545454,0.7105034722222222,0.556423611111111,-0.15407986111111116
7,7,0.6363636363636364,0.697482638888889,0.669921875,-0.02756076388888895
7,8,0.7272727272727273,0.7224392361111112,0.609375,-0.11306423611111116
7,9,0.8181818181818182,0.7154947916666666,0.6321614583333334,-0.08333333333333326
7,10,0.9090909090909091,0.7211371527777778,0.5596788194444444,-0.16145833333333337
8,1,0.09090909090909091,0.6597222222222222,0.5670572916666666,-0.09266493055555558
8,2,0.18181818181818182,0.613498263888889,0.5414496527777778,-0.07204861111111116
8,3,0.2727272727272727,0.6102430555555555,0.5028211805555555,-0.107421875
8,4,0.36363636363636365,0.4283854166666667,0.3109809027777778,-0.1174045138888889
8,5,0.45454545454545453,0.722439236111111,0.6460503472222222,-0.07638888888888884
8,6,0.5454545454545454,0.7456597222222223,0.6375868055555556,-0.10807291666666674
8,7,0.6363636363636364,0.7013888888888888,0.6082899305555555,-0.09309895833333337
8,8,0.7272727272727273,0.6861979166666666,0.5494791666666666,-0.13671875
8,9,0.8181818181818182,0.7369791666666666,0.646267361111111,-0.09071180555555558
8,10,0.9090909090909091,0.691189236111111,0.5394965277777778,-0.15169270833333326
9,1,0.09090909090909091,0.5618489583333334,0.4724392361111111,-0.08940972222222227
9,2,0.18181818181818182,0.6265190972222222,0.48871527777777785,-0.13780381944444436
9,3,0.2727272727272727,0.4249131944444444,0.3040364583333333,-0.1208767361111111
9,4,0.36363636363636365,0.6946614583333334,0.6128472222222222,-0.08181423611111116
9,5,0.45454545454545453,0.6896701388888888,0.5375434027777777,-0.15212673611111116
9,6,0.5454545454545454,0.7035590277777778,0.615234375,-0.08832465277777779
9,7,0.6363636363636364,0.6994357638888888,0.5494791666666666,-0.1499565972222222
9,8,0.7272727272727273,0.7391493055555557,0.6351996527777778,-0.1039496527777779
9,9,0.8181818181818182,0.6994357638888888,0.62890625,-0.07052951388888884
9,10,0.9090909090909091,0.6846788194444445,0.49001736111111116,-0.19466145833333337
