epoch,loss,answer_loss,aux_loss
1,3.42613854192098,3.42613854192098,0.0
2,3.15257389310201,3.15257389310201,0.0
3,2.661696973546346,2.661696973546346,0.0
4,2.066371032333374,2.066371032333374,0.0
5,1.409349059931437,1.409349059931437,0.0
6,0.9453168912569682,0.9453168912569682,0.0
7,0.6403619197050731,0.6403619197050731,0.0
8,0.44456721053123477,0.44456721053123477,0.0
9,0.31425511360168457,0.31425511360168457,0.0
10,0.21899587510426838,0.21899587510426838,0.0
11,0.15082753825187684,0.15082753825187684,0.0
12,0.10319119935035706,0.10319119935035706,0.0
13,0.06471174905498822,0.06471174905498822,0.0
14,0.04021327255566915,0.04021327255566915,0.0
15,0.024644698202610015,0.024644698202610015,0.0
16,0.013473513189951578,0.013473513189951578,0.0
17,0.008071394996841749,0.008071394996841749,0.0
18,0.006338470776627461,0.006338470776627461,0.0
19,0.006015378030141194,0.006015378030141194,0.0
20,0.005695893400907517,0.005695893400907517,0.0
