epoch,loss,answer_loss,aux_loss
1,5.643311831665039,3.3083652998606365,2.33494653301239
2,3.0081569313049314,2.461673242251078,0.5464836903731028
3,1.6543770100275677,1.5792194113413494,0.0751575968404611
4,0.9350294445673625,0.9093440701802572,0.02568537419885397
5,0.5071044906934102,0.4951959807554881,0.011908511350552242
6,0.27590630874633787,0.27004072908560434,0.0058655803988377254
7,0.16178117713133494,0.15795494697093965,0.0038262300804257393
8,0.09748422059615452,0.09466150845686595,0.0028227124058951935
9,0.060583332455158234,0.05900841818253199,0.0015749142484739423
10,0.046358658337593076,0.045094175430138904,0.0012644827208171288
11,0.02255766142209371,0.021919169641534487,0.0006384918052858362
12,0.009582923643290997,0.00920719810264806,0.0003757255315159758
13,0.0027729108018800614,0.002524482746918996,0.00024842805466614664
14,0.001574539165198803,0.001376396199564139,0.0001981429656346639
15,0.0011783765230327845,0.0010001625933063528,0.00017821393016881
16,0.0010773616827093064,0.0009102138039966425,0.00016714787886012346
17,0.0010034975368219117,0.0008430543062277139,0.0001604432304467385
18,0.00097394237536937,0.0008182431696914137,0.00015569920538303754
19,0.0009599522869723539,0.0008062506677272419,0.00015370161924511193
20,0.0009542761959445973,0.0008016625681892038,0.000152613627902853
