epoch,loss,answer_loss,aux_loss
1,6.0415626276652015,3.314065299097697,2.72749733098348
2,3.44220511563619,2.492508899307251,0.9496962157249451
3,1.7751637482325235,1.6407471698125204,0.13441657054622969
4,0.9830731075922648,0.9482618305206298,0.03481127472619216
5,0.4906830816268921,0.47669255634943647,0.01399052943835656
6,0.2639077865918477,0.2571258453448613,0.006781940966844559
7,0.14421035148302713,0.1400287766814232,0.004181574757397175
8,0.08594574704567591,0.08327746161222457,0.0026682856089125075
9,0.05505100088914235,0.052959261922041576,0.002091739201173186
10,0.03652815177838008,0.03536229996283849,0.0011658518793992699
11,0.01722007093752424,0.016510286981860797,0.0007097839394739518
12,0.005300744585320353,0.0049543950008849305,0.0003463495770779749
13,0.0020142963585754237,0.0017975870098918677,0.00021670934750388067
14,0.0023644804389526446,0.002172563260421157,0.000191917178973866
15,0.001165598920919001,0.0010007446844751636,0.0001648542364438375
16,0.0010000118739282092,0.0008469373864121735,0.00015307448707365743
17,0.0009162005958457788,0.0007699505169255039,0.00014625007906773438
18,0.0009025158165643613,0.0007593377211752038,0.00014317809538915753
19,0.0008869431651507815,0.0007456525402454038,0.00014129062490537763
20,0.0008745295821689069,0.0007340032435953618,0.00014052633842608582
