run,early_s,mid_s,late_s,delta_late_early,direction,nll_delta,kl_delta,spearman
1,0.6489800347222222,0.6057942708333334,0.5587890624999999,-0.09019097222222228,negative,0.31900213824378104,0.28524231132533834,-0.9999999999999999
2,0.6607855902777778,0.6146701388888889,0.5566840277777777,-0.10410156250000013,negative,0.3230583323372735,0.3441539893547695,-0.9999999999999999
3,0.649978298611111,0.6074869791666667,0.5608723958333334,-0.08910590277777763,negative,0.31110963026682514,0.31922702590624485,-0.9999999999999999
4,0.6679470486111111,0.6028211805555556,0.5497612847222222,-0.1181857638888889,negative,0.34314100212521026,0.35036769343747026,-0.9999999999999999
5,0.6561197916666667,0.6217013888888889,0.5658203125,-0.0902994791666667,negative,0.3274241897794936,0.33374429013994006,-0.9999999999999999
6,0.6582248263888889,0.6105251736111111,0.538302951388889,-0.11992187499999996,negative,0.37643695407443584,0.3838030672735638,-0.9999999999999999
7,0.6521050347222223,0.5997612847222222,0.5557291666666667,-0.09637586805555554,negative,0.3634675635231866,0.3656005612678,-0.9999999999999999
8,0.6595703125,0.6099175347222223,0.5549479166666668,-0.10462239583333321,negative,0.3360114627414281,0.3528635266754363,-0.9999999999999999
9,0.6523871527777777,0.6021918402777778,0.5334418402777777,-0.11894531249999996,negative,0.3499326599968805,0.3615183093481592,-0.9999999999999999
