target_id,run_id,step,layer,match_class,selected_beta,target_kl,target_nll_damage
r2_s14000_l1,2,14000,1,A,0.610086654353,0.5876143508487278,0.6313015884823269
r2_s14000_l2,2,14000,2,A,0.667777390647,0.6941122081544665,0.7525731987423366
r2_s14000_l3,2,14000,3,A,0.569293543783,0.7652236223220825,0.7743501398298474
r2_s14000_l4,2,14000,4,A,0.367257583746,0.262666051586469,0.2992361386617024
r2_s14000_l6,2,14000,6,A,0.327424162539,0.1849737829632229,0.2089083989461266
r2_s14000_l9,2,14000,9,A,0.370729772479,0.210194620821211,0.2148643864525687
r2_s14000_l10,2,14000,10,A,0.467887361263,0.2904930694235696,0.3209444946712916
r2_s72000_l1,2,72000,1,A,0.708203932499,0.9493300782309636,0.9494883219401044
r2_s72000_l2,2,72000,2,A,0.699480193099,0.92882463004854,0.9390635490417482
r2_s72000_l3,2,72000,3,A,0.44408862564,0.8842032485538058,0.8943626085917153
r2_s72000_l7,2,72000,7,A,0.341906038116,0.3825724124908447,0.3660224808586971
r2_s72000_l9,2,72000,9,A,0.37324227185,0.3535401688681708,0.3771826161278618
r2_s72000_l10,2,72000,10,A,0.52014326253,0.5688886642456055,0.5656325022379556
r2_s143000_l1,2,143000,1,A,0.734741719419,1.0257128013504877,1.0317671828799777
r2_s143000_l2,2,143000,2,A,0.75,1.2016478247112696,1.209634330537584
r2_s143000_l3,2,143000,3,A,0.48739423558,1.250755018658108,1.227257172266642
r2_s143000_l4,2,143000,4,A,0.28795731005,0.3945920136239793,0.4097302754720051
r2_s143000_l6,2,143000,6,A,0.324685111242,0.3667832811673482,0.3975701067182752
r2_s143000_l9,2,143000,9,A,0.365704773739,0.3689571420351664,0.3673667377895779
r2_s143000_l10,2,143000,10,A,0.73488173621,1.022492839230431,1.0224942366282146
r3_s14000_l1,3,14000,1,A,0.649370222483,0.6331983407338461,0.718385034137302
r3_s14000_l2,3,14000,2,A,0.592865727479,0.5016940666569604,0.5203430122799345
r3_s14000_l3,3,14000,3,A,0.723505480648,1.1653783188925848,1.2564765877193873
r3_s14000_l4,3,14000,4,A,0.46204268995,0.4211405383216011,0.4601081477271185
r3_s14000_l5,3,14000,5,A,0.390096630006,0.2574349194765091,0.303992615805732
r3_s14000_l8,3,14000,8,A,0.355654776257,0.1952278746498955,0.2021975252363418
r3_s14000_l9,3,14000,9,A,0.371322893124,0.2099452780352698,0.2110987769232855
r3_s14000_l10,3,14000,10,A,0.443722056922,0.2584894531302982,0.2954315344492597
r3_s72000_l1,3,72000,1,A,0.657500841239,0.8216641214158799,0.8519875208536782
r3_s72000_l2,3,72000,2,A,0.68417864495,0.8010647826724583,0.798615190717909
r3_s72000_l3,3,72000,3,A,0.674128647469,1.7865699529647827,1.7594680786132812
r3_s72000_l4,3,72000,4,A,0.324685111242,0.420711682902442,0.4373422463734943
r3_s72000_l5,3,72000,5,A,0.269183573168,0.2777864734331767,0.2731298870510523
r3_s72000_l6,3,72000,6,A,0.349443536227,0.3916894363032446,0.4318052397833927
r3_s72000_l8,3,72000,8,A,0.391466155654,0.3690718511740367,0.4042413499620223
r3_s72000_l9,3,72000,9,A,0.368810393754,0.319050669670105,0.3441070450676811
r3_s72000_l10,3,72000,10,A,0.492052665603,0.4807328250673082,0.5195619265238443
r3_s143000_l1,3,143000,1,A,0.692902384351,0.8428021934297351,0.8603199587927923
r3_s143000_l2,3,143000,2,A,0.754475145664,0.9341029723485312,0.9460280471377904
r3_s143000_l3,3,143000,3,A,0.681526128789,1.7876547045177882,1.8058287567562523
r3_s143000_l4,3,143000,4,A,0.381006321887,0.5821225576930575,0.6313434176974825
r3_s143000_l5,3,143000,5,A,0.391832724372,0.519927226834827,0.5389819410112168
r3_s143000_l8,3,143000,8,A,0.430339887499,0.4659952885574765,0.4829959604475231
r3_s143000_l10,3,143000,10,A,0.78055982873,0.971138185924954,1.0564743412865532
r5_s14000_l1,5,14000,1,A,0.631372890605,0.6387513412369622,0.622386932373047
r5_s14000_l2,5,14000,2,A,0.602549156242,0.5554652412732443,0.5288314819335939
r5_s14000_l3,5,14000,3,A,0.543941998153,0.4578365882237752,0.4511782328287761
r5_s14000_l4,5,14000,4,A,0.482595788767,0.6056164900461832,0.5590471161736382
r5_s14000_l8,5,14000,8,A,0.408687082529,0.2813361187775929,0.2636863125695119
r5_s72000_l1,5,72000,1,A,0.675681457476,0.8380605710877312,0.8611141840616862
r5_s72000_l2,5,72000,2,A,0.66755083872,0.7998163170284696,0.7792376942104763
r5_s72000_l4,5,72000,4,A,0.418143959365,0.7240708205435012,0.7584351963467068
r5_s72000_l6,5,72000,6,A,0.295861376879,0.3031642966800266,0.304299275080363
r5_s72000_l8,5,72000,8,A,0.441349574343,0.4778973526424832,0.476203574074639
r5_s72000_l10,5,72000,10,A,0.417777390647,0.4103629721535577,0.4008664025200736
r5_s143000_l1,5,143000,1,A,0.709756742507,0.899085309770372,0.885656966103448
r5_s143000_l2,5,143000,2,A,0.748037353707,1.0421509676509433,1.0174618032243514
r5_s143000_l4,5,143000,4,A,0.507947334397,1.0863103667895,1.1163584656185574
r5_s143000_l5,5,143000,5,A,0.323725421879,0.4473706583182017,0.464965502421061
r5_s143000_l6,5,143000,6,A,0.315594803123,0.4099051654338836,0.410546965069241
r5_s143000_l8,5,143000,8,A,0.458203932499,0.5062560439109802,0.4645285606384279
r5_s143000_l9,5,143000,9,A,0.477344238099,0.4552549189991421,0.469718747668796
r5_s143000_l10,5,143000,10,A,0.710123311225,0.8987416625022888,0.9176686339908176
r6_s14000_l1,6,14000,1,A,0.620363203761,0.5865197479724884,0.6223341888851589
r6_s14000_l2,6,14000,2,A,0.564408561834,0.4509906868139903,0.4819903373718264
r6_s14000_l3,6,14000,3,A,0.574911663169,0.4482773906654782,0.4883725378248427
r6_s14000_l4,6,14000,4,A,0.701033003106,1.044528702894847,1.0565301047431097
r6_s14000_l5,6,14000,5,A,0.336881039375,0.2650355199972788,0.2909433576795791
r6_s14000_l8,6,14000,8,A,0.403068963143,0.2307179205947452,0.271018319659763
r6_s14000_l9,6,14000,9,A,0.37324227185,0.2134044021368026,0.2137982315487331
r6_s72000_l1,6,72000,1,A,0.642016008731,0.7643024126688639,0.7929642995198569
r6_s72000_l2,6,72000,2,A,0.589986659391,0.5691659980350071,0.5819150341881646
r6_s72000_l3,6,72000,3,A,0.648777101839,0.6611291766166687,0.652304967244466
