run_id,stage,step,progress,layer,alpha,top1_agreement,top1_damage,nll_damage,kl,activation_relative_magnitude,activation_absolute_rms,intact_update_rms,layer_parameter_l2,alpha_layer_parameter_l2_proxy,alpha_layer_parameter_l2_relative_model,baseline_nll,baseline_confidence
1,pilot,14000,0.0979020979020979,1,0.25,0.9409722222222222,0.05902777777777779,0.004769802093505711,0.009613881508509317,0.10355032400952446,0.11025486720932853,0.44101946883731413,97.44437854306734,24.361094635766836,0.04220479181932887,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,1,0.5,0.8723958333333334,0.12760416666666666,0.04508810573154035,0.04926121855775515,0.20710064801904893,0.22050973441865707,0.44101946883731413,97.44437854306734,48.72218927153367,0.08440958363865773,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,1,0.75,0.781032986111111,0.21896701388888892,0.1678769323560926,0.15964497874180475,0.310650775829951,0.33076440956857467,0.44101946883731413,97.44437854306734,73.08328390730051,0.12661437545798662,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,1,1.0,0.6976996527777778,0.3023003472222222,0.3489034175872803,0.3358679711818695,0.41420129603809785,0.44101946883731413,0.44101946883731413,97.44437854306734,97.44437854306734,0.16881916727731547,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,2,0.25,0.935763888888889,0.06423611111111109,0.0076562298668753455,0.00971942643324534,0.10042705138524373,0.12105424205462138,0.48421696821848553,100.44130306930681,25.110325767326703,0.043502810007954036,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,2,0.5,0.8736979166666666,0.12630208333333334,0.045621792475382485,0.04693048530154758,0.20085410277048746,0.24210848410924277,0.48421696821848553,100.44130306930681,50.220651534653406,0.08700562001590807,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,2,0.75,0.7907986111111112,0.20920138888888887,0.1445230378044977,0.14165342681937748,0.30128099852138096,0.3631626003318362,0.48421696821848553,100.44130306930681,75.33097730198011,0.13050843002386212,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,2,1.0,0.6799045138888888,0.3200954861111111,0.3734918965233696,0.3583042985863156,0.4017082055409749,0.48421696821848553,0.48421696821848553,100.44130306930681,100.44130306930681,0.17401124003181614,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,3,0.25,0.92578125,0.07421875,0.024770789676242355,0.02236184622678492,0.1233120933175087,0.19735869765281677,0.7894347906112671,99.9755638539496,24.9938909634874,0.04330109055609708,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,3,0.5,0.8205295138888888,0.17947048611111113,0.12438342306349008,0.10777122527360916,0.2466241866350174,0.39471739530563354,0.7894347906112671,99.9755638539496,49.9877819269748,0.08660218111219416,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,3,0.75,0.6842447916666666,0.3157552083333333,0.4123511844211154,0.36771597133742434,0.3699363205167982,0.5920781824323865,0.7894347906112671,99.9755638539496,74.98167289046219,0.12990327166829124,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,3,1.0,0.4346788194444444,0.5653211805555556,1.4270930290222168,1.3468582497702706,0.4932483732700348,0.7894347906112671,0.7894347906112671,99.9755638539496,99.9755638539496,0.17320436222438831,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,4,0.25,0.9368489583333334,0.06315104166666667,0.01805085606045198,0.010869345834685696,0.09760881960391998,0.13578534291850194,0.5431413716740078,100.72206732988495,25.180516832471238,0.04362441370993434,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,4,0.5,0.8697916666666666,0.13020833333333334,0.0690245893266465,0.05252032892571556,0.19521763920783997,0.2715706858370039,0.5431413716740078,100.72206732988495,50.361033664942475,0.08724882741986868,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,4,0.75,0.7927517361111112,0.20724826388888887,0.17076857884724936,0.14151985115475127,0.2928263478808933,0.4073558714654711,0.5431413716740078,100.72206732988495,75.54155049741371,0.13087324112980306,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,4,1.0,0.7061631944444445,0.2938368055555555,0.3382537364959717,0.29371902843316394,0.39043527841567993,0.5431413716740078,0.5431413716740078,100.72206732988495,100.72206732988495,0.17449765483973737,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,5,0.25,0.939453125,0.060546875,0.01709474457634815,0.008539550420310762,0.09613489773538376,0.1422262920273675,0.56890516810947,107.11425393537498,26.778563483843744,0.04639297675060041,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,5,0.5,0.880859375,0.119140625,0.05879545211791992,0.039044301956892014,0.19226979547076753,0.284452584054735,0.56890516810947,107.11425393537498,53.55712696768749,0.09278595350120082,3.1252391603257923,0.4032067325380113
1,pilot,14000,0.0979020979020979,5,0.75,0.8190104166666666,0.18098958333333334,0.13426383336385092,0.10127059370279312,0.28840457730823094,0.42667871051364475,0.56890516810947,107.11425393537498,80.33569045153124,0.13917893025180123,3.1252391603257923,0.4032067325380113
