run_id,stage,step,progress,layer,alpha,top1_agreement,top1_damage,nll_damage,kl,activation_relative_magnitude,activation_absolute_rms,intact_update_rms,layer_parameter_l2,alpha_layer_parameter_l2_proxy,alpha_layer_parameter_l2_relative_model,baseline_nll,baseline_confidence
1,pilot,14000,0.0979020979020979,1,0.25,0.9194878472222222,0.08051215277777779,0.012498723136054194,0.01528988333625926,0.10547222528192733,0.11246023741033341,0.44984094964133364,97.44437854306734,24.361094635766836,0.04220479181932887,3.8918036090003123,0.34750964244206745
1,pilot,14000,0.0979020979020979,1,0.5,0.8218315972222222,0.1781684027777778,0.09075437651740155,0.08659533659617107,0.21094445056385466,0.22492047482066682,0.44984094964133364,97.44437854306734,48.72218927153367,0.08440958363865773,3.8918036090003123,0.34750964244206745
1,pilot,14000,0.0979020979020979,1,0.75,0.6857638888888888,0.3142361111111111,0.3360300064086916,0.3210617767439948,0.31641678015391034,0.3373807900481754,0.44984094964133364,97.44437854306734,73.08328390730051,0.12661437545798662,3.8918036090003123,0.34750964244206745
1,pilot,14000,0.0979020979020979,1,1.0,0.5755208333333334,0.4244791666666667,0.6822634538014728,0.6551088889439901,0.4218889011277093,0.44984094964133364,0.44984094964133364,97.44437854306734,97.44437854306734,0.16881916727731547,3.8918036090003123,0.34750964244206745
1,pilot,14000,0.0979020979020979,2,0.25,0.9184027777777777,0.08159722222222225,0.0012129677666556187,0.01705063258608182,0.10722088896565968,0.12842270731925964,0.5136908292770386,100.44130306930681,25.110325767326703,0.043502810007954036,3.8918036090003123,0.34750964244206745
1,pilot,14000,0.0979020979020979,2,0.5,0.827907986111111,0.17209201388888892,0.05075905058119027,0.08113291280137168,0.21444177793131936,0.2568454146385193,0.5136908292770386,100.44130306930681,50.220651534653406,0.08700562001590807,3.8918036090003123,0.34750964244206745
1,pilot,14000,0.0979020979020979,2,0.75,0.726345486111111,0.2736545138888889,0.1875983874003091,0.23040802280108133,0.32166267434755963,0.38526819811926943,0.5136908292770386,100.44130306930681,75.33097730198011,0.13050843002386212,3.8918036090003123,0.34750964244206745
1,pilot,14000,0.0979020979020979,2,1.0,0.6026475694444445,0.3973524305555555,0.48881491025288915,0.5368219614028931,0.4288835558626387,0.5136908292770386,0.5136908292770386,100.44130306930681,100.44130306930681,0.17401124003181614,3.8918036090003123,0.34750964244206745
1,pilot,14000,0.0979020979020979,3,0.25,0.904079861111111,0.09592013888888891,0.031903664271036636,0.02629991641475095,0.12864782247278425,0.19728108578258088,0.7891243431303235,99.9755638539496,24.9938909634874,0.04330109055609708,3.8918036090003123,0.34750964244206745
1,pilot,14000,0.0979020979020979,3,0.5,0.7934027777777778,0.2065972222222222,0.1271852387322321,0.12572730580965677,0.2572956449455685,0.39456217156516177,0.7891243431303235,99.9755638539496,49.9877819269748,0.08660218111219416,3.8918036090003123,0.34750964244206745
1,pilot,14000,0.0979020979020979,3,0.75,0.630859375,0.369140625,0.4477458794911701,0.45364171266555786,0.3859434790081448,0.5918451084030999,0.7891243431303235,99.9755638539496,74.98167289046219,0.12990327166829124,3.8918036090003123,0.34750964244206745
1,pilot,14000,0.0979020979020979,3,1.0,0.3776041666666667,0.6223958333333334,1.511812819374932,1.5203336344824896,0.514591289891137,0.7891243431303235,0.7891243431303235,99.9755638539496,99.9755638539496,0.17320436222438831,3.8918036090003123,0.34750964244206745
1,pilot,14000,0.0979020979020979,4,0.25,0.9292534722222222,0.07074652777777779,0.012839317321777344,0.012108095197214022,0.09823121047682232,0.1388198865784539,0.5552795463138156,100.72206732988495,25.180516832471238,0.04362441370993434,3.8918036090003123,0.34750964244206745
