epoch,loss,answer_loss,aux_loss
1,4.772572566986084,3.452499152882894,1.3200734110156696
2,2.8736085088094074,2.8301186599731447,0.04348983967900276
3,1.9711001722971597,1.9523932306289673,0.018706932579974335
4,1.1064746214548746,1.0965129147847494,0.0099617117566367
5,0.5886475567340851,0.5832254352410634,0.005422121685991685
6,0.2941965691169103,0.29118101381460826,0.003015556463226676
7,0.14872339531580608,0.14677925109465917,0.00194414466265589
8,0.08130436424811681,0.08001846907138825,0.0012858948229501645
9,0.04561487861871719,0.044845099526643756,0.0007697791097685695
10,0.03149408127069473,0.030955809822678565,0.0005382711012692501
11,0.01954318228463332,0.019133667303125063,0.00040951484052153923
12,0.006643585268283883,0.006386623509104053,0.0002569617747794837
13,0.0020828378359476723,0.0018961535686627031,0.00018668426669513186
14,0.0013804512333745757,0.001224313266761601,0.00015613796705535302
15,0.0011619113201896349,0.0010191879350071153,0.00014272338547743858
16,0.0010689476770659287,0.0009334414364149174,0.00013550624050355205
17,0.0010278314827941357,0.0008968494336120784,0.0001309820493295168
18,0.0009784301835422714,0.0008505379873327911,0.00012789219620948036
19,0.0009818577964169283,0.0008557335693699618,0.00012612422704696654
20,0.0009652818445426722,0.000839981361447523,0.0001253004829476898
