epoch,loss,answer_loss,aux_loss
1,5.979072231292725,3.3124231769561767,2.6666490168889365
2,3.6184139015197756,2.4946781328837075,1.1237357533772787
3,1.8585725474675496,1.5011956710179646,0.35737688117822014
4,0.8445986751874288,0.7451335836410522,0.09946508556803067
5,0.42305301713943483,0.39050452893575033,0.03254848822255929
6,0.23759456369082133,0.22156549660364785,0.01602906765639782
7,0.1277961762189865,0.1191872717499733,0.008608903901775678
8,0.07666812357902526,0.07168840998609861,0.004979713498055935
9,0.047741929308573405,0.04437508419553439,0.003366845217719674
10,0.027497885034481685,0.025942482829093932,0.0015554020613431931
11,0.019450957059611876,0.018179312597215176,0.001271644573441396
12,0.005379857136805852,0.00501073312330991,0.000369123994326219
13,0.0017099789960930746,0.0014818829958637555,0.00022809599740430714
14,0.0012207233081261318,0.0010317759295304617,0.0001889473804815983
15,0.0010173247326165438,0.0008479637923650443,0.00016936093801632522
16,0.000930711537382255,0.0007724850572335223,0.0001582264813904961
17,0.0008982288545928896,0.0007464153190143406,0.00015181353394097338
18,0.0008600204804291328,0.0007119395655579865,0.0001480809131792436
19,0.0008457843345279495,0.0006995475213664274,0.00014623681663845976
20,0.0008417589336944123,0.000695801758983483,0.00014595716815286628
