epoch,loss,answer_loss,aux_loss
1,5.683218588002523,3.3415361008961995,2.3416824871063233
2,3.0283598885854084,2.47689899075826,0.5514609120686849
3,1.625666610209147,1.5513975234349568,0.07426908824245135
4,0.865763956006368,0.8430108065287272,0.02275315004736185
5,0.4497562527338664,0.4400128032684326,0.009743448005368312
6,0.22483754924933116,0.2194629421154658,0.005374608263000846
7,0.1282208860596021,0.12490687801837921,0.0033140075514713923
8,0.08009541916449865,0.07785421992739042,0.002241198762630423
9,0.051841507587830224,0.050473231180508935,0.0013682763419734934
10,0.03104485621750355,0.0299972785482804,0.0010475775402970613
11,0.011888657631228367,0.01142568295362095,0.00046297461593834064
12,0.0031254850746442876,0.0028567074383298555,0.00026877763278316706
13,0.001469413563112418,0.001263824327973028,0.00020558923484447102
14,0.001218069278790305,0.001040946988047411,0.00017712229089035343
15,0.0010058373605211575,0.0008424940822025141,0.00016334327861356238
16,0.0009174489218741655,0.0007627491435967386,0.00015469977857234579
17,0.0008740762037535508,0.0007247483690890173,0.00014932783451707414
18,0.0008478638406222065,0.0007018330532126128,0.00014603078755705306
19,0.0008279810701186458,0.0006842202462255955,0.00014376082418796917
20,0.0008242292322218418,0.0006809957819369932,0.00014323345028484862
