run_id,stage,step,bin_index,bin_low,bin_high,contrast,high_count,low_count
1,pilot,72000,3,0.2,0.4,0.1210967250571211,1313,1313
1,pilot,72000,4,0.4,1.01,0.04025974025974022,1540,1540
1,pilot,72000,0,0.0,0.05,0.16256157635467983,203,203
1,pilot,72000,1,0.05,0.1,0.21019108280254772,471,471
1,pilot,72000,2,0.1,0.2,0.2654949121184089,1081,1081
1,pilot,72000,3,0.2,0.4,0.3023610053313023,1313,1313
1,pilot,72000,4,0.4,1.01,0.37662337662337664,1540,1540
1,pilot,72000,0,0.0,0.05,0.10344827586206895,203,203
1,pilot,72000,1,0.05,0.1,0.0721868365180467,471,471
1,pilot,72000,2,0.1,0.2,0.05550416281221093,1081,1081
1,pilot,72000,3,0.2,0.4,0.037319116527037344,1313,1313
1,pilot,72000,4,0.4,1.01,0.01103896103896096,1540,1540
1,pilot,72000,0,0.0,0.05,0.13793103448275856,203,203
1,pilot,72000,1,0.05,0.1,0.11252653927813161,471,471
1,pilot,72000,2,0.1,0.2,0.10545790934320076,1081,1081
1,pilot,72000,3,0.2,0.4,0.061690784463061754,1313,1313
1,pilot,72000,4,0.4,1.01,0.036363636363636376,1540,1540
1,pilot,143000,0,0.0,0.05,0.03347280334728031,239,239
1,pilot,143000,1,0.05,0.1,0.07999999999999996,550,550
1,pilot,143000,2,0.1,0.2,0.11111111111111116,1062,1062
1,pilot,143000,3,0.2,0.4,0.08564814814814814,1296,1296
1,pilot,143000,4,0.4,1.01,0.11978097193702952,1461,1461
1,pilot,143000,0,0.0,0.05,0.03765690376569042,239,239
1,pilot,143000,1,0.05,0.1,0.13818181818181818,550,550
1,pilot,143000,2,0.1,0.2,0.147834274952919,1062,1062
1,pilot,143000,3,0.2,0.4,0.0532407407407407,1296,1296
1,pilot,143000,4,0.4,1.01,0.06844626967830258,1461,1461
1,pilot,143000,0,0.0,0.05,-0.012552301255230103,239,239
1,pilot,143000,1,0.05,0.1,0.07454545454545447,550,550
1,pilot,143000,2,0.1,0.2,0.0423728813559322,1062,1062
1,pilot,143000,3,0.2,0.4,0.014660493827160392,1296,1296
1,pilot,143000,4,0.4,1.01,0.013004791238877544,1461,1461
1,pilot,143000,0,0.0,0.05,0.10460251046025104,239,239
1,pilot,143000,1,0.05,0.1,0.10363636363636364,550,550
1,pilot,143000,2,0.1,0.2,0.06873822975517896,1062,1062
1,pilot,143000,3,0.2,0.4,0.024691358024691357,1296,1296
1,pilot,143000,4,0.4,1.01,0.026009582477754978,1461,1461
1,pilot,143000,0,0.0,0.05,0.14644351464435146,239,239
1,pilot,143000,1,0.05,0.1,0.19454545454545458,550,550
1,pilot,143000,2,0.1,0.2,0.13088512241054606,1062,1062
1,pilot,143000,3,0.2,0.4,0.125,1296,1296
1,pilot,143000,4,0.4,1.01,0.042436687200547496,1461,1461
1,pilot,143000,0,0.0,0.05,0.046025104602510525,239,239
1,pilot,143000,1,0.05,0.1,0.07636363636363641,550,550
1,pilot,143000,2,0.1,0.2,0.10451977401129942,1062,1062
1,pilot,143000,3,0.2,0.4,0.13503086419753085,1296,1296
1,pilot,143000,4,0.4,1.01,0.05270362765229297,1461,1461
1,pilot,143000,0,0.0,0.05,0.07531380753138073,239,239
1,pilot,143000,1,0.05,0.1,0.02181818181818196,550,550
1,pilot,143000,2,0.1,0.2,0.006591337099811745,1062,1062
1,pilot,143000,3,0.2,0.4,-0.0007716049382715529,1296,1296
1,pilot,143000,4,0.4,1.01,0.09034907597535935,1461,1461
1,pilot,143000,0,0.0,0.05,0.09205020920502094,239,239
1,pilot,143000,1,0.05,0.1,0.08181818181818179,550,550
1,pilot,143000,2,0.1,0.2,0.11676082862523529,1062,1062
1,pilot,143000,3,0.2,0.4,0.07253086419753085,1296,1296
1,pilot,143000,4,0.4,1.01,0.07665982203969879,1461,1461
1,pilot,143000,0,0.0,0.05,0.09623430962343105,239,239
1,pilot,143000,1,0.05,0.1,0.10545454545454547,550,550
1,pilot,143000,2,0.1,0.2,0.0856873822975518,1062,1062
1,pilot,143000,3,0.2,0.4,0.10725308641975306,1296,1296
1,pilot,143000,4,0.4,1.01,0.0691307323750856,1461,1461
1,pilot,143000,0,0.0,0.05,0.02092050209205021,239,239
1,pilot,143000,1,0.05,0.1,0.08727272727272728,550,550
1,pilot,143000,2,0.1,0.2,0.06591337099811678,1062,1062
1,pilot,143000,3,0.2,0.4,0.05169753086419748,1296,1296
1,pilot,143000,4,0.4,1.01,0.017111567419575646,1461,1461
1,pilot,143000,0,0.0,0.05,0.08786610878661083,239,239
1,pilot,143000,1,0.05,0.1,0.07454545454545458,550,550
1,pilot,143000,2,0.1,0.2,0.03672316384180796,1062,1062
1,pilot,143000,3,0.2,0.4,0.04475308641975306,1296,1296
1,pilot,143000,4,0.4,1.01,0.01642710472279263,1461,1461
1,pilot,143000,0,0.0,0.05,0.029288702928870203,239,239
1,pilot,143000,1,0.05,0.1,0.11818181818181817,550,550
1,pilot,143000,2,0.1,0.2,0.19774011299435024,1062,1062
