run_id,step,runtime_seconds,peak_cuda_bytes,harness_pass
2,14000,128.10085770000114,1061537792,True
2,72000,128.02617570000075,1062193152,True
2,143000,127.47395069999948,1062193152,True
3,14000,127.38910190000024,1061537792,True
3,72000,127.20620860000054,1062193152,True
3,143000,127.25663449999956,1062193152,True
5,14000,127.68309090000002,1061537792,True
5,72000,126.99753390000114,1062193152,True
5,143000,127.05728589999853,1062193152,True
6,14000,127.91697960000056,1061537792,True
6,72000,127.20959319999929,1062193152,True
6,143000,126.85810309999943,1062193152,True
8,14000,128.11756149999928,1061537792,True
8,72000,127.29023550000056,1062193152,True
8,143000,127.0704055999995,1062193152,True
