run_id,step,high_layer,high_beta,low_layer,low_beta,magnitude_ratio,directional_ds_contrast,absolute_kl_gap,absolute_nll_gap,relative_kl_gap,relative_nll_gap,kl_caliper,nll_caliper
2,72000,2,0.75,3,0.5,1.5000000662273971,0.02285879629629628,0.004580137906251114,0.003893675627532067,0.0041905419647195975,0.0034128957402986253,0.10929702995000062,0.11408715424714266
2,72000,2,0.5,7,0.35,1.4285716493294267,0.022135416666666685,0.0032962715184247093,0.011817684880009616,0.00851765447364019,0.029847779021074168,0.03869928662423735,0.03959318002065024
2,72000,10,0.5,4,0.35,1.4285711303230118,0.037615740740740755,0.018259423750418224,0.011137026327627697,0.035261457560595684,0.021172569892887242,0.05178295230423964,0.052601202328999855
2,72000,1,0.5,8,0.35,1.4285708455905053,0.024305555555555525,0.01837841890476366,0.003008727674130851,0.05118993701442707,0.008188010172827732,0.035902405778567,0.03674552926310786
2,72000,10,0.75,4,0.5,1.5000005099508882,0.05237268518518523,0.08291476964950573,0.06693666952627675,0.0819420365369822,0.06453805092785309,0.1011870990196864,0.1037165959676107
2,72000,9,0.5,3,0.35,1.4285713654977314,0.026114004629629706,0.050441485864144764,0.036112529260140525,0.08813064879397489,0.061652619485880016,0.057234896774645216,0.058574201001061345
2,143000,9,0.5,3,0.35,1.4285709577715033,0.01649305555555558,0.0009203575275562592,0.00791991198504427,0.0014349270653522133,0.012192745100496965,0.06413967300344396,0.06495593830391214
2,143000,9,0.75,3,0.5,1.4999996953541104,0.03978587962962954,0.017764983353791397,0.005901230706108818,0.013743059866343974,0.004478356343263473,0.1292651238264861,0.1317722453011407
2,143000,2,0.5,6,0.35,1.4285708379314834,0.017071759259259245,0.0015003096174310837,0.00788177384270572,0.0034217367264478406,0.01806496452121013,0.04384643639679309,0.04363016508243701
2,143000,1,0.5,8,0.35,1.4285714290219549,0.023943865740740755,0.005121109662232559,0.0060697661505804135,0.01405914164835965,0.016821675018136594,0.03642547881161725,0.03608300685882567
2,143000,1,0.75,4,0.5,1.499999887413463,0.01627604166666674,0.04122240013546419,0.025538055985062202,0.03749745202528862,0.023061213210778468,0.1099338699270178,0.1107402969289709
2,143000,10,0.5,5,0.35,1.4285713866724685,0.02611400462962965,0.021174516942765953,0.031473442360206993,0.04172744682778142,0.06293120279526611,0.05074481798542871,0.0500124595783375
3,72000,10,0.75,3,0.5,1.4999994326522628,0.029875578703703665,0.0007197923130459749,0.004907749317310417,0.0006996145296770873,0.004702587231861561,0.10288412868976593,0.10436274917037398
3,72000,10,0.5,3,0.35,1.4285708469419283,0.018012152777777735,0.016433531487429653,0.01130534984447329,0.031645600568288385,0.021641404798749517,0.05192990871491257,0.05223944540377016
3,72000,2,0.5,7,0.35,1.4285720741758217,0.02546296296296291,0.0126001327126114,0.008013478031864807,0.036814279882347714,0.023279973688187107,0.03422620991865794,0.03442219539924903
3,72000,1,0.5,6,0.35,1.428572401258375,0.01663773148148151,0.02805527161668847,0.02029810128388565,0.07140243459789722,0.04995601189243798,0.03929175773152599,0.040631949018549045
3,72000,2,0.75,4,0.5,1.5000001810215216,0.03725405092592593,0.07789499892128837,0.08823968746044031,0.07986531768732576,0.08872714210434725,0.09753294818931156,0.09945061383423981
3,143000,1,0.75,3,0.5,1.5000002770512664,0.02748842592592593,0.00646034655747596,0.005361521685564918,0.0063505135724347215,0.0050609976278098755,0.10172951342882933,0.10593803988562689
3,143000,1,0.5,7,0.35,1.4285715722893553,0.03182870370370372,0.000963660301985525,0.0057222843170166016,0.0026918343762944775,0.015519416273890538,0.03579939057429632,0.03687177543286924
3,143000,2,0.5,8,0.35,1.4285710987861702,0.014033564814814825,0.011642407487939876,0.0019798543718124173,0.03533617006918707,0.006082231176280105,0.03294756467695589,0.032551448875003386
