run_id,step,beta,high_layer,low_layer,kl_gap,nll_gap,magnitude_ratio,directional_ds_contrast
2,14000,0.35,3,2,0.15510613443674864,0.15560838028236662,1.0000002081431885,0.06987847222222224
2,14000,0.35,4,1,0.1258962736637504,0.11899586077089652,1.0000000693810744,0.0621383101851852
2,14000,0.35,5,10,0.037393876799830694,0.03683326862476491,1.0000004131327795,0.01605902777777779
2,14000,0.5,3,2,0.2631562164536229,0.2685965961880154,1.0000003487975972,0.07703993055555558
2,14000,0.5,4,1,0.16749260050279124,0.1606418821546765,1.0000000132454776,0.048611111111111105
2,14000,0.5,5,10,0.07547187032522978,0.0835471241562456,1.0000000816804473,0.018229166666666685
2,14000,0.5,6,9,0.04623772921385588,0.0768145720163983,1.0000001059638246,0.022497106481481455
2,14000,0.75,3,10,0.6003260325502465,0.6502068307664658,1.0000000264909532,0.11103877314814808
2,14000,0.75,4,9,0.36687797970241987,0.4114807800010397,1.000000038264718,0.08535879629629622
2,14000,0.75,1,8,0.3031848536597358,0.3289127526459872,1.0000001353982093,0.0798611111111111
2,14000,0.75,2,7,0.1354661076157182,0.12419665301287619,1.000000035321267,0.03848379629629628
2,14000,0.75,5,6,0.058500342898898716,0.03972901238335513,1.0000001206810125,0.015769675925925875
2,72000,0.35,3,1,0.4079101913505131,0.42427762349446635,1.0000002302189943,0.14749710648148143
2,72000,0.35,4,2,0.34362493124273097,0.3503862310338903,1.0000003027537716,0.12326388888888887
2,72000,0.35,5,10,0.15536676402445188,0.1594293294129548,1.0000003595200564,0.038700810185185175
2,72000,0.35,6,9,0.089138925075531,0.1070184266125716,1.0000001261473725,0.029658564814814825
2,72000,0.5,3,1,0.7454255201198435,0.7768674514911793,1.0000002472489493,0.17635995370370372
2,72000,0.5,4,2,0.5850688748889499,0.6018569822664614,1.000000017660637,0.1421440972222222
2,72000,0.5,5,10,0.2934651650764324,0.3085334919117113,1.0000000198682146,0.05078125
2,72000,0.5,6,9,0.17434753312004936,0.20413099394904244,1.0000003819112526,0.03884548611111105
2,72000,0.5,7,8,0.04632481601503158,0.05273773935106063,1.0000005960466518,0.01128472222222221
2,72000,0.75,3,10,1.2162390439598647,1.2965692237571436,1.0000001030203571,0.1577690972222221
2,72000,0.75,4,1,0.8354945580164592,0.8675824977733471,1.000000300230835,0.13259548611111116
2,72000,0.75,5,2,0.5072244162912722,0.519300690403691,1.0000001530588665,0.07602719907407407
2,72000,0.75,6,9,0.3154451825000619,0.3635540891576696,1.0000002914004957,0.04275173611111094
2,72000,0.75,7,8,0.09098668451662428,0.10744259092542863,1.0000000176606358,0.01070601851851849
2,143000,0.35,3,1,0.48613736916471406,0.5042870662830495,1.000000299600042,0.16304976851851846
2,143000,0.35,4,2,0.38555945676785935,0.37833637661404096,1.000000151376873,0.13324652777777773
2,143000,0.35,5,10,0.22099995061203281,0.21261488066779244,1.0000004825138311,0.07436342592592587
2,143000,0.35,6,9,0.09632121633600305,0.09377800976788558,1.0000001734526156,0.031249999999999944
2,143000,0.35,7,8,0.03059948263344936,0.02280694467050054,1.0000001450695086,0.00853587962962965
2,143000,0.5,3,1,0.9169534036406765,0.9509068859948054,1.0000002582867993,0.19712094907407413
2,143000,0.5,4,2,0.6807353805612637,0.6799294595365173,1.0000002273807045,0.15813078703703703
2,143000,0.5,5,10,0.42442996192861493,0.42404444129378704,1.0000004326856182,0.0964265046296296
2,143000,0.5,6,9,0.171492823848018,0.17098001197532375,1.000000108171387,0.03696469907407407
2,143000,0.5,7,8,0.04800463164294211,0.04011365219398777,1.0000002097200342,0.011212384259259245
2,143000,0.75,3,10,1.5436644752820332,1.608078885961462,1.0000001677760741,0.1875
2,143000,0.75,4,1,1.1245863283122026,1.1358322567409935,1.0000000323778302,0.15733506944444442
2,143000,0.75,5,2,0.666247586409251,0.6833705548886899,1.0000002914005472,0.09787326388888895
2,143000,0.75,6,9,0.2886704647982563,0.297732777065701,1.0000001324547616,0.03204571759259267
