target_id,run_id,step,layer,family_residual,block_ds,noise_ds,corrected_topk_residual,corrected_argmax_residual,topk_correction,argmax_correction
r2_s14000_l1,2,14000,1,0.0062210648148148,0.4060329861111111,0.4122540509259259,0.00723379629629628,0.007740162037037035,0.00101273148148148,0.001519097222222235
r2_s14000_l2,2,14000,2,0.001953125,0.4446614583333333,0.4466145833333333,0.0028935185185185452,0.0028211805555555247,0.0009403935185185452,0.0008680555555555247
r2_s14000_l3,2,14000,3,-0.0343605324074073,0.4763454861111111,0.4419849537037037,-0.03399884259259256,-0.03414351851851849,0.00036168981481474183,0.0002170138888888118
r2_s14000_l4,2,14000,4,-0.0134548611111111,0.2953559027777778,0.2819010416666666,-0.01302083333333337,-0.013888888888888895,0.0004340277777777294,-0.0004340277777777953
r2_s14000_l6,2,14000,6,-0.0252459490740741,0.2599826388888889,0.2347366898148147,-0.024594907407407413,-0.025028935185185175,0.0006510416666666886,0.00021701388888892628
r2_s14000_l9,2,14000,9,-0.0380497685185185,0.2805989583333333,0.2425491898148147,-0.03804976851851849,-0.037832754629629595,6.938893903907228e-18,0.000217013888888902
r2_s14000_l10,2,14000,10,0.001808449074074,0.3070746527777778,0.3088831018518518,0.00224247685185186,0.002025462962962965,0.00043402777777786015,0.0002170138888889651
r2_s72000_l1,2,72000,1,-0.0008680555555555,0.4835069444444444,0.4826388888888888,-0.00014467592592587453,-0.0008680555555555247,0.0007233796296296255,-2.47198095326695e-17
r2_s72000_l2,2,72000,2,-0.0199652777777776,0.5021701388888888,0.4822048611111111,-0.01916956018518512,-0.019965277777777735,0.0007957175925924799,-1.3530843112619095e-16
r2_s72000_l3,2,72000,3,-0.0494791666666666,0.4967447916666667,0.447265625,-0.048900462962962965,-0.049045138888888895,0.0005787037037036369,0.00043402777777770685
r2_s72000_l7,2,72000,7,-0.0411603009259259,0.3439670138888889,0.3028067129629629,-0.041521990740740755,-0.04072627314814814,-0.00036168981481485285,0.00043402777777776236
r2_s72000_l9,2,72000,9,-0.036747685185185,0.3433159722222221,0.3065682870370371,-0.03696469907407407,-0.03501157407407407,-0.00021701388888906853,0.0017361111111109315
r2_s72000_l10,2,72000,10,0.0244502314814815,0.3715277777777778,0.3959780092592593,0.025173611111111105,0.02510127314814814,0.0007233796296296051,0.0006510416666666401
r2_s143000_l1,2,143000,1,-0.0043402777777777,0.5190972222222222,0.5147569444444444,-0.00347222222222221,-0.0036892361111111605,0.00086805555555549,0.0006510416666665395
r2_s143000_l2,2,143000,2,-0.0112123842592591,0.5579427083333333,0.5467303240740741,-0.0087528935185186,-0.0077401620370370905,0.0024594907407404984,0.0034722222222220087
r2_s143000_l3,2,143000,3,-0.0596064814814814,0.5813802083333333,0.5217737268518519,-0.05620659722222221,-0.05938946759259256,0.0033998842592591894,0.00021701388888883955
r2_s143000_l4,2,143000,4,-0.0266203703703704,0.3561197916666667,0.3294994212962963,-0.02372685185185186,-0.023799189814814825,0.0028935185185185383,0.0028211805555555733
r2_s143000_l6,2,143000,6,-0.035011574074074,0.3500434027777778,0.3150318287037037,-0.031177662037037035,-0.0337094907407407,0.0038339120370369656,0.001302083333333301
r2_s143000_l9,2,143000,9,-0.017578125,0.33203125,0.314453125,-0.012731481481481455,-0.01671006944444442,0.004846643518518545,0.0008680555555555802
r2_s143000_l10,2,143000,10,0.0185908564814814,0.498046875,0.5166377314814814,0.02191840277777779,0.02401620370370372,0.003327546296296391,0.005425347222222321
