tokens,intervened_nll,nll_damage,kl,top1_flip_rate,top1_retained_rate,top1_to_intact_top2_rate,other_flip_rate,top1_to_top2_share_of_flips,delta_b_mean,delta_b_median,delta_b_q10,delta_b_q25,delta_b_q75,delta_b_q90,delta_margin_mean,delta_margin_identity_max_abs,logit_delta_norm_mean,logit_delta_norm_median,cosine_alignment_mean,abs_cosine_alignment_mean,target_id,run_id,step,layer,match_class,selected_beta,family,intact_margin_mean,intact_margin_median,intact_margin_q10,intact_margin_q25,intact_margin_q75,intact_margin_q90,baseline_nll,stratum_0_count,stratum_0_flip_rate,stratum_1_count,stratum_1_flip_rate,stratum_2_count,stratum_2_flip_rate,reveal_kl,reveal_nll_damage,block_kl,block_nll_damage,corrected_block_ds,corrected_noise_ds,corrected_residual,corrected_reversal,ds,source_kl,source_nll,family_indicator,z_kl,z_nll_damage,z_intact_margin_mean,z_delta_b_mean,z_logit_delta_norm_mean,z_abs_cosine_alignment_mean,f_damage
4608,4.495345062679714,0.6313015884823265,0.5876143508487277,0.4045138888888889,0.5954861111111112,0.15104166666666666,0.2534722222222222,0.37339055793991416,-0.13787978887557983,-0.109375,-1.8671875,-0.890625,0.6845703125,1.5441405773162842,-0.13787978887557983,0.0,243.5110626220703,218.63320922851562,-0.0003319514507893473,0.0032270788215100765,r2_s14000_l1,2,14000,1,A,0.610086654353,block,1.3771607875823975,0.8046875,0.1171875,0.328125,1.7265625,3.481250047683716,3.8640434741973877,1543,0.644199611147116,1534,0.4172099087353325,1531,0.15022860875244937,0.581660372239572,0.6384883898275868,0.5876143508487278,0.6313015884823269,0.4045138888888889,0.4122540509259259,0.007740162037037,True,0.4045138888888889,0.5876143508487278,0.6313015884823269,0.0,-0.13330241830656453,-0.054303797477655125,-0.7900895518031297,0.5099085944758128,-0.6365003020870093,1.3448597325492788,-0.09380310789210983
13824,4.5025318640249745,0.6384883898275868,0.581660372239572,0.41225405092592593,0.5877459490740741,0.1556712962962963,0.25658275462962965,0.37761010703632214,-0.30280357599258423,-0.2109375,-2.03125,-1.0546875,0.53125,1.34375,-0.30280357599258423,0.0,242.9678497314453,236.2255096435547,-0.000825416820589453,0.003155624959617853,r2_s14000_l1,2,14000,1,A,0.610086654353,noise,1.3771607875823975,0.8046875,0.1171875,0.328125,1.7265625,3.481250047683716,3.8640434741973877,4629,0.6325340246273493,4602,0.4248152976966536,4593,0.17766165904637493,0.581660372239572,0.6384883898275868,0.5876143508487278,0.6313015884823269,0.4045138888888889,0.4122540509259259,0.007740162037037,True,0.4122540509259259,0.581660372239572,0.6384883898275868,1.0,-0.14886774568863295,-0.035741889353690624,-0.7900895518031297,-0.7515496363691377,-0.6380921477787085,1.2336485233725107,-0.09230481752116179
4608,4.616616672939724,0.7525731987423363,0.6941122081544664,0.4437934027777778,0.5562065972222222,0.1501736111111111,0.2936197916666667,0.33838630806845965,-0.26186659932136536,-0.205078125,-2.1011719703674316,-1.0830078125,0.5859375,1.4609375,-0.26186659932136536,0.0,267.0230712890625,256.29296875,-0.0006556969019584358,0.0030098543502390385,r2_s14000_l2,2,14000,2,A,0.667777390647,block,1.3771607875823975,0.8046875,0.1171875,0.328125,1.7265625,3.481250047683716,3.8640434741973877,1543,0.6474400518470512,1534,0.4863102998696219,1531,0.1959503592423253,0.6960172145454971,0.7499408986833362,0.6941122081544665,0.7525731987423366,0.4437934027777778,0.4466145833333333,0.0028211805555555,True,0.4437934027777778,0.6941122081544665,0.7525731987423366,0.0,0.14511208790337596,0.2589137772889125,-0.7900895518031297,-0.4384335779125076,-0.5676000783521034,1.0067702931110802,0.20201293259614422
13824,4.613984372880724,0.7499408986833362,0.6960172145454971,0.4466145833333333,0.5533854166666667,0.15690104166666666,0.2897135416666667,0.35131195335276966,-0.3800823986530304,-0.25,-2.359375,-1.1640625,0.53125,1.4140625,-0.3800823986530304,0.0,261.4975280761719,252.84201049804688,-0.0009370400803163648,0.0032187162432819605,r2_s14000_l2,2,14000,2,A,0.667777390647,noise,1.3771607875823975,0.8046875,0.1171875,0.328125,1.7265625,3.481250047683716,3.8640434741973877,4629,0.6513285806869734,4602,0.45632333767926986,4593,0.23056825604180275,0.6960172145454971,0.7499408986833362,0.6941122081544665,0.7525731987423366,0.4437934027777778,0.4466145833333333,0.0028211805555555,True,0.4466145833333333,0.6960172145454971,0.7499408986833362,1.0,0.15009229527189571,0.2521151321751041,-0.7900895518031297,-1.3426348195262983,-0.5837922790703484,1.3318441668127916,0.20110371372349992
4608,4.638393614027235,0.7743501398298474,0.7652236223220825,0.4761284722222222,0.5238715277777778,0.14388020833333334,0.3322482638888889,0.30218778486782133,-0.25167810916900635,-0.1953125,-2.1875,-1.1484375,0.6796875,1.640625,-0.25167810916900635,0.0,279.07080078125,266.72039794921875,-0.0005938038229942322,0.003118542954325676,r2_s14000_l3,2,14000,3,A,0.569293543783,block,1.3771607875823975,0.8046875,0.1171875,0.328125,1.7265625,3.481250047683716,3.8640434741973877,1543,0.6902138690861958,1534,0.5058670143415906,1531,0.23056825604180275,0.7465438776546054,0.7919619966436313,0.7652236223220825,0.7743501398298474,0.4761284722222222,0.4419849537037037,-0.0341435185185184,False,0.4761284722222222,0.7652236223220825,0.7743501398298474,0.0,0.3310167601873371,0.3151587686652155,-0.7900895518031297,-0.36050452360660595,-0.5322950872190113,1.1759338731348143,0.3230877644262763
13824,4.656005470841019,0.7919619966436313,0.7465438776546054,0.4419849537037037,0.5580150462962963,0.1498119212962963,0.2921730324074074,0.33895253682487725,-0.2629562020301819,-0.146484375,-2.28515625,-1.0859375,0.6796875,1.6328125,-0.2629562020301819,0.0,297.6407470703125,277.15509033203125,-0.0005450486787594855,0.002933186013251543,r2_s14000_l3,2,14000,3,A,0.569293543783,noise,1.3771607875823975,0.8046875,0.1171875,0.328125,1.7265625,3.481250047683716,3.8640434741973877,4629,0.656945344566861,4602,0.4445893089960887,4593,0.22273024167210972,0.7465438776546054,0.7919619966436313,0.7652236223220825,0.7743501398298474,0.4761284722222222,0.4419849537037037,-0.0341435185185184,False,0.4419849537037037,0.7465438776546054,0.7919619966436313,1.0,0.2821828022158355,0.3606462744921957,-0.7900895518031297,-0.4467676595475142,-0.477877216241539,0.8874432443532124,0.3214145383540156
4608,4.16327961285909,0.2992361386617022,0.262666051586469,0.2957899305555556,0.7042100694444444,0.1527777777777778,0.1430121527777778,0.516507703595011,-0.2136213481426239,-0.1484375,-1.4140625,-0.6875,0.359375,0.899609386920929,-0.2136213481426239,0.0,163.35345458984375,149.95858764648438,-0.0007825760403648019,0.0032588252797722816,r2_s14000_l4,2,14000,4,A,0.367257583746,block,1.3771607875823975,0.8046875,0.1171875,0.328125,1.7265625,3.481250047683716,3.8640434741973877,1543,0.542449773169151,1534,0.27249022164276404,1531,0.0705421293272371,0.2731158170435164,0.2861531222308127,0.262666051586469,0.2992361386617024,0.2957899305555556,0.2819010416666667,-0.0138888888888888,False,0.2957899305555556,0.262666051586469,0.2992361386617024,0.0,-0.9828060850623715,-0.9119549380338633,-0.7900895518031297,-0.06941846940406017,-0.871396316532117,1.3942701061375518,-0.9473805115481174
13824,4.1501965964282,0.2861531222308127,0.2731158170435164,0.2819010416666667,0.7180989583333333,0.14330150462962962,0.13859953703703703,0.508339748524506,-0.12099655717611313,-0.0703125,-1.28125,-0.6015625,0.421875,0.9765625,-0.12099655717611313,0.0,193.87530517578125,175.06991577148438,-0.00037079222965985537,0.0026682140305638313,r2_s14000_l4,2,14000,4,A,0.367257583746,noise,1.3771607875823975,0.8046875,0.1171875,0.328125,1.7265625,3.481250047683716,3.8640434741973877,4629,0.5230071289695398,4602,0.24967405475880053,4593,0.07119529719137818,0.2731158170435164,0.2861531222308127,0.262666051586469,0.2992361386617024,0.2957899305555556,0.2819010416666667,-0.0138888888888888,False,0.2819010416666667,0.2731158170435164,0.2861531222308127,1.0,-0.9554875421044489,-0.9457454572520752,-0.7900895518031297,0.6390439482222391,-0.7819542631559312,0.475039298473932,-0.950616499678262
4608,4.231704632441203,0.3676611582438154,0.3018526766035292,0.3198784722222222,0.6801215277777778,0.16297743055555555,0.15690104166666666,0.5094979647218453,-0.24095460772514343,-0.140625,-1.546875,-0.7705078125,0.40625,1.0234375,-0.24095460772514343,0.0,173.750732421875,166.265869140625,-0.0007862972561269999,0.0033345213159918785,r2_s14000_l5,2,14000,5,B,0.4390636269,block,1.3771607875823975,0.8046875,0.1171875,0.328125,1.7265625,3.481250047683716,3.8640434741973877,1543,0.5573558003888529,1534,0.3070404172099087,1531,0.09340300457217506,0.3244328222892902,0.3381005658043756,0.3018526766035292,0.3676611582438154,0.3198784722222222,0.312355324074074,-0.0075231481481481,False,0.3198784722222222,0.3018526766035292,0.3676611582438154,0.0,-0.8803615370670287,-0.7352283435661741,-0.7900895518031297,-0.27848331007334076,-0.8409278534157936,1.5120838602851914,-0.8077949403166014
13824,4.202144040001763,0.33810056580437564,0.32443282228929027,0.31235532407407407,0.6876446759259259,0.1478587962962963,0.1644965277777778,0.47336729967577584,-0.10782603919506073,-0.0546875,-1.3984375,-0.6640625,0.5126953125,1.130468726158142,-0.10782603919506073,0.0,215.5602569580078,197.3543701171875,-0.00028163829119876027,0.002661881735548377,r2_s14000_l5,2,14000,5,B,0.4390636269,noise,1.3771607875823975,0.8046875,0.1171875,0.328125,1.7265625,3.481250047683716,3.8640434741973877,4629,0.5618924173687622,4602,0.292916123424598,4593,0.08033964728935336,0.3244328222892902,0.3381005658043756,0.3018526766035292,0.3676611582438154,0.3198784722222222,0.312355324074074,-0.0075231481481481,False,0.312355324074074,0.3244328222892902,0.3381005658043756,1.0,-0.8213308648047528,-0.8115767737774404,-0.7900895518031297,0.7397817411271715,-0.7184080961466626,0.46518367742163813,-0.8164538192910966
