revision,commit,step,tokens,progress,phase,intact_nll,agreement,nll_damage,kl,confidence,hellaswag_raw,hellaswag_normalized
step-320000,24f9f6ba2ae2a79fe893df62646dffe67a794f50,320000,503316480000,0.125,stable/pre-decay,3.213071425755819,0.8301649305555555,0.20614598327212863,0.20091098139959354,0.4219689700338576,0.35546875,0.46875
step-800000,e1871f370b015aecd2a7bcdde726faf4e4778261,800000,1258291200000,0.3125,stable/pre-decay,3.2309490044911704,0.8150101273148148,0.2017247985910486,0.20351613864854526,0.42097738716337413,0.38671875,0.49609375
step-1280000,ed07699cbec92fa63564cd46abdf52e262080bc3,1280000,2013265920000,0.5,stable/pre-decay,3.1672834555308023,0.8141059027777778,0.2011020139411642,0.20163768147014907,0.4246693253517151,0.40234375,0.5390625
step-1920000,af134f51feb3a2bfcbc06b3e37f3337d0f3281ae,1920000,3019898880000,0.75,stable/pre-decay,3.1789999537997775,0.8130859375,0.20255725913577619,0.2037650198434238,0.4169455071290334,0.39453125,0.515625
step-2080000,94c6cef4a924c2c2edbf0da3b9d082010c1f2629,2080000,3271557120000,0.8125,WSD decay,3.143537918726603,0.8156684027777779,0.20207105919166848,0.20029102608009622,0.4282447265254126,0.39453125,0.515625
step-2240000,8f5f6865f1d1d368a03a55a9a3a90b458ab7b513,2240000,3523215360000,0.875,WSD decay,3.127903090582954,0.8108217592592593,0.23522482094941308,0.2299944065235279,0.430826551384396,0.41796875,0.53125
step-2400000,94a4fe6b676f6a84980793194d34798aabd24e48,2400000,3774873600000,0.9375,WSD decay,3.104343361324734,0.8076461226851851,0.24343714449140752,0.2399713074305543,0.4292712178495195,0.40625,0.55859375
step-2560000,6587c7a7b6179794ee17a43d3e0376d560a49183,2560000,4026531840000,1.0,WSD decay,3.05834346347385,0.788816550925926,0.33206752406226253,0.3301965885416225,0.4377666181988186,0.41796875,0.55078125
