start,end,mean_delta,seed11,seed23,seed37,ci_low,ci_high
step-320000,step-800000,-0.0151548032407407,-0.0039713541666666075,-0.01905381944444451,-0.022439236111111094,-0.022439236111111094,-0.0039713541666666075
step-800000,step-1280000,-0.0009042245370369795,0.006184895833333148,-0.009700520833333504,0.0008029513888888618,-0.009700520833333504,0.006184895833333148
step-1280000,step-1920000,-0.0010199652777778123,-0.010872395833332993,0.006249999999999978,0.0015625000000000222,-0.010872395833332993,0.006249999999999978
step-1920000,step-2080000,0.0025824652777778345,0.006987847222222121,-0.002083333333333215,0.0028428819444444864,-0.002083333333333215,0.006987847222222121
step-2080000,step-2240000,-0.004846643518518601,-0.009157986111111183,0.005143229166666763,-0.01052517361111105,-0.01052517361111105,0.005143229166666763
step-2240000,step-2400000,-0.0031756365740741588,0.0013020833333332593,-0.012890625000000155,0.0020616319444440867,-0.012890625000000155,0.0020616319444440867
step-2400000,step-2560000,-0.018829571759259145,-0.02246093749999989,-0.015603298611111094,-0.018424479166666452,-0.02246093749999989,-0.015603298611111094
