target_id,run_id,step,layer,family,target_metric,target_value,alpha_min,alpha_max,bracketed,root_alpha,iterations
r8_s14000_l1,8,14000,1,block,kl,0.4072243273258209,0.06494376773575,1.039100283772,True,0.48227001563259847,11
r8_s14000_l1,8,14000,1,block,nll_damage,0.3917307323879663,0.06494376773575,1.039100283772,True,0.4611985542966116,8
r8_s14000_l1,8,14000,1,noise,kl,0.4072243273258209,0.06494376773575,1.039100283772,True,0.5352569935352288,10
r8_s14000_l1,8,14000,1,noise,nll_damage,0.3917307323879663,0.06494376773575,1.039100283772,True,0.5036219333759817,11
r8_s14000_l2,8,14000,2,block,kl,0.5077182418770261,0.071475755394125,1.143612086306,True,0.43440523593878716,11
r8_s14000_l2,8,14000,2,block,nll_damage,0.5116835700141059,0.071475755394125,1.143612086306,True,0.43089093338594164,11
r8_s14000_l2,8,14000,2,noise,kl,0.5077182418770261,0.071475755394125,1.143612086306,True,0.591490087866729,11
r8_s14000_l2,8,14000,2,noise,nll_damage,0.5116835700141059,0.071475755394125,1.143612086306,True,0.5694884143990135,11
r8_s14000_l4,8,14000,4,block,kl,1.222296569082472,0.090706426412625,1.451302822602,True,0.5811715868864321,9
r8_s14000_l4,8,14000,4,block,nll_damage,1.2176927460564504,0.090706426412625,1.451302822602,True,0.5557788935285665,11
r8_s14000_l4,8,14000,4,noise,kl,1.222296569082472,0.090706426412625,1.451302822602,True,0.7536863019136213,9
r8_s14000_l4,8,14000,4,noise,nll_damage,1.2176927460564504,0.090706426412625,1.451302822602,True,0.7236892905833426,10
r8_s14000_l6,8,14000,6,block,kl,0.186862803167767,0.03819310070525,0.611089611284,True,0.25210770394529397,10
r8_s14000_l6,8,14000,6,block,nll_damage,0.2131069236331518,0.03819310070525,0.611089611284,True,0.2473744423359061,9
r8_s14000_l6,8,14000,6,noise,kl,0.186862803167767,0.03819310070525,0.611089611284,True,0.30471862962416807,10
r8_s14000_l6,8,14000,6,noise,nll_damage,0.2131069236331518,0.03819310070525,0.611089611284,True,0.30471862962416807,10
r8_s14000_l9,8,14000,9,block,kl,0.2055832776758406,0.044650948283125,0.71441517253,True,0.3179486912323006,10
r8_s14000_l9,8,14000,9,block,nll_damage,0.1886838012271456,0.044650948283125,0.71441517253,True,0.33837845668916156,8
r8_s14000_l9,8,14000,9,noise,kl,0.2055832776758406,0.044650948283125,0.71441517253,True,0.3791319974766356,9
r8_s14000_l9,8,14000,9,noise,nll_damage,0.1886838012271456,0.044650948283125,0.71441517253,True,0.3630580446014296,9
r8_s72000_l1,8,72000,1,block,kl,0.741052296426561,0.07935563491725,1.269690158676,True,0.5153752747727511,10
r8_s72000_l1,8,72000,1,block,nll_damage,0.7441590627034506,0.07935563491725,1.269690158676,True,0.5153752747727511,10
r8_s72000_l1,8,72000,1,noise,kl,0.741052296426561,0.07935563491725,1.269690158676,True,0.6522690050838083,9
r8_s72000_l1,8,72000,1,noise,nll_damage,0.7441590627034506,0.07935563491725,1.269690158676,True,0.6647495176687119,10
r8_s72000_l2,8,72000,2,block,kl,0.6622003846698337,0.07817352531275,1.250776405004,True,0.47898695957776566,11
r8_s72000_l2,8,72000,2,block,nll_damage,0.6189210679796009,0.07817352531275,1.250776405004,True,0.4731862834980086,10
r8_s72000_l2,8,72000,2,noise,kl,0.6622003846698337,0.07817352531275,1.250776405004,True,0.6495495140829056,9
r8_s72000_l2,8,72000,2,noise,nll_damage,0.6189210679796009,0.07817352531275,1.250776405004,True,0.6334833458127653,12
r8_s72000_l4,8,72000,4,block,kl,1.43933990266588,0.08027491163625,1.28439858618,True,0.6761014901952457,10
r8_s72000_l4,8,72000,4,block,nll_damage,1.4285152753194172,0.08027491163625,1.28439858618,True,0.6779345872970167,8
r8_s72000_l4,8,72000,4,noise,kl,1.43933990266588,0.08027491163625,1.28439858618,True,0.6562616264763604,7
r8_s72000_l4,8,72000,4,noise,nll_damage,1.4285152753194172,0.08027491163625,1.28439858618,True,0.6527174353478196,9
r8_s72000_l5,8,72000,5,block,kl,0.297220915555954,0.03753665687175,0.600586509948,True,0.3144385975414543,10
r8_s72000_l5,8,72000,5,block,nll_damage,0.319316969977485,0.03753665687175,0.600586509948,True,0.33645989966683354,9
r8_s72000_l5,8,72000,5,noise,kl,0.297220915555954,0.03753665687175,0.600586509948,True,0.31274044783573257,10
r8_s72000_l5,8,72000,5,noise,nll_damage,0.319316969977485,0.03753665687175,0.600586509948,True,0.32306866329055245,10
r8_s72000_l7,8,72000,7,block,kl,0.3421697583463457,0.0447709094535,0.716334551256,True,0.3011815781367743,4
r8_s72000_l7,8,72000,7,block,nll_damage,0.3360793325636123,0.0447709094535,0.716334551256,True,0.28530569201719524,8
r8_s72000_l7,8,72000,7,noise,kl,0.3421697583463457,0.0447709094535,0.716334551256,True,0.36999570657497766,8
r8_s72000_l7,8,72000,7,noise,nll_damage,0.3360793325636123,0.0447709094535,0.716334551256,True,0.3640334520590335,9
r8_s72000_l9,8,72000,9,block,kl,0.3047810594240824,0.0445768082025,0.71322893124,True,0.34802934969948823,10
r8_s72000_l9,8,72000,9,block,nll_damage,0.299455377790663,0.0445768082025,0.71322893124,True,0.3466187265734243,11
r8_s72000_l9,8,72000,9,noise,kl,0.3047810594240824,0.0445768082025,0.71322893124,True,0.36147515108133066,10
r8_s72000_l9,8,72000,9,noise,nll_damage,0.299455377790663,0.0445768082025,0.71322893124,True,0.36442330558588953,7
r8_s143000_l1,8,143000,1,block,kl,0.6980229881074694,0.07790528398125,1.2464845437,True,0.5212518462532252,9
r8_s143000_l1,8,143000,1,block,nll_damage,0.6730988290574818,0.07790528398125,1.2464845437,True,0.5142426749085406,10
r8_s143000_l1,8,143000,1,noise,kl,0.6980229881074694,0.07790528398125,1.2464845437,True,0.6490757417292119,10
r8_s143000_l1,8,143000,1,noise,nll_damage,0.6730988290574818,0.07790528398125,1.2464845437,True,0.6455703585210858,10
r8_s143000_l2,8,143000,2,block,kl,0.7849934034877353,0.086030494291,1.376487908656,True,0.5278425058332962,9
r8_s143000_l2,8,143000,2,block,nll_damage,0.7439439031812881,0.086030494291,1.376487908656,True,0.5181077138082165,13
r8_s143000_l2,8,143000,2,noise,kl,0.7849934034877353,0.086030494291,1.376487908656,True,0.7109731276567741,8
r8_s143000_l2,8,143000,2,noise,nll_damage,0.7439439031812881,0.086030494291,1.376487908656,True,0.7033145345062173,7
r8_s143000_l4,8,143000,4,block,kl,1.8047940333684285,0.081125456720625,1.29800730753,True,0.7844405422821291,9
r8_s143000_l4,8,143000,4,block,nll_damage,1.764314068688287,0.081125456720625,1.29800730753,True,0.7759905591105553,9
r8_s143000_l4,8,143000,4,noise,kl,1.8047940333684285,0.081125456720625,1.29800730753,True,0.6814175479335987,9
r8_s143000_l4,8,143000,4,noise,nll_damage,1.764314068688287,0.081125456720625,1.29800730753,True,0.6632149832485571,7
r8_s143000_l5,8,143000,5,block,kl,0.4476235144668155,0.0403457165645,0.645531465032,True,0.3352354967356622,9
r8_s143000_l5,8,143000,5,block,nll_damage,0.4831451045142279,0.0403457165645,0.645531465032,True,0.3558113220142357,8
r8_s143000_l5,8,143000,5,noise,kl,0.4476235144668155,0.0403457165645,0.645531465032,True,0.34537021481247476,10
r8_s143000_l5,8,143000,5,noise,nll_damage,0.4831451045142279,0.0403457165645,0.645531465032,True,0.3567760243741925,10
r8_s143000_l6,8,143000,6,block,kl,0.4478689365916782,0.040779740156125,0.652475842498,True,0.3434602732951571,10
r8_s143000_l6,8,143000,6,block,nll_damage,0.4873672591315377,0.040779740156125,0.652475842498,True,0.3801654998374108,11
r8_s143000_l6,8,143000,6,noise,kl,0.4478689365916782,0.040779740156125,0.652475842498,True,0.3240370689296948,11
r8_s143000_l6,8,143000,6,noise,nll_damage,0.4873672591315377,0.040779740156125,0.652475842498,True,0.3472003104584633,10
r8_s143000_l7,8,143000,7,block,kl,0.457618130577935,0.044188605700625,0.70701769121,True,0.2924740883081191,9
r8_s143000_l7,8,143000,7,block,nll_damage,0.4715980688730878,0.044188605700625,0.70701769121,True,0.28235840268749873,10
r8_s143000_l7,8,143000,7,noise,kl,0.457618130577935,0.044188605700625,0.70701769121,True,0.36124968134775787,7
r8_s143000_l7,8,143000,7,noise,nll_damage,0.4715980688730878,0.044188605700625,0.70701769121,True,0.3651834324640392,8
r8_s143000_l9,8,143000,9,block,kl,0.4151734941535526,0.0526561974225,0.84249915876,True,0.5552404776226877,9
r8_s143000_l9,8,143000,9,block,nll_damage,0.4186571968926325,0.0526561974225,0.84249915876,True,0.5628084525011905,10
r8_s143000_l9,8,143000,9,noise,kl,0.4151734941535526,0.0526561974225,0.84249915876,True,0.4144614000515217,9
r8_s143000_l9,8,143000,9,noise,nll_damage,0.4186571968926325,0.0526561974225,0.84249915876,True,0.42124957938,2
r8_s143000_l10,8,143000,10,block,kl,0.9103376732932196,0.084340221014125,1.349443536226,True,0.6656489168287572,10
r8_s143000_l10,8,143000,10,block,nll_damage,0.9312289555867512,0.084340221014125,1.349443536226,True,0.6656489168287572,10
r8_s143000_l10,8,143000,10,noise,kl,0.9103376732932196,0.084340221014125,1.349443536226,True,0.6531515182405734,8
r8_s143000_l10,8,143000,10,noise,nll_damage,0.9312289555867512,0.084340221014125,1.349443536226,True,0.649624123489534,9
