target_id,run_id,step,layer,family,target_metric,target_value,alpha_min,alpha_max,bracketed,root_alpha,iterations
r5_s14000_l1,5,14000,1,block,kl,0.6387513412369622,0.078921611325625,1.26274578121,True,0.5266241078279726,10
r5_s14000_l1,5,14000,1,block,nll_damage,0.622386932373047,0.078921611325625,1.26274578121,True,0.5111705839385796,9
r5_s14000_l1,5,14000,1,noise,kl,0.6387513412369622,0.078921611325625,1.26274578121,True,0.6522239039345135,8
r5_s14000_l1,5,14000,1,noise,nll_damage,0.622386932373047,0.078921611325625,1.26274578121,True,0.6443252763778599,11
r5_s14000_l2,5,14000,2,block,kl,0.5554652412732443,0.07531864453025,1.205098312484,True,0.47673525464778566,11
r5_s14000_l2,5,14000,2,block,nll_damage,0.5288314819335939,0.07531864453025,1.205098312484,True,0.4825794367055775,9
r5_s14000_l2,5,14000,2,noise,kl,0.5554652412732443,0.07531864453025,1.205098312484,True,0.6174127140385215,10
r5_s14000_l2,5,14000,2,noise,nll_damage,0.5288314819335939,0.07531864453025,1.205098312484,True,0.602549156242,2
r5_s14000_l3,5,14000,3,block,kl,0.4578365882237752,0.067992749769125,1.087883996306,True,0.4386000409246698,11
r5_s14000_l3,5,14000,3,block,nll_damage,0.4511782328287761,0.067992749769125,1.087883996306,True,0.45247178169163754,8
r5_s14000_l3,5,14000,3,noise,kl,0.4578365882237752,0.067992749769125,1.087883996306,True,0.5322864427886852,7
r5_s14000_l3,5,14000,3,noise,nll_damage,0.4511782328287761,0.067992749769125,1.087883996306,True,0.5272659916130229,11
r5_s14000_l4,5,14000,4,block,kl,0.6056164900461832,0.060324473595875,0.965191577534,True,0.5080723935047873,10
r5_s14000_l4,5,14000,4,block,nll_damage,0.5590471161736382,0.060324473595875,0.965191577534,True,0.513604939132633,10
r5_s14000_l4,5,14000,4,noise,kl,0.6056164900461832,0.060324473595875,0.965191577534,True,0.513604939132633,10
r5_s14000_l4,5,14000,4,noise,nll_damage,0.5590471161736382,0.060324473595875,0.965191577534,True,0.4971854498018131,10
r5_s14000_l8,5,14000,8,block,kl,0.2813361187775929,0.051085885316125,0.817374165058,True,0.34881957890678567,11
r5_s14000_l8,5,14000,8,block,nll_damage,0.2636863125695119,0.051085885316125,0.817374165058,True,0.39401819974573415,11
r5_s14000_l8,5,14000,8,noise,kl,0.2813361187775929,0.051085885316125,0.817374165058,True,0.4097951456192009,10
r5_s14000_l8,5,14000,8,noise,nll_damage,0.2636863125695119,0.051085885316125,0.817374165058,True,0.39242117585929653,10
r5_s72000_l1,5,72000,1,block,kl,0.8380605710877312,0.0844601821845,1.351362914952,True,0.496237500805693,9
r5_s72000_l1,5,72000,1,block,nll_damage,0.8611141840616862,0.0844601821845,1.351362914952,True,0.5071036871285827,9
r5_s72000_l1,5,72000,1,noise,kl,0.8380605710877312,0.0844601821845,1.351362914952,True,0.6858188886751618,11
r5_s72000_l1,5,72000,1,noise,nll_damage,0.8611141840616862,0.0844601821845,1.351362914952,True,0.693286966733605,11
r5_s72000_l2,5,72000,2,block,kl,0.7998163170284696,0.08344385484,1.33510167744,True,0.5003238019478264,11
r5_s72000_l2,5,72000,2,block,nll_damage,0.7792376942104763,0.08344385484,1.33510167744,True,0.4996469203258304,10
r5_s72000_l2,5,72000,2,noise,kl,0.7998163170284696,0.08344385484,1.33510167744,True,0.6693607526537633,10
r5_s72000_l2,5,72000,2,noise,nll_damage,0.7792376942104763,0.08344385484,1.33510167744,True,0.6729953153494644,10
r5_s72000_l4,5,72000,4,block,kl,0.7240708205435012,0.052267994920625,0.83628791873,True,0.5433679262049279,12
r5_s72000_l4,5,72000,4,block,nll_damage,0.7584351963467068,0.052267994920625,0.83628791873,True,0.5609327614423424,11
r5_s72000_l4,5,72000,4,noise,kl,0.7240708205435012,0.052267994920625,0.83628791873,True,0.42962031719805016,9
r5_s72000_l4,5,72000,4,noise,nll_damage,0.7584351963467068,0.052267994920625,0.83628791873,True,0.4378406706622342,10
r5_s72000_l6,5,72000,6,block,kl,0.3031642966800266,0.036982672109875,0.591722753758,True,0.2705724824053271,10
r5_s72000_l6,5,72000,6,block,nll_damage,0.304299275080363,0.036982672109875,0.591722753758,True,0.3072917154797772,9
r5_s72000_l6,5,72000,6,noise,kl,0.3031642966800266,0.036982672109875,0.591722753758,True,0.3064608159157202,10
r5_s72000_l6,5,72000,6,noise,nll_damage,0.304299275080363,0.036982672109875,0.591722753758,True,0.30791636821727403,12
r5_s72000_l8,5,72000,8,block,kl,0.4778973526424832,0.055168696792875,0.882699148686,True,0.40035971270398135,8
r5_s72000_l8,5,72000,8,block,nll_damage,0.476203574074639,0.055168696792875,0.882699148686,True,0.4192186953571074,10
r5_s72000_l8,5,72000,8,noise,kl,0.4778973526424832,0.055168696792875,0.882699148686,True,0.44494917650594845,10
