model,estimate,ci90_low,ci90_high,ci95_low,ci95_high,pooled_rank,pooled_columns,pooled_condition,pooled_rmse
M0_damage,-0.0170011921768519,-0.01932366578468314,-0.014469231763321733,-0.01953786911369103,-0.014193324730896222,18,18,12.705519456137546,0.017017919580018758
M1_margin,-0.01700119217685183,-0.01932366578468295,-0.01446923176332179,-0.019537869113690775,-0.014193324730896236,19,19,12.744681768884504,0.016958135727528887
M2_boundary,-0.017083583729732416,-0.01994437970560754,-0.014374099193533213,-0.0204761177140168,-0.013851834196154631,20,20,13.521409852581382,0.01625641795721502
M3_full_geometry,-0.01343635414322102,-0.017025702203129982,-0.009910985566962537,-0.017641002191289158,-0.009231706095152881,22,22,17.075711950005957,0.015833599501719392
