,kl,nll_damage,intact_margin_mean,delta_b_mean,logit_delta_norm_mean,abs_cosine_alignment_mean
kl,1.0,0.9976749790290532,0.1739414880966032,-0.7976129150764608,0.5638724187553159,-0.213651549577174
nll_damage,0.9976749790290532,1.0,0.16007812654199138,-0.8041696699720381,0.5585143723799432,-0.196888820392083
intact_margin_mean,0.1739414880966032,0.16007812654199138,1.0,-0.17023154480278901,0.18117766997913265,-0.1866979073680419
delta_b_mean,-0.7976129150764608,-0.8041696699720381,-0.17023154480278901,1.0,-0.3119554081081221,0.00593629244858841
logit_delta_norm_mean,0.5638724187553159,0.5585143723799432,0.18117766997913265,-0.3119554081081221,1.0,-0.8347202378148512
abs_cosine_alignment_mean,-0.213651549577174,-0.196888820392083,-0.1866979073680419,0.00593629244858841,-0.8347202378148512,1.0
