target_id,run_id,step,progress,layer,target_kl,target_nll_damage
r2_s14000_l1,2,14000,0.0979020979020979,1,0.5876143508487278,0.6313015884823269
r2_s14000_l2,2,14000,0.0979020979020979,2,0.6941122081544665,0.7525731987423366
r2_s14000_l3,2,14000,0.0979020979020979,3,0.7652236223220825,0.7743501398298474
r2_s14000_l4,2,14000,0.0979020979020979,4,0.262666051586469,0.29923613866170246
r2_s14000_l5,2,14000,0.0979020979020979,5,0.3018526766035292,0.3676611582438154
r2_s14000_l6,2,14000,0.0979020979020979,6,0.1849737829632229,0.2089083989461266
r2_s14000_l7,2,14000,0.0979020979020979,7,0.25317857828405166,0.23603468471103253
r2_s14000_l8,2,14000,0.0979020979020979,8,0.24400135709179774,0.33424403932359475
r2_s14000_l9,2,14000,0.0979020979020979,9,0.21019462082121107,0.2148643864525687
r2_s14000_l10,2,14000,0.0979020979020979,10,0.2904930694235696,0.32094449467129166
r2_s72000_l1,2,72000,0.5034965034965035,1,0.9493300782309637,0.9494883219401044
r2_s72000_l2,2,72000,0.5034965034965035,2,0.92882463004854,0.9390635490417482
r2_s72000_l3,2,72000,0.5034965034965035,3,0.8842032485538058,0.8943626085917153
r2_s72000_l4,2,72000,0.5034965034965035,4,0.3037220537662506,0.3406482802497017
r2_s72000_l5,2,72000,0.5034965034965035,5,0.3947205775313907,0.46446243921915703
r2_s72000_l6,2,72000,0.5034965034965035,6,0.2554864916536543,0.2966276009877524
r2_s72000_l7,2,72000,0.5034965034965035,7,0.3825724124908447,0.3660224808586971
r2_s72000_l8,2,72000,0.5034965034965035,8,0.371453324953715,0.5048611164093016
r2_s72000_l9,2,72000,0.5034965034965035,9,0.3535401688681708,0.3771826161278618
r2_s72000_l10,2,72000,0.5034965034965035,10,0.5688886642456055,0.5656325022379556
r2_s143000_l1,2,143000,1.0,1,1.0257128013504875,1.0317671828799777
r2_s143000_l2,2,143000,1.0,2,1.2016478247112696,1.209634330537584
r2_s143000_l3,2,143000,1.0,3,1.250755018658108,1.227257172266642
r2_s143000_l4,2,143000,1.0,4,0.39459201362397933,0.4097302754720051
r2_s143000_l5,2,143000,1.0,5,0.5600684947437711,0.6294175518883601
r2_s143000_l6,2,143000,1.0,6,0.3667832811673482,0.39757010671827525
r2_s143000_l7,2,143000,1.0,7,0.6537510553995768,0.5878107017940946
r2_s143000_l8,2,143000,1.0,8,0.39108974072668284,0.48765325546264665
r2_s143000_l9,2,143000,1.0,9,0.36895714203516644,0.36736673778957796
r2_s143000_l10,2,143000,1.0,10,1.0224928392304313,1.0224942366282146
r3_s14000_l1,3,14000,0.0979020979020979,1,0.6331983407338461,0.718385034137302
r3_s14000_l2,3,14000,0.0979020979020979,2,0.5016940666569604,0.5203430122799345
r3_s14000_l3,3,14000,0.0979020979020979,3,1.1653783188925848,1.2564765877193873
r3_s14000_l4,3,14000,0.0979020979020979,4,0.4211405383216011,0.4601081477271185
r3_s14000_l5,3,14000,0.0979020979020979,5,0.2574349194765091,0.30399261580573206
r3_s14000_l6,3,14000,0.0979020979020979,6,0.2951902614699469,0.40075892872280566
r3_s14000_l7,3,14000,0.0979020979020979,7,0.19824758337603673,0.2768083678351507
r3_s14000_l8,3,14000,0.0979020979020979,8,0.19522787464989555,0.2021975252363418
r3_s14000_l9,3,14000,0.0979020979020979,9,0.20994527803526983,0.2110987769232855
r3_s14000_l10,3,14000,0.0979020979020979,10,0.2584894531302982,0.29543153444925974
r3_s72000_l1,3,72000,0.5034965034965035,1,0.8216641214158799,0.8519875208536782
r3_s72000_l2,3,72000,0.5034965034965035,2,0.8010647826724583,0.798615190717909
r3_s72000_l3,3,72000,0.5034965034965035,3,1.7865699529647827,1.7594680786132812
r3_s72000_l4,3,72000,0.5034965034965035,4,0.42071168290244204,0.43734224637349434
r3_s72000_l5,3,72000,0.5034965034965035,5,0.2777864734331767,0.2731298870510523
r3_s72000_l6,3,72000,0.5034965034965035,6,0.39168943630324465,0.43180523978339275
r3_s72000_l7,3,72000,0.5034965034965035,7,0.2644923726717631,0.3155109087626138
r3_s72000_l8,3,72000,0.5034965034965035,8,0.3690718511740367,0.4042413499620223
r3_s72000_l9,3,72000,0.5034965034965035,9,0.319050669670105,0.34410704506768114
r3_s72000_l10,3,72000,0.5034965034965035,10,0.4807328250673082,0.5195619265238443
r3_s143000_l1,3,143000,1.0,1,0.8428021934297351,0.8603199587927923
r3_s143000_l2,3,143000,1.0,2,0.9341029723485311,0.9460280471377903
r3_s143000_l3,3,143000,1.0,3,1.7876547045177882,1.8058287567562525
