generator,condition,seed,parameters,stream_examples,optimizer_updates,repeated_exposures,repeat_count_per_repeated_item,fresh_nll,fresh_accuracy,repeated_nll,memorization_gap,mean_train_nll,runtime_seconds,peak_cuda_bytes
markov,all_unique,11,129408,60000,469,0,1,1.1276755256037558,0.5509308845766129,1.127116462953629,0.0005590626501268403,1.250265144666036,3.555731500033289,72374272
markov,duplicate_random,11,129408,60000,469,12000,24,1.1297780467617897,0.5515294228830645,1.1029439579133065,0.026834088848483262,1.2483213218688964,3.302812800044194,72374272
markov,duplicate_spaced,11,129408,60000,469,12000,24,1.1293219212562806,0.5514900453629032,1.1019351846018146,0.027386736654466004,1.2483334720611572,3.3314519999548793,72374272
markov,duplicate_massed_early,11,129408,60000,469,12000,24,1.1275393193767917,0.5515530493951613,1.1228714087701612,0.004667910606630521,1.2481907132466634,3.209637099993415,72374272
markov,duplicate_massed_middle,11,129408,60000,469,12000,24,1.1310017416554112,0.5515530493951613,1.1180726121471773,0.012929129508233883,1.246433065668742,3.3867243999848142,72374272
markov,duplicate_massed_late,11,129408,60000,469,12000,24,1.152652225186748,0.5419213079637096,1.0709781691028226,0.0816740560839253,1.2453124256134034,3.378888399922289,72374272
markov,all_unique,23,129408,60000,469,0,1,1.1280556878735941,0.5516711819556451,1.1312597026209676,-0.003204014747373529,1.24964330368042,3.509755100007169,72374272
markov,duplicate_random,23,129408,60000,469,12000,24,1.1312978652215773,0.5508836315524194,1.107692886844758,0.023604978376819297,1.2481870051701864,3.4006199000868946,72374272
markov,duplicate_spaced,23,129408,60000,469,12000,24,1.1303956624000304,0.5516554309475806,1.1047176474294356,0.025678014970594853,1.2482900760650635,3.403074999921955,72374272
markov,duplicate_massed_early,23,129408,60000,469,12000,24,1.1262528896331787,0.5516711819556451,1.1229717899445564,0.0032810996886223354,1.2487064587275187,3.2727232999168336,72374272
markov,duplicate_massed_middle,23,129408,60000,469,12000,24,1.1286697387695312,0.5516711819556451,1.1139002016129032,0.014769537156628099,1.246659947268168,3.2117116999579594,72374272
markov,duplicate_massed_late,23,129408,60000,469,12000,24,1.1630670639776415,0.5364872101814516,1.0686285754788307,0.09443848849881076,1.2448249263763427,3.450170199968852,72374272
markov,all_unique,37,129408,60000,469,0,1,1.127657344264369,0.5518916960685484,1.1301946982106854,-0.0025373539463164896,1.2557276348114013,3.3847817999776453,72374272
markov,duplicate_random,37,129408,60000,469,12000,24,1.1313287635003366,0.5518208165322581,1.1109685452368951,0.020360218263441476,1.2545103834152223,3.668659800081514,72374272
markov,duplicate_spaced,37,129408,60000,469,12000,24,1.129766006623545,0.5518916960685484,1.1059232138356856,0.0238427927878595,1.2549329860051472,3.488817800069228,72374272
markov,duplicate_massed_early,37,129408,60000,469,12000,24,1.1297783044076735,0.5518916960685484,1.1276803175403225,0.002097986867350965,1.2549033465703328,3.5054650000529364,72374272
markov,duplicate_massed_middle,37,129408,60000,469,12000,24,1.1288649420584402,0.5518444430443549,1.1162319493447581,0.012632992713682123,1.2524506486256917,3.4332558000460267,72374272
markov,duplicate_massed_late,37,129408,60000,469,12000,24,1.1575895970867527,0.5320769279233871,1.075551505796371,0.08203809129038175,1.2506016071955364,3.379622499924153,72374272
markov,all_unique,53,129408,60000,469,0,1,1.1294763318953975,0.5509702620967742,1.1316352066532258,-0.0021588747578282774,1.2593418044408162,3.446341300033964,72374272
markov,duplicate_random,53,129408,60000,469,12000,24,1.130567939050736,0.5508048765120968,1.1067227192540323,0.02384521979670362,1.2581903029123942,3.381635300000198,72374272
markov,duplicate_spaced,53,129408,60000,469,12000,24,1.1314831087666173,0.5509702620967742,1.1079091796875,0.023573929079117262,1.2580663512547812,3.1529509000247344,72374272
markov,duplicate_massed_early,53,129408,60000,469,12000,24,1.1302574219242219,0.5503717237903226,1.1290667527721774,0.0011906691520444657,1.2577630547205607,3.263993600034155,72374272
markov,duplicate_massed_middle,53,129408,60000,469,12000,24,1.1280259163148942,0.5509702620967742,1.1147243258568549,0.013301590458039358,1.255407480430603,3.258006100077182,72374272
markov,duplicate_massed_late,53,129408,60000,469,12000,24,1.1584142254244896,0.536408455141129,1.0705549867691533,0.08785923865533629,1.2542946695963542,3.1988803000422195,72374272
markov,all_unique,71,129408,60000,469,0,1,1.1273060729426723,0.5512774067540323,1.1276177387852822,-0.0003116658426098873,1.2497830555597942,3.197991400025785,72374272
markov,duplicate_random,71,129408,60000,469,12000,24,1.1282483646946568,0.5512222782258065,1.1026836567540323,0.025564707940624487,1.2478468648910523,2.9341886000474915,72374272
markov,duplicate_spaced,71,129408,60000,469,12000,24,1.1291166351687523,0.5512774067540323,1.1046495873235886,0.024467047845163625,1.248497796567281,3.235116699943319,72374272
markov,duplicate_massed_early,71,129408,60000,469,12000,24,1.129654215228173,0.55126953125,1.1236439012096775,0.0060103140184954995,1.2479831270853678,3.253886100021191,72374272
markov,duplicate_massed_middle,71,129408,60000,469,12000,24,1.127336102147256,0.5512616557459677,1.1121246534778226,0.01521144866943347,1.2456645422617594,3.6360693000024185,72374272
markov,duplicate_massed_late,71,129408,60000,469,12000,24,1.1563228253395326,0.5428348664314516,1.0713749369959678,0.08494788834356481,1.2445227144877116,3.25264540000353,72374272
recurrence4,all_unique,11,129408,60000,469,0,1,2.179611440215792,0.13834926060267858,2.17263232421875,0.006979115997041596,2.8184950286865234,3.1582386000081897,72374272
recurrence4,duplicate_random,11,129408,60000,469,12000,24,2.002969882317952,0.16253662109375,1.9722073451450892,0.030762537172862592,2.760026771100362,3.2543501999462023,72374272
recurrence4,duplicate_spaced,11,129408,60000,469,12000,24,2.008259709392275,0.16671316964285715,1.9713919154575892,0.036867793934685755,2.751734481239319,3.2761483000358567,72374272
recurrence4,duplicate_massed_early,11,129408,60000,469,12000,24,1.6664535701274872,0.21023123604910715,1.6601584123883928,0.0062951577390943925,2.5858308444341023,3.2611864999635145,72374272
recurrence4,duplicate_massed_middle,11,129408,60000,469,12000,24,2.1348157695361545,0.14997209821428573,2.119598842075893,0.015216927460261598,2.809207394663493,3.387634399929084,72374272
recurrence4,duplicate_massed_late,11,129408,60000,469,12000,24,2.2107302972248624,0.13887241908482142,2.053480538504464,0.15724975872039826,2.794813312403361,3.379876899998635,72374272
recurrence4,all_unique,23,129408,60000,469,0,1,1.9955706553799766,0.17373221261160715,1.9894889787946428,0.006081676585333762,2.756918004099528,3.3258081000531092,72374272
