depth,method,n_correct_pairs,full_accuracy,circuit_size,retained_accuracy,circuit_ablated_accuracy,random_retain_accuracy_mean,random_ablate_accuracy_mean,cross_method_jaccard
1,activation_patching,256,1.0,30,0.90625,0.09765625,0.41640625,0.1865625,0.5555555555555556
1,zero_ablation,256,1.0,26,0.90625,0.1171875,0.313984375,0.2559375,0.5555555555555556
2,activation_patching,256,1.0,21,0.93359375,0.171875,0.188046875,0.305703125,0.625
2,zero_ablation,256,1.0,31,0.9140625,0.171875,0.3071875,0.174609375,0.625
3,activation_patching,256,1.0,40,0.99609375,0.078125,0.555625,0.151875,0.7391304347826086
3,zero_ablation,256,1.0,40,0.91015625,0.16015625,0.523046875,0.14796875,0.7391304347826086
4,activation_patching,256,1.0,46,0.90234375,0.05859375,0.837578125,0.10765625,0.5957446808510638
4,zero_ablation,256,1.0,29,0.90234375,0.171875,0.293203125,0.203515625,0.5957446808510638
5,activation_patching,251,1.0,44,0.960159420967102,0.05976095795631409,0.6736255168914795,0.13171315133571626,0.8260869565217391
5,zero_ablation,251,1.0,40,0.9083665609359741,0.12749004364013672,0.5286055922508239,0.14860558211803437,0.8260869565217391
