epoch,loss,macro_accuracy,min_depth_accuracy,depth_1,depth_2,depth_3,depth_4,depth_5
1,2.3784929296875,0.2004,0.115,0.231,0.215,0.216,0.225,0.115
2,1.9827782620239258,0.199,0.103,0.243,0.218,0.204,0.227,0.103
3,1.9077843552780152,0.1946,0.118,0.23,0.22,0.198,0.207,0.118
4,1.8712012501144408,0.1986,0.089,0.236,0.213,0.226,0.229,0.089
5,1.8366580466079712,0.2174,0.108,0.264,0.247,0.264,0.204,0.108
6,1.7468488891983032,0.3276,0.126,0.706,0.275,0.281,0.25,0.126
7,1.4089993228530884,0.409,0.146,1.0,0.287,0.316,0.296,0.146
8,1.2562776985931396,0.4402,0.176,1.0,0.356,0.372,0.297,0.176
9,0.9627674414825439,0.7538,0.382,0.997,0.991,0.803,0.596,0.382
10,0.3347719373941421,0.9336,0.771,1.0,1.0,0.998,0.899,0.771
11,0.0957910839009285,0.9834,0.944,0.999,1.0,0.999,0.975,0.944
12,0.035589422644376756,0.9922,0.967,1.0,1.0,0.999,0.995,0.967
13,0.018964657693952322,0.9964,0.991,1.0,1.0,1.0,0.991,0.991
14,0.014866656273305415,0.9974,0.992,1.0,0.998,1.0,0.997,0.992
