run_id,step,layer,reason,closest_beta,closest_score,absolute_kl_gap,absolute_nll_gap,relative_kl_gap,relative_nll_gap,kl_caliper,nll_caliper
2,14000,1,no_joint_caliper_match,0.5,11.276786138079476,0.2651146959375453,0.2704125863534432,0.5825966730741652,0.5450819407314036,0.045505700287995526,0.049609529530560526
2,14000,2,no_joint_caliper_match,0.75,6.151430088536152,0.25793965216036197,0.26744957323427554,0.31338267807035397,0.30176033078254,0.08230820342346475,0.08862979853594743
2,14000,3,no_joint_caliper_match,0.5,5.414611379007297,0.19584730377903692,0.17083404682300685,0.29349215114124655,0.2479689867586835,0.06672999704325641,0.06889331164183439
2,14000,4,no_joint_caliper_match,0.35,1.8721656050647364,0.01286981503168741,0.03836436624880196,0.05022736435228131,0.1369891961535072,0.025623114407062532,0.02800539555373015
2,14000,5,no_joint_caliper_match,0.5,4.7716275590399855,0.11116818145469382,0.0666205176600701,0.311014958770247,0.1661477971324671,0.03574367673308761,0.04009714170738504
2,14000,6,no_joint_caliper_match,0.35,2.3528741633067707,0.02464572809360649,0.02440402242872422,0.1249171157593425,0.11037030057020229,0.019729664701002615,0.022111041016048872
2,14000,7,no_joint_caliper_match,0.35,2.987726886672417,0.050555486370016,0.017488108740912528,0.22183107116664671,0.07694161749928317,0.022790083509904368,0.02272906303405763
2,14000,8,no_joint_caliper_match,0.5,5.686792516235605,0.1230307701561186,0.060499376720852316,0.4026973097510805,0.16598194187070667,0.030551674216985705,0.03644937276840209
2,14000,9,no_joint_caliper_match,0.35,1.9580297795181885,0.018978230379245897,0.020705841205738068,0.09455759730870304,0.10124538064214961,0.020070550563158814,0.020451146584969965
2,14000,10,no_joint_caliper_match,0.5,2.385528266951752,0.04705591830942363,0.029790057076348242,0.14984957702456334,0.08870324966987059,0.03140210285782814,0.033583952320946575
2,72000,1,no_joint_caliper_match,0.75,3.0367992531967554,0.13421175214979386,0.17826742596096457,0.13204152369965802,0.17163840161972233,0.10164359543058606,0.10386220349205866
2,72000,2,no_joint_caliper_match,0.75,3.5265259659204586,0.16185560049834058,0.19986115561591233,0.1602923604258715,0.19236023616583048,0.10097524302977104,0.10389941268497044
2,72000,3,no_joint_caliper_match,0.5,4.571679354434582,0.21105711989932585,0.2484557716934772,0.21324677865839542,0.2439211567846078,0.09897318085034688,0.10185904944384538
2,72000,4,no_joint_caliper_match,0.35,9.2220745061488,0.2049777574009366,0.17979522987648294,0.5046091599645116,0.41759829064815635,0.040621093246671895,0.04305458951879432
2,72000,5,no_joint_caliper_match,0.35,1.585711895333421,0.04215541923487626,0.025822798411051506,0.10138430228714715,0.057186887245824505,0.04157982871488289,0.04515510400136313
2,72000,6,no_joint_caliper_match,0.35,8.523029677532689,0.1613128406030161,0.13574284094351313,0.4798936251972897,0.3724093425535299,0.03361429119551623,0.036449902145950897
2,72000,8,no_joint_caliper_match,0.35,3.1981196828663596,0.0032400577156632138,0.1359014599411576,0.008760859960035701,0.31105110832586463,0.03698332960958835,0.04369103864387228
2,72000,9,no_joint_caliper_match,0.35,2.235359498447138,0.025879761687031433,0.05183060080916785,0.07598279448631026,0.14755315535776042,0.03406002880246551,0.035126731572327784
2,143000,4,no_joint_caliper_match,0.35,7.169752424161964,0.18963984758765617,0.16162978278266077,0.38748512876050784,0.3294901136542252,0.04894119374178074,0.04905451668633355
2,143000,5,no_joint_caliper_match,0.35,3.8002797063830305,0.06320757336086702,0.14502967728508864,0.1196060444459649,0.2604219261916442,0.052846470806333756,0.055690271324581576
2,143000,6,no_joint_caliper_match,0.35,2.601758750260344,0.07093092799186707,0.03479065718474195,0.17633598325558053,0.08383989176981346,0.040224874516328175,0.04149654353106463
2,143000,7,no_joint_caliper_match,0.5,3.2765111641003646,0.077209923002455,0.14243841171264626,0.11151766015980988,0.21613345624973757,0.06923560169008043,0.06590299076504177
2,143000,8,no_joint_caliper_match,0.35,3.8529147357871194,0.02939550744162661,0.12985806994968013,0.07809812232025576,0.307193351257522,0.037639198700586955,0.04227242204878066
3,14000,1,no_joint_caliper_match,0.75,7.767682425467888,0.31909317661214764,0.3307480812072753,0.40251683097890456,0.3742514115669531,0.079274492903992,0.08837590747409396
