run_id,step,progress,layer,beta,top1_agreement,top1_damage,intervened_nll,nll_damage,kl,activation_relative_magnitude,activation_absolute_rms,family,catastrophic
2,14000,0.0979020979020979,1,0.35,0.7900028935185186,0.20999710648148148,4.005919385839392,0.14187591164200397,0.12389996289103118,0.34999999072816634,0.3832809064123366,activation_noise,False
2,14000,0.0979020979020979,1,0.5,0.6792534722222222,0.3207465277777778,4.224932476326271,0.3608890021288837,0.32249965491118254,0.4999999657825187,0.5475441349877251,activation_noise,False
2,14000,0.0979020979020979,1,0.75,0.47193287037037035,0.5280671296296297,5.003136352256493,1.1390928780591048,1.0577773495956704,0.7500000794728597,0.8213163503894099,activation_noise,False
2,14000,0.0979020979020979,2,0.35,0.7901475694444444,0.20985243055555555,3.9972641468048096,0.13322067260742199,0.1203632586532169,0.35000009889955874,0.42987186820418744,activation_noise,False
2,14000,0.0979020979020979,2,0.5,0.6858362268518519,0.31416377314814814,4.198962971016212,0.3349194968188251,0.3062201020894227,0.5000001081713924,0.6141026262883788,activation_noise,False
2,14000,0.0979020979020979,2,0.75,0.49081307870370366,0.5091869212962963,4.884066246174,1.0200227719766122,0.9520518603148285,0.7500001081713923,0.9211539096302457,activation_noise,False
2,14000,0.0979020979020979,3,0.35,0.7202690972222222,0.2797309027777778,4.152872527087176,0.2888290528897886,0.27546939308996554,0.35000002604943736,0.5097613544375809,activation_noise,False
2,14000,0.0979020979020979,3,0.5,0.6087962962962963,0.3912037037037037,4.467559567204228,0.6035160930068405,0.5693763185430456,0.4999999337726169,0.7282305867583664,activation_noise,False
2,14000,0.0979020979020979,3,0.75,0.43330439814814814,0.5666956018518517,5.241714300932708,1.3776708267353197,1.3000856549651534,0.750000019868215,1.0923461207637082,activation_noise,False
2,14000,0.0979020979020979,4,0.35,0.7278645833333334,0.2721354166666667,4.124915246610288,0.2608717724129005,0.2497962365547816,0.3499999664447926,0.5284183488951789,activation_noise,False
2,14000,0.0979020979020979,4,0.5,0.6306423611111112,0.3693576388888889,4.385574358480948,0.5215308842835602,0.4899922554139738,0.4999999591597804,0.754883192203663,activation_noise,False
2,14000,0.0979020979020979,4,0.75,0.470630787037037,0.5293692129629629,5.01659576981156,1.1525522956141718,1.0751646735050062,0.7499998763755515,1.132324700002317,activation_noise,False
2,14000,0.0979020979020979,5,0.35,0.7435619212962963,0.2564380787037037,4.08315959683171,0.2191161226343226,0.21455534906299026,0.3500000966919793,0.559538048726541,activation_noise,False
2,14000,0.0979020979020979,5,0.5,0.6555989583333334,0.3444010416666667,4.298325150101274,0.4342816759038855,0.41302085805822303,0.4999999503294627,0.7993399191785742,activation_noise,False
2,14000,0.0979020979020979,5,0.75,0.5154079861111112,0.4845920138888889,4.804668850368923,0.940625376171536,0.8826911868872466,0.750000070642542,1.1990104118982952,activation_noise,False
