target_id,run_id,step,layer,selected_beta,target_kl,target_nll_damage,alpha_min,alpha_max,block_alpha,noise_alpha,block_alpha_multiplier,noise_alpha_multiplier,objective,block_kl,block_nll_damage,block_output_logit_norm,block_output_abs_cosine,block_hidden_relative_norm,noise_kl,noise_nll_damage,noise_output_logit_norm,noise_output_abs_cosine,noise_hidden_relative_norm,no_bracket,numerical_issue,pathological,boundary_selected,coordinate_converged,block_evaluations,noise_evaluations
r2_s14000_l1,2,14000,1,0.610086654353,0.5876143508487278,0.6313015884823269,0.076260831794125,1.220173308706,0.4591157491736263,0.6234458125152603,0.7525418658117032,1.0218971486541166,0.4719277472131062,0.5882918834686279,0.6108608245849609,249.98912048339844,0.003472530050203204,0.4591143727302551,0.5878325899442037,0.7079927126566572,239.8267822265625,0.003320080849031607,0.6234458088874817,False,False,False,False,True,22,25
r2_s14000_l2,2,14000,2,0.667777390647,0.6941122081544665,0.7525731987423366,0.083472173830875,1.335554781294,0.47347015800199294,0.660584101405589,0.7090239421602076,0.9892280131939754,0.3719602836609552,0.6937881708145142,0.7767605781555176,264.83380126953125,0.003360697068274021,0.473471999168396,0.6891207297643026,0.8163264592488604,250.62429809570312,0.0035215366321305432,0.6605841716130575,False,False,False,False,True,29,24
r2_s14000_l3,2,14000,3,0.569293543783,0.7652236223220825,0.7743501398298474,0.071161692972875,1.138587087566,0.5206329024206788,0.588094394194,0.9145245157024486,1.0330248790212284,0.4400282942532938,0.76344895362854,0.8739867210388184,247.598876953125,0.0036516468971967697,0.5206331014633179,0.7556931575139364,0.8830574353535967,295.6759033203125,0.0031350543722510338,0.5880942145983378,False,False,False,False,True,24,28
r2_s14000_l4,2,14000,4,0.367257583746,0.262666051586469,0.2992361386617024,0.04590719796825,0.734515167492,0.2541256996861245,0.3835174661035881,0.6919549409819159,1.0442737824274138,0.5114288526266219,0.2688872814178467,0.2958197593688965,163.49472045898438,0.0034444774501025677,0.25412678718566895,0.2712549567222595,0.2768838405609131,192.7396240234375,0.0026941142665843167,0.3835174838701884,False,False,False,False,True,21,22
r2_s14000_l6,2,14000,6,0.327424162539,0.1849737829632229,0.2089083989461266,0.040928020317375,0.654848325078,0.28986467775971675,0.34099593490220903,0.8852879870317772,1.041450124688316,0.1814341379917665,0.18899552524089813,0.20846128463745117,156.9808349609375,0.0029219500720500946,0.2898675203323364,0.18325423200925192,0.20906249682108546,167.2411142985026,0.002702487865462899,0.3409956097602844,False,False,False,False,True,25,24
r2_s14000_l9,2,14000,9,0.370729772479,0.210194620821211,0.2148643864525687,0.046341221559875,0.741459544958,0.34180665328445686,0.41876742699513514,0.921983284479313,1.129575928566288,0.5941753636237326,0.2631009817123413,0.21507573127746582,188.00828552246094,0.0030073276720941067,0.3418067395687103,0.2427867203950882,0.21478788057963039,203.11338806152344,0.002544439397752285,0.4187674323717753,False,False,False,False,True,26,24
r2_s14000_l10,2,14000,10,0.467887361263,0.2904930694235696,0.3209444946712916,0.058485920157875,0.935774722526,0.4204296405098816,0.45786149993590664,0.8985702015437805,0.9785720620877001,0.22660158937454733,0.29100802540779114,0.3209700584411621,210.35394287109375,0.003058304078876972,0.42042768001556396,0.29296548167864483,0.2996030648549399,222.11198933919272,0.002652132883667946,0.45786118507385254,False,False,False,False,True,22,26
r2_s72000_l1,2,72000,1,0.708203932499,0.9493300782309636,0.9494883219401044,0.088525491562375,1.416407864998,0.5336751109159514,0.708203932499,0.7535613492469628,1.0,0.31423867491567714,0.9579410552978516,0.9419040679931641,340.2170715332031,0.002802482573315501,0.5336745977401733,0.93745356798172,0.987187385559082,317.42059326171875,0.0029898320014278093,0.7082039515177408,False,False,False,False,True,26,20
r2_s72000_l2,2,72000,2,0.699480193099,0.92882463004854,0.9390635490417482,0.087435024137375,1.398960386198,0.5088705960269033,0.7186780908883782,0.7274982208894097,1.0274459491187637,0.26449145296958865,0.9290904998779297,0.9484548568725586,335.30426025390625,0.0031327111646533012,0.5088713765144348,0.9276368816693624,0.9729827245076494,324.24815877278644,0.002928765413040916,0.7186781962712606,False,False,False,False,True,23,24
r2_s72000_l3,2,72000,3,0.44408862564,0.8842032485538058,0.8943626085917153,0.055511078205,0.88817725128,0.5575003150419978,0.46249615454544096,1.255380757024691,1.041450124688316,0.28885974988680185,0.880897045135498,0.947169303894043,299.2143249511719,0.003180127125233412,0.5575000643730164,0.8839163780212402,0.9433062871297198,345.1488749186198,0.0028172826083997884,0.46249619126319885,False,False,False,False,True,26,24
r2_s72000_l7,2,72000,7,0.341906038116,0.3825724124908447,0.3660224808586971,0.0427382547645,0.683812076232,0.3414434778445334,0.3446945889289459,0.9986471128909701,1.0081558981184175,0.2817673954261558,0.3826831579208374,0.4146552085876465,238.69151306152344,0.002793527441099286,0.34144312143325806,0.3827467163403829,0.4102018674214678,250.87360636393228,0.0024488056854655347,0.3446946640809377,False,False,False,False,True,27,29
r2_s72000_l9,2,72000,9,0.37324227185,0.3535401688681708,0.3771826161278618,0.04665528398125,0.7464845437,0.3079654781684633,0.3918835158997198,0.8251087869603089,1.0499440858006872,0.3381301925951177,0.3836010694503784,0.37700891494750977,233.02320861816406,0.0027806079015135765,0.3079656660556793,0.3816292881965637,0.37759971618652344,257.40709431966144,0.0024730653191606202,0.391883651415507,False,False,False,False,True,24,22
r2_s72000_l10,2,72000,10,0.52014326253,0.5688886642456055,0.5656325022379556,0.06501790781625,1.04028652506,0.5159353464089977,0.5152373441297482,0.9919100824251097,0.9905681400612801,0.228418326043419,0.5677657127380371,0.615577220916748,299.7353210449219,0.0026331101544201374,0.5159386992454529,0.5723422169685364,0.5620072682698565,317.60264078776044,0.0025051642830173173,0.5152372121810913,False,False,False,False,True,21,22
r2_s143000_l1,2,143000,1,0.734741719419,1.0257128013504877,1.0317671828799777,0.091842714927375,1.469483438838,0.5789694379529887,0.734741719419,0.7879904225539434,1.0,0.22819412562789337,1.0274617671966553,1.024531364440918,739.5171508789062,0.0018416077364236116,0.5789682865142822,0.9971227447191874,1.0349771181742353,780.6235555013021,0.0014862227253615856,0.734741727511088,False,False,False,False,True,21,20
