target_id,run_id,step,progress,layer,selected_beta,match_class,target_kl,target_nll_damage,achieved_kl,achieved_nll_damage,relative_kl_error,relative_nll_error
r2_s14000_l1,2,14000,0.0979020979020979,1,0.610086654353,A,0.5876143508487278,0.6313015884823269,0.581660372239572,0.6384883898275868,0.010132459495834259,0.011384101476009134
r2_s14000_l2,2,14000,0.0979020979020979,2,0.667777390647,A,0.6941122081544665,0.7525731987423366,0.6960172145454971,0.7499408986833362,0.0027445222381162295,0.003497732929362705
r2_s14000_l3,2,14000,0.0979020979020979,3,0.569293543783,A,0.7652236223220825,0.7743501398298474,0.7465438776546054,0.7919619966436313,0.024410831190454826,0.02274404808350804
r2_s14000_l4,2,14000,0.0979020979020979,4,0.367257583746,A,0.262666051586469,0.29923613866170246,0.2731158170435164,0.2861531222308127,0.03978346418919531,0.0437213783380519
r2_s14000_l5,2,14000,0.0979020979020979,5,0.4390636269,B,0.3018526766035292,0.3676611582438154,0.32443282228929027,0.33810056580437564,0.07480518622448501,0.08040172799476462
r2_s14000_l6,2,14000,0.0979020979020979,6,0.327424162539,A,0.1849737829632229,0.2089083989461266,0.1863985530756138,0.20728291405571841,0.007702551624121074,0.007780849877747492
r2_s14000_l7,2,14000,0.0979020979020979,7,0.37826727059,B,0.25317857828405166,0.23603468471103253,0.23247707442001062,0.251970988732797,0.08176641169354144,0.06751678907363594
r2_s14000_l8,2,14000,0.0979020979020979,8,0.419103648728,C,0.24400135709179774,0.33424403932359475,0.26963571045133805,0.2888129640508579,0.10505824092523856,0.1359218712307906
r2_s14000_l9,2,14000,0.0979020979020979,9,0.370729772479,A,0.21019462082121107,0.2148643864525687,0.2105704617721063,0.21479182773166272,0.0017880616993197814,0.00033769542781653014
r2_s14000_l10,2,14000,0.0979020979020979,10,0.467887361263,A,0.2904930694235696,0.32094449467129166,0.2992866337299347,0.3105879624684649,0.030271167307998177,0.032268919937080025
r2_s72000_l1,2,72000,0.5034965034965035,1,0.708203932499,A,0.9493300782309637,0.9494883219401044,0.9299386673503451,0.9681474897596574,0.020426415769669092,0.01965181391742322
r2_s72000_l2,2,72000,0.5034965034965035,2,0.699480193099,A,0.92882463004854,0.9390635490417482,0.9133733996638546,0.954148363184046,0.01663525049272361,0.016063677647455032
r2_s72000_l3,2,72000,0.5034965034965035,3,0.44408862564,A,0.8842032485538058,0.8943626085917153,0.8714970482720269,0.9076645462601269,0.014370225740005706,0.014873092346002998
r2_s72000_l4,2,72000,0.5034965034965035,4,0.271469520611,B,0.3037220537662506,0.3406482802497017,0.3199379002606427,0.32341977402015987,0.05339041499705749,0.050575644230061605
r2_s72000_l5,2,72000,0.5034965034965035,5,0.344645089413,B,0.3947205775313907,0.46446243921915703,0.4251525004704793,0.426606663951167,0.07709738146750494,0.08150449222880275
r2_s72000_l6,2,72000,0.5034965034965035,6,0.273982019981,B,0.2554864916536543,0.2966276009877524,0.2708719908087342,0.2781399179387978,0.060220401694962324,0.0623262399969842
r2_s72000_l7,2,72000,0.5034965034965035,7,0.341906038116,A,0.3825724124908447,0.3660224808586971,0.37324639271806787,0.37392588014955885,0.02437713611400473,0.021592660845035007
r2_s72000_l8,2,72000,0.5034965034965035,8,0.378860391235,C,0.371453324953715,0.5048611164093016,0.42104449095549407,0.4244692590501571,0.1335057803233417,0.15923558924631054
r2_s72000_l9,2,72000,0.5034965034965035,9,0.37324227185,A,0.3535401688681708,0.3771826161278618,0.3652026851971944,0.3642142790335199,0.03298781116252555,0.03438211767933488
r2_s72000_l10,2,72000,0.5034965034965035,10,0.52014326253,A,0.5688886642456055,0.5656325022379556,0.5649002812526844,0.5702363473397711,0.007010832248174533,0.008139286698681653
r2_s143000_l1,2,143000,1.0,1,0.734741719419,A,1.0257128013504875,1.0317671828799777,1.0211671127213373,1.0359454066665088,0.004431736274677212,0.004049580036907502
r2_s143000_l2,2,143000,1.0,2,0.75,A,1.2016478247112696,1.209634330537584,1.1993317957277652,1.2143381524969032,0.0019273775026880566,0.0038886313330945407
r2_s143000_l3,2,143000,1.0,3,0.48739423558,A,1.250755018658108,1.227257172266642,1.2221425771713257,1.2518015702565513,0.02287613566200738,0.019999392584162032
r2_s143000_l4,2,143000,1.0,4,0.28795731005,A,0.39459201362397933,0.4097302754720051,0.41021959318055046,0.394512874108774,0.03960439901711643,0.03714004620640651
r2_s143000_l5,2,143000,1.0,5,0.388543819998,B,0.5600684947437711,0.6294175518883601,0.5984308057361178,0.5885359887723571,0.06849574891697643,0.06495141896390778
r2_s143000_l6,2,143000,1.0,6,0.324685111242,A,0.3667832811673482,0.39757010671827525,0.38420902137403135,0.3784873485565181,0.047509636074946876,0.047998473323930015
r2_s143000_l7,2,143000,1.0,7,0.452812365041,B,0.6537510553995768,0.5878107017940946,0.6151876780721877,0.6105055014292398,0.058987862442164564,0.03860902764416903
