scale_m,run,step,progress,intact_nll,agreement,nll_damage,kl
70,1,14000,0.0979020979020979,4.327968756357829,0.44487847222222215,1.3360574775271947,1.2121168110105727
70,1,36000,0.2517482517482518,4.277352492014567,0.3916015625,1.558741490046183,1.4606251021226246
70,1,72000,0.5034965034965035,4.242032474941678,0.3693576388888889,1.5968717469109428,1.4704164034790461
70,1,107000,0.7482517482517482,4.207297298643323,0.3206380208333333,1.9728516472710507,1.90868439939287
70,1,143000,1.0,4.192953268686931,0.3015407986111111,2.068579355875651,2.0185327165656624
70,2,14000,0.0979020979020979,4.376600901285808,0.42409939236111116,1.2029047012329102,1.1631950669818456
70,2,36000,0.2517482517482518,4.276972717709012,0.35302734375,1.5892294380399914,1.504839026265674
70,2,72000,0.5034965034965035,4.241849952273899,0.3359375,1.773135052786933,1.6568729480107625
70,2,107000,0.7482517482517482,4.318943394554986,0.31049262152777773,1.7424292696846855,1.694521721866396
70,2,143000,1.0,4.337793191274007,0.2757161458333333,1.9203560219870675,1.8942290908760497
70,3,14000,0.0979020979020979,4.399885654449463,0.4344618055555555,1.13442419634925,1.146080748902427
70,3,36000,0.2517482517482518,4.292436096403333,0.38677300347222215,1.4357705381181507,1.396446936660343
70,3,72000,0.5034965034965035,4.321011225382487,0.35883246527777773,1.598847084575229,1.5749696973297331
70,3,107000,0.7482517482517482,4.309662289089627,0.3384874131944445,1.6386088265313041,1.5942964487605622
70,3,143000,1.0,4.3504072825113935,0.2728407118055555,1.8946908050113256,1.8994288278950586
70,4,14000,0.0979020979020979,4.355323738521999,0.4246419270833333,1.2207304371727838,1.1521014240052967
70,4,36000,0.2517482517482518,4.245979229609172,0.3806966145833333,1.5024602545632257,1.3964154620965321
70,4,72000,0.5034965034965035,4.348197089301215,0.38134765625,1.55667245388031,1.4389613933033412
70,4,107000,0.7482517482517482,4.398459434509277,0.2666015625,2.069021609094408,2.0212298929691315
70,4,143000,1.0,4.3526626692877874,0.2835828993055556,1.7825819121466744,1.724338157309426
70,5,14000,0.0979020979020979,4.366216765509711,0.3994140625,1.3595998684565227,1.3009098105960424
70,5,36000,0.2517482517482518,4.313177108764648,0.3682725694444445,1.5919392638736303,1.5306512647204926
70,5,72000,0.5034965034965035,4.250389205084907,0.3792317708333333,1.6171049806806777,1.5557576268911362
70,5,107000,0.7482517482517482,4.337803575727675,0.35498046875,1.5924318366580537,1.5142064160770843
70,5,143000,1.0,4.380050235324436,0.31206597222222215,1.6095487409167817,1.5940974520312414
160,1,14000,0.0979020979020979,3.8918036090003123,0.6489800347222222,0.4830839448504977,0.4544333423177401
160,1,36000,0.2517482517482518,3.778984599643284,0.6225477430555556,0.5665539847479925,0.5411747357911535
160,1,72000,0.5034965034965035,3.7492988109588623,0.6057942708333334,0.6405861139297485,0.619198179576132
160,1,107000,0.7482517482517482,3.7081378036075168,0.5690972222222221,0.7769260432985093,0.7589490916993884
160,1,143000,1.0,3.721455468071832,0.5587890624999999,0.8020860830942788,0.7396756536430784
160,2,14000,0.0979020979020979,3.8640434741973877,0.6607855902777778,0.41401182280646437,0.3794310318099128
160,2,36000,0.2517482517482518,3.776062621010675,0.6295789930555556,0.4919401963551839,0.47374222626288737
160,2,72000,0.5034965034965035,3.726160579257541,0.6146701388888889,0.5698351515663994,0.5392741650342942
160,2,107000,0.7482517482517482,3.735309680302938,0.578342013888889,0.6824989477793375,0.6613976293139987
160,2,143000,1.0,3.695264048046536,0.5566840277777777,0.7370701551437379,0.7235850211646823
160,3,14000,0.0979020979020979,3.9028934107886415,0.649978298611111,0.4645600530836318,0.41359466347429485
160,3,36000,0.2517482517482518,3.7920816209581165,0.6360243055555556,0.5127290222379898,0.49247988445891283
160,3,72000,0.5034965034965035,3.722345140245226,0.6074869791666667,0.613576939370897,0.5932834168275197
160,3,107000,0.7482517482517482,3.7414481110042996,0.5777126736111111,0.740440238846673,0.7125904076629216
160,3,143000,1.0,3.7460712591807046,0.5608723958333334,0.7756696833504569,0.7328216893805397
160,4,14000,0.0979020979020979,3.886761744817098,0.6679470486111111,0.3898193756739299,0.3624234765768051
160,4,36000,0.2517482517482518,3.7727015813191733,0.6429036458333334,0.48661879433525906,0.4470271817511982
160,4,72000,0.5034965034965035,3.738414446512858,0.6028211805555556,0.5870753288269043,0.5520333752036094
160,4,107000,0.7482517482517482,3.7763320869869657,0.5828993055555556,0.6762056907018027,0.6553866508934233
160,4,143000,1.0,3.76750479804145,0.5497612847222222,0.7329603777991401,0.7127911700142754
160,5,14000,0.0979020979020979,3.921848403082954,0.6561197916666667,0.39437621169620085,0.38318073484632703
160,5,36000,0.2517482517482518,3.7537443902757435,0.6489800347222222,0.43901842435201016,0.4189326094256507
160,5,72000,0.5034965034965035,3.731481128268772,0.6217013888888889,0.5412486844592624,0.5211293399333955
160,5,107000,0.7482517482517482,3.6801610257890487,0.5771918402777777,0.6733522415161133,0.6672497848669687
160,5,143000,1.0,3.7323279115888806,0.5658203125,0.7218004014756945,0.7169250249862671
160,6,14000,0.0979020979020979,3.8302162488301597,0.6582248263888889,0.4416144185596042,0.4001326358980603
160,6,36000,0.2517482517482518,3.7054249180687795,0.6328342013888889,0.5108869128757053,0.5010149856408438
160,6,72000,0.5034965034965035,3.6699788835313587,0.6105251736111111,0.6179847849739922,0.5966224738293224
160,6,107000,0.7482517482517482,3.7154651482899985,0.5800564236111111,0.726006907886929,0.6760229061047237
160,6,143000,1.0,3.6825049453311496,0.538302951388889,0.81805137263404,0.7839357031716241
160,7,14000,0.0979020979020979,3.8511704338921438,0.6521050347222223,0.45279173586103655,0.40304166028896954
160,7,36000,0.2517482517482518,3.7621673213111033,0.6233072916666668,0.507357030444675,0.5122778152426085
160,7,72000,0.5034965034965035,3.685131072998047,0.5997612847222222,0.6017964866426256,0.5815205365419388
160,7,107000,0.7482517482517482,3.685184054904514,0.5708333333333334,0.7341846386591593,0.7165497071213193
160,7,143000,1.0,3.703433805041843,0.5557291666666667,0.8162592993842231,0.7686422215567695
160,8,14000,0.0979020979020979,3.8602281676398387,0.6595703125,0.435665045844184,0.4117090784841113
160,8,36000,0.2517482517482518,3.800677167044746,0.6389973958333334,0.5158928394317627,0.4895018433531126
160,8,72000,0.5034965034965035,3.7941317558288574,0.6099175347222223,0.594604147805108,0.5843447582589255
160,8,107000,0.7482517482517482,3.732070525487264,0.5714626736111111,0.7087746487723456,0.7107380665010877
160,8,143000,1.0,3.7353227403428817,0.5549479166666668,0.7716765085856121,0.7645726051595476
160,9,14000,0.0979020979020979,3.8900212181939016,0.6523871527777777,0.4329088555441962,0.4134787428710196
160,9,36000,0.2517482517482518,3.7824446095360655,0.6272569444444444,0.5559957981109619,0.5110504165291786
160,9,72000,0.5034965034965035,3.7730061213175454,0.6021918402777778,0.6157097260157267,0.5884112271997664
160,9,107000,0.7482517482517482,3.759518967734443,0.5572916666666666,0.752880843480428,0.7354711559083728
160,9,143000,1.0,3.750130388471815,0.5334418402777777,0.7828415155410767,0.7749970522191788
