target_id,run_id,step,layer,family_direction,alpha,tokens,kl,nll_damage,output_logit_norm,output_abs_cosine,hidden_relative_norm
r3_s14000_l1,3,14000,1,block,0.081171277810375,512,0.007230078801512718,-0.002342700958251953,32.86677169799805,0.002905772067606449,0.08117267489433289
r3_s14000_l1,3,14000,1,block,0.16234255562075,512,0.029073849320411682,0.011437654495239258,66.60702514648438,0.002951674163341522,0.1623426079750061
r3_s14000_l1,3,14000,1,block,0.3246851112415,512,0.22922848165035248,0.23471999168395996,168.05409240722656,0.002990382257848978,0.32468709349632263
r3_s14000_l1,3,14000,1,block,0.649370222483,512,1.0176844596862793,1.1004242897033691,321.4488220214844,0.003244721796363592,0.6493697762489319
r3_s14000_l1,3,14000,1,block,0.9740553337245,512,3.052664041519165,3.282153606414795,474.308837890625,0.003891261527314782,0.9740550518035889
r3_s14000_l1,3,14000,1,block,1.298740444966,512,4.197959899902344,4.446838855743408,549.0897827148438,0.0038373838178813457,1.2987399101257324
r3_s14000_l1,3,14000,1,noise,0.081171277810375,1536,0.004663861356675625,0.0011968612670898438,27.02919642130534,0.002879572877039512,0.08117147535085678
r3_s14000_l1,3,14000,1,noise,0.16234255562075,1536,0.019623459006349247,0.015774647394815933,54.58666102091471,0.0029476365695397058,0.16234267751375833
r3_s14000_l1,3,14000,1,noise,0.3246851112415,1536,0.09381030748287837,0.10173169771830226,113.52145385742188,0.0030916862500210605,0.3246852457523346
r3_s14000_l1,3,14000,1,noise,0.649370222483,1536,0.6192524433135986,0.719109058380127,252.75718688964844,0.003312408458441496,0.649369994799296
r3_s14000_l1,3,14000,1,noise,0.9740553337245,1536,1.7733858823776245,1.9594298998514814,374.7184753417969,0.0034613359409073987,0.9740556081136068
r3_s14000_l1,3,14000,1,noise,1.298740444966,1536,2.7410101095835366,2.9674914677937823,449.1779073079427,0.003577224677428603,1.2987409035364788
r3_s14000_l2,3,14000,2,block,0.074108215934875,512,0.005569634027779102,-0.0018825531005859375,28.39889144897461,0.0029590334743261337,0.07410949468612671
r3_s14000_l2,3,14000,2,block,0.14821643186975,512,0.025219909846782684,0.012636661529541016,59.55976104736328,0.0029874055180698633,0.14821642637252808
r3_s14000_l2,3,14000,2,block,0.2964328637395,512,0.13870751857757568,0.1310110092163086,133.44554138183594,0.0031417771242558956,0.29643312096595764
r3_s14000_l2,3,14000,2,block,0.592865727479,512,1.0898840427398682,1.1539177894592285,332.3255615234375,0.0032835130114108324,0.5928664207458496
