target_id,run_id,step,layer,selected_beta,valid_fraction,comparisons,cosine_mean,cosine_median,cosine_q10,cosine_q90,cosine_sd,directional_disagreement,block_norm_mean,noise_norm_mean,log_noise_block_norm_ratio
r2_s14000_l1,2,14000,1,0.610086654353,1.0,13824,-0.00031518491782579197,2.4985114578157663e-05,-0.04692285656929016,0.04617668427526953,0.03621615457086603,1.0003151849178258,12.570713718214797,18.514897736893207,0.387205890610847
r2_s14000_l2,2,14000,2,0.667777390647,1.0,13824,-5.6170029299210626e-05,-1.5637685919500655e-05,-0.04674690365791321,0.04704448878765108,0.036408127643843095,1.0000561700292991,15.849480966313017,22.729151186153846,0.36051154065689006
r2_s14000_l3,2,14000,3,0.569293543783,1.0,13824,0.00013754806187654472,-0.00022286467719823122,-0.0455954223871231,0.046753375604748744,0.036036169929710093,0.9998624519381235,19.31240839925077,22.97818735021132,0.17379757829240802
r2_s14000_l4,2,14000,4,0.367257583746,1.0,13824,0.00035552449621707776,7.157148138503544e-05,-0.04618288092315197,0.04729418344795705,0.036486665203367484,0.9996444755037829,14.463135616439912,15.366013326233736,0.0605551028671116
r2_s14000_l6,2,14000,6,0.327424162539,1.0,13824,0.00012948250967215603,0.00037641973176505417,-0.04656072147190571,0.04660460017621521,0.03614954792782939,0.9998705174903278,16.390722185787226,15.400220035195902,-0.06233365705393011
r2_s14000_l9,2,14000,9,0.370729772479,1.0,13824,-0.00012156388910892583,-0.00026074156630784273,-0.04614369049668312,0.04531897827982903,0.03584296768229723,1.000121563889109,22.132550484397346,25.0377611713139,0.12333573463536555
r2_s14000_l10,2,14000,10,0.467887361263,1.0,13824,-0.0003267137569514409,6.803963188417583e-06,-0.04636629894375801,0.045644050091505066,0.03598309501506917,1.0003267137569514,32.54410784401827,37.59945672364147,0.14439326780035996
r2_s72000_l1,2,72000,1,0.708203932499,1.0,13824,-5.549712750205113e-05,0.0001093530336220283,-0.04627737812697887,0.04682696871459485,0.03628208282799974,1.000055497127502,10.194685272975928,15.54215084568218,0.4216892095935785
r2_s72000_l2,2,72000,2,0.699480193099,1.0,13824,-0.0002866105410856474,-0.00017340229533147067,-0.04637560993432999,0.04606661833822728,0.036057109365381035,1.0002866105410857,12.930085950944987,17.390544897704213,0.2963698216767895
r2_s72000_l3,2,72000,3,0.44408862564,1.0,13824,0.00035969478870247055,0.0005533225485123694,-0.04508087784051895,0.046333716437220576,0.03588967613188225,0.9996403052112975,16.058146928126614,13.425094566342455,-0.1790906331424027
r2_s72000_l7,2,72000,7,0.341906038116,1.0,13824,-0.00035988384321482833,-0.0005358594935387373,-0.046412513777613636,0.04642497450113297,0.036377555076370645,1.0003598838432148,14.104915704578161,12.825534316538661,-0.09508531585936822
r2_s72000_l9,2,72000,9,0.37324227185,1.0,13824,-0.000177774824411799,-0.00037151774449739605,-0.04580619260668754,0.046402895078063014,0.035909511586884726,1.0001777748244118,19.92195461793906,20.05111695315551,0.006462489854549745
r2_s72000_l10,2,72000,10,0.52014326253,1.0,13824,-0.00026977436761233605,-0.00028739274421241134,-0.04666097424924373,0.045858990028500565,0.03616444837862595,1.0002697743676123,33.91574214067724,33.815995248655476,-0.0029453537728698267
r2_s143000_l1,2,143000,1,0.734741719419,1.0,13824,8.659563816527372e-05,-0.00012985490320716053,-0.04629050865769386,0.046832023188471794,0.036111969283467674,0.9999134043618347,5.672214910801914,8.142332611984953,0.36149702234571474
r2_s143000_l2,2,143000,2,0.75,1.0,13824,5.033653769269294e-05,-7.99375629867427e-05,-0.04601958952844142,0.04641799181699753,0.03623227540255779,0.9999496634623073,7.489000682615572,9.555679361956814,0.24370030690088568
r2_s143000_l3,2,143000,3,0.48739423558,1.0,13824,0.00036201364616713266,4.755847476189956e-05,-0.04574870802462101,0.04705591313540936,0.036193372645073045,0.9996379863538328,9.48968109033174,7.71726487390697,-0.206744996928804
r2_s143000_l4,2,143000,4,0.28795731005,1.0,13824,0.00026704737144308996,0.00019660223188111559,-0.04584941826760769,0.04715986140072347,0.0362330033197748,0.9997329526285569,6.739612161388828,4.622918854726271,-0.37697608811019995
r2_s143000_l6,2,143000,6,0.324685111242,1.0,13824,-9.983071773811003e-05,-2.4050836145761423e-05,-0.047366143018007276,0.046513070538640025,0.036382286282981326,1.000099830717738,7.262295573018491,5.855448555839421,-0.21532336864052729
r2_s143000_l9,2,143000,9,0.365704773739,1.0,13824,0.0004760425505983977,0.0006478672730736434,-0.04546400383114814,0.04614925608038903,0.03581378279867441,0.9995239574494016,15.59682961439507,10.663488084864285,-0.38024208607584575
r2_s143000_l10,2,143000,10,0.73488173621,1.0,13824,5.633073781290492e-05,0.000123019031889271,-0.04616556838154792,0.04676011055707932,0.0363145830800226,0.9999436692621871,22.95153722808593,22.334319293843926,-0.02726043864539682
