target_id,run_id,step,layer,selected_beta,valid_fraction,comparisons,cosine_mean,cosine_median,cosine_q10,cosine_q90,cosine_sd,directional_disagreement,block_norm_mean,noise_norm_mean,log_noise_block_norm_ratio
r2_s14000_l1,2,14000,1,0.610086654353,1.0,13824,-0.0003151849178257,2.4985114578157663e-05,-0.0469228565692901,0.0461766842752695,0.036216154570866,1.0003151849178258,12.570713718214796,18.514897736893207,0.387205890610847
r2_s14000_l2,2,14000,2,0.667777390647,1.0,13824,-5.617002929921063e-05,-1.5637685919500655e-05,-0.0467469036579132,0.047044488787651,0.036408127643843,1.0000561700292991,15.849480966313015,22.72915118615385,0.36051154065689
r2_s14000_l3,2,14000,3,0.569293543783,1.0,13824,0.0001375480618765,-0.0002228646771982,-0.0455954223871231,0.0467533756047487,0.03603616992971,0.9998624519381236,19.31240839925077,22.97818735021132,0.173797578292408
r2_s14000_l4,2,14000,4,0.367257583746,1.0,13824,0.000355524496217,7.157148138503544e-05,-0.0461828809231519,0.047294183447957,0.0364866652033674,0.9996444755037828,14.463135616439912,15.366013326233736,0.0605551028671116
r2_s14000_l6,2,14000,6,0.327424162539,1.0,13824,0.0001294825096721,0.000376419731765,-0.0465607214719057,0.0466046001762152,0.0361495479278293,0.9998705174903278,16.390722185787226,15.400220035195902,-0.0623336570539301
r2_s14000_l9,2,14000,9,0.370729772479,1.0,13824,-0.0001215638891089,-0.0002607415663078,-0.0461436904966831,0.045318978279829,0.0358429676822972,1.000121563889109,22.132550484397346,25.0377611713139,0.1233357346353655
r2_s14000_l10,2,14000,10,0.467887361263,1.0,13824,-0.0003267137569514,6.803963188417583e-06,-0.046366298943758,0.045644050091505,0.0359830950150691,1.0003267137569514,32.54410784401827,37.59945672364147,0.1443932678003599
r2_s72000_l1,2,72000,1,0.708203932499,1.0,13824,-5.549712750205113e-05,0.000109353033622,-0.0462773781269788,0.0468269687145948,0.0362820828279997,1.000055497127502,10.194685272975928,15.54215084568218,0.4216892095935785
r2_s72000_l2,2,72000,2,0.699480193099,1.0,13824,-0.0002866105410856,-0.0001734022953314,-0.0463756099343299,0.0460666183382272,0.036057109365381,1.0002866105410857,12.930085950944989,17.390544897704213,0.2963698216767895
r2_s72000_l3,2,72000,3,0.44408862564,1.0,13824,0.0003596947887024,0.0005533225485123,-0.0450808778405189,0.0463337164372205,0.0358896761318822,0.9996403052112977,16.058146928126614,13.425094566342455,-0.1790906331424027
r2_s72000_l7,2,72000,7,0.341906038116,1.0,13824,-0.0003598838432148,-0.0005358594935387,-0.0464125137776136,0.0464249745011329,0.0363775550763706,1.0003598838432148,14.10491570457816,12.82553431653866,-0.0950853158593682
r2_s72000_l9,2,72000,9,0.37324227185,1.0,13824,-0.0001777748244117,-0.0003715177444973,-0.0458061926066875,0.046402895078063,0.0359095115868847,1.0001777748244118,19.92195461793906,20.05111695315551,0.0064624898545497
r2_s72000_l10,2,72000,10,0.52014326253,1.0,13824,-0.0002697743676123,-0.0002873927442124,-0.0466609742492437,0.0458589900285005,0.0361644483786259,1.0002697743676123,33.91574214067724,33.81599524865548,-0.0029453537728698
r2_s143000_l1,2,143000,1,0.734741719419,1.0,13824,8.659563816527372e-05,-0.0001298549032071,-0.0462905086576938,0.0468320231884717,0.0361119692834676,0.9999134043618348,5.672214910801914,8.142332611984953,0.3614970223457147
r2_s143000_l2,2,143000,2,0.75,1.0,13824,5.033653769269294e-05,-7.99375629867427e-05,-0.0460195895284414,0.0464179918169975,0.0362322754025577,0.9999496634623072,7.489000682615572,9.555679361956814,0.2437003069008856
r2_s143000_l3,2,143000,3,0.48739423558,1.0,13824,0.0003620136461671,4.755847476189956e-05,-0.045748708024621,0.0470559131354093,0.036193372645073,0.9996379863538328,9.48968109033174,7.71726487390697,-0.206744996928804
r2_s143000_l4,2,143000,4,0.28795731005,1.0,13824,0.000267047371443,0.0001966022318811,-0.0458494182676076,0.0471598614007234,0.0362330033197748,0.9997329526285568,6.739612161388828,4.622918854726271,-0.3769760881101999
r2_s143000_l6,2,143000,6,0.324685111242,1.0,13824,-9.983071773811005e-05,-2.4050836145761423e-05,-0.0473661430180072,0.04651307053864,0.0363822862829813,1.000099830717738,7.262295573018491,5.855448555839421,-0.2153233686405272
r2_s143000_l9,2,143000,9,0.365704773739,1.0,13824,0.0004760425505983,0.0006478672730736,-0.0454640038311481,0.046149256080389,0.0358137827986744,0.9995239574494016,15.59682961439507,10.663488084864284,-0.3802420860758457
r2_s143000_l10,2,143000,10,0.73488173621,1.0,13824,5.633073781290492e-05,0.0001230190318892,-0.0461655683815479,0.0467601105570793,0.0363145830800226,0.9999436692621873,22.95153722808593,22.33431929384393,-0.0272604386453968
r3_s14000_l1,3,14000,1,0.649370222483,1.0,13824,7.410288247591926e-05,-0.0001694739694357,-0.0456082101911306,0.0469777207821607,0.0361326379118752,0.999925897117524,12.805036743688914,19.37185179518053,0.413982484918947
r3_s14000_l2,3,14000,2,0.592865727479,1.0,13824,-0.0003808083494703,-0.0005406854324974,-0.0470592591911554,0.0465940859168768,0.0363589983470604,1.0003808083494703,14.294782603780428,19.682670091934227,0.319843940015827
r3_s14000_l3,3,14000,3,0.723505480648,1.0,13824,0.000182780885578,0.0001754483382683,-0.0456081829965114,0.0461064200848341,0.0359926394472244,0.999817219114422,20.20404491366612,28.67620387425025,0.3501848179311042
r3_s14000_l4,3,14000,4,0.46204268995,1.0,13824,0.0003162459182307,0.0002322918808204,-0.0458799373358488,0.0467725317925214,0.0363098220486113,0.9996837540817692,16.796932102077538,19.245312843954675,0.1360712856980345
r3_s14000_l5,3,14000,5,0.390096630006,1.0,13824,-0.000238803089452,-0.0003680656081996,-0.0462351527065038,0.0466751139611005,0.0360750507108535,1.000238803089452,17.699299975401825,17.337415555630017,-0.0206581743760239
r3_s14000_l8,3,14000,8,0.355654776257,1.0,13824,-0.0002859178787776,-0.0003389211342437,-0.046314725279808,0.0462991088628769,0.0362337832753198,1.0002859178787775,21.2590950574312,21.8432839140296,0.0271086954313697
r3_s14000_l9,3,14000,9,0.371322893124,1.0,13824,-0.0002676247212798,-0.0001279369389521,-0.0466155167669057,0.0466663006693124,0.0364503001341602,1.0002676247212798,20.80744815659192,25.018994800815427,0.1843243213431029
