condition,n,false_support_rate,false_rejection_rate,abstention_rate,actual_label_accuracy,balanced_accuracy_decided_only,macro_f1_all,parse_errors
launch,128,0.0,0.78125,0.03125,0.578125,0.6147540983606558,0.3535762483130904,3
receipt,128,0.0,0.390625,0.0,0.8046875,0.8046875,0.5312942868625335,0
static,128,0.0,1.0,0.0,0.5,0.5,0.2222222222222222,0
