epoch,loss,answer_loss,aux_loss
1,5.832088507843018,3.34393974609375,2.488148762957255
2,3.408709819539388,2.532519640096029,0.876190175374349
3,1.8732437344233195,1.5929203247070312,0.2803234070221583
4,0.9561883884747823,0.8652764707883199,0.09091191406051317
5,0.4877979273160299,0.4564182693640391,0.0313796576221784
6,0.26074622619946797,0.24690465020736058,0.013841575368245443
7,0.15205867640972137,0.14349805362621942,0.008560621898124616
8,0.08781586164633433,0.08266871722141901,0.005147144871701797
9,0.06281651579936345,0.05916580577492714,0.003650710169846813
10,0.03693178146878878,0.03472508425911268,0.0022066973368326825
11,0.015109938429792722,0.014324834646532933,0.0007851038377111156
12,0.005005920518189669,0.0045981027882546184,0.00040781774126614134
13,0.0020763220473503075,0.0018169540726890167,0.00025936797863493366
14,0.001231268055861195,0.0010155902305617928,0.00021567782559432088
15,0.0010684203307454786,0.0008767721216815214,0.00019164820906395714
16,0.0009716020703626175,0.0007907646694531043,0.00018083740076205382
17,0.0009095176381679873,0.0007371385973567764,0.00017237904066375146
18,0.0008879463833135863,0.0007201421064014236,0.0001678042769121627
19,0.0008655080871346096,0.0006997478125927349,0.00016576027468933414
20,0.0008555852973212799,0.0006909059565514326,0.00016467934047492843
