target_id,run_id,step,layer,family_direction,alpha,tokens,kl,nll_damage,output_logit_norm,output_abs_cosine,hidden_relative_norm
r6_s14000_l1,6,14000,1,block,0.077545400470125,512,0.006702110171318054,0.014685869216918945,29.174278259277344,0.0035014445893466473,0.07754771411418915
r6_s14000_l1,6,14000,1,block,0.15509080094025,512,0.029534555971622467,0.049280643463134766,60.40068817138672,0.0034598256461322308,0.15508849918842316
r6_s14000_l1,6,14000,1,block,0.3101816018805,512,0.15905165672302246,0.20081114768981934,134.03680419921875,0.0033812744077295065,0.3101811408996582
r6_s14000_l1,6,14000,1,block,0.620363203761,512,1.0325829982757568,1.032360315322876,323.2816162109375,0.0034727491438388824,0.6203638315200806
r6_s14000_l1,6,14000,1,block,0.9305448056415,512,2.4881889820098877,2.5084002017974854,462.22137451171875,0.0036597244907170534,0.9305461645126343
r6_s14000_l1,6,14000,1,block,1.240726407522,512,3.820054531097412,3.841209650039673,542.08251953125,0.003884374164044857,1.2407252788543701
r6_s14000_l1,6,14000,1,noise,0.077545400470125,1536,0.0049606324173510075,0.002313057581583511,26.734589258829754,0.003144381179784735,0.0775457297762235
r6_s14000_l1,6,14000,1,noise,0.15509080094025,1536,0.02045596328874429,0.015411615371704102,54.03697840372721,0.0031559454121937356,0.1550909678141276
r6_s14000_l1,6,14000,1,noise,0.3101816018805,1536,0.0911443183819453,0.08129525184631348,112.16380564371745,0.003174336083854238,0.31018181641896564
r6_s14000_l1,6,14000,1,noise,0.620363203761,1536,0.525207002957662,0.5273913542429609,247.65245056152344,0.0031698960810899734,0.6203630963961283
r6_s14000_l1,6,14000,1,noise,0.9305448056415,1536,1.5549174149831135,1.6036862532297773,375.50575764973956,0.0032846416967610517,0.9305449724197388
r6_s14000_l1,6,14000,1,noise,1.240726407522,1536,2.574684460957845,2.661211570103963,456.5893046061198,0.0033974843875815472,1.2407257556915283
r6_s14000_l2,6,14000,2,block,0.07055107022925,512,0.0057378895580768585,-0.0013463497161865234,27.36376190185547,0.003285974496975541,0.07055118680000305
r6_s14000_l2,6,14000,2,block,0.1411021404585,512,0.025828389450907707,0.011900186538696289,57.899620056152344,0.0032360022887587547,0.1411035656929016
r6_s14000_l2,6,14000,2,block,0.282204280917,512,0.13227176666259766,0.10148072242736816,128.59194946289062,0.0032303142361342907,0.2822030484676361
r6_s14000_l2,6,14000,2,block,0.564408561834,512,0.9133259057998657,0.8858506679534912,316.6136474609375,0.0033942745067179203,0.564408540725708
r6_s14000_l2,6,14000,2,block,0.846612842751,512,2.3190109729766846,2.381612539291382,463.2501525878906,0.003355867462232709,0.8466112017631531
r6_s14000_l2,6,14000,2,block,1.128817123668,512,3.5530738830566406,3.680341958999634,536.313232421875,0.0035740064922720194,1.1288166046142578
r6_s14000_l2,6,14000,2,noise,0.07055107022925,1536,0.0039033337185780206,0.0026401678721108546,24.496899286905926,0.00294297793880105,0.07055154194434483
r6_s14000_l2,6,14000,2,noise,0.1411021404585,1536,0.01596284347275893,0.013541539510091294,49.331607818603516,0.0029533145328362784,0.14110247294108072
r6_s14000_l2,6,14000,2,noise,0.282204280917,1536,0.07010068744421005,0.06720972061157227,101.5258560180664,0.0030339204240590334,0.2822040617465973
r6_s14000_l2,6,14000,2,noise,0.564408561834,1536,0.4123118420441945,0.4142331282297773,223.1450449625651,0.003177276890104016,0.5644083619117737
r6_s14000_l2,6,14000,2,noise,0.846612842751,1536,1.3032386302947998,1.3275845050811768,346.15379842122394,0.0033363372397919497,0.8466124335924784
r6_s14000_l2,6,14000,2,noise,1.128817123668,1536,2.280641237894694,2.3308708667755127,434.8525899251302,0.003483067344253262,1.1288175980250041
r6_s14000_l3,6,14000,3,block,0.071863957896125,512,0.00498246680945158,0.0002713203430175781,27.522260665893555,0.0031478721648454666,0.07186576724052429
r6_s14000_l3,6,14000,3,block,0.14372791579225,512,0.02264910750091076,0.01052236557006836,57.437129974365234,0.0031182714737951756,0.14372718334197998
r6_s14000_l3,6,14000,3,block,0.2874558315845,512,0.1299702227115631,0.09765839576721191,129.4212646484375,0.0031713962089270353,0.28745612502098083
r6_s14000_l3,6,14000,3,block,0.574911663169,512,1.0949954986572266,1.0411689281463623,330.77313232421875,0.003498590085655451,0.5749111175537109
r6_s14000_l3,6,14000,3,block,0.8623674947535,512,2.7351367473602295,2.815613031387329,459.20166015625,0.003840699326246977,0.8623684644699097
r6_s14000_l3,6,14000,3,block,1.149823326338,512,4.009326457977295,4.095679521560669,532.5186157226562,0.00407181354239583,1.1498239040374756
r6_s14000_l3,6,14000,3,noise,0.071863957896125,1536,0.003946588685115178,0.0020142396291098486,24.903107325236004,0.0030713730957359076,0.07186399896939595
r6_s14000_l3,6,14000,3,noise,0.14372791579225,1536,0.01618119018773238,0.01225169499715184,50.127978006998696,0.0030848298532267413,0.14372836550076803
r6_s14000_l3,6,14000,3,noise,0.2874558315845,1536,0.07125794390837352,0.06397032737731934,102.97372182210286,0.0031321007603158555,0.28745607535044354
r6_s14000_l3,6,14000,3,noise,0.574911663169,1536,0.4310917655626933,0.4332714875539141,225.75203450520834,0.003251108340919018,0.5749120116233826
r6_s14000_l3,6,14000,3,noise,0.8623674947535,1536,1.3075278997421265,1.3503027757008867,346.45941162109375,0.003456653949494163,0.8623676101366679
r6_s14000_l3,6,14000,3,noise,1.149823326338,1536,2.300267060597738,2.3818150361378985,438.6987813313802,0.0036515149598320327,1.1498231093088787
r6_s14000_l4,6,14000,4,block,0.08762912538825,512,0.008331626653671265,-0.0013904571533203125,34.692138671875,0.0030798171646893024,0.08763086795806885
r6_s14000_l4,6,14000,4,block,0.1752582507765,512,0.03925715386867523,0.017218351364135742,73.38491821289062,0.003107263706624508,0.17525652050971985
r6_s14000_l4,6,14000,4,block,0.350516501553,512,0.25522929430007935,0.22417092323303223,171.39810180664062,0.003301034215837717,0.35051655769348145
r6_s14000_l4,6,14000,4,block,0.701033003106,512,1.650705337524414,1.6109020709991455,367.7582092285156,0.0035797134041786194,0.7010319232940674
r6_s14000_l4,6,14000,4,block,1.051549504659,512,3.010280132293701,2.961817502975464,488.9527587890625,0.0035680728033185005,1.0515477657318115
r6_s14000_l4,6,14000,4,block,1.402066006212,512,3.930522918701172,3.8960211277008057,558.5098876953125,0.0036504389718174934,1.4020646810531616
r6_s14000_l4,6,14000,4,noise,0.08762912538825,1536,0.017254446322719257,0.014717022577921401,48.67574691772461,0.0027107116766273975,0.08762923379739125
r6_s14000_l4,6,14000,4,noise,0.1752582507765,1536,0.06535244484742482,0.059188206990560044,96.06860605875652,0.002730046631768346,0.1752581795056661
r6_s14000_l4,6,14000,4,noise,0.350516501553,1536,0.24311259388923645,0.23866963386535645,186.83435567220053,0.0028473600589980683,0.3505165179570516
r6_s14000_l4,6,14000,4,noise,0.701033003106,1536,0.9907089869181315,1.0297265847524004,348.08214314778644,0.003146823806067308,0.7010327776273092
r6_s14000_l4,6,14000,4,noise,1.051549504659,1536,2.0983978112538657,2.17228102684021,467.5295817057292,0.003417500682796041,1.0515493551890056
r6_s14000_l4,6,14000,4,noise,1.402066006212,1536,3.092618703842163,3.2001655101776123,545.7344970703125,0.003572969464585185,1.4020655552546184
r6_s14000_l5,6,14000,5,block,0.042110129921875,512,0.0032956846989691257,-0.0015561580657958984,18.26642417907715,0.0032793653663247824,0.04211117699742317
r6_s14000_l5,6,14000,5,block,0.08422025984375,512,0.014716613106429577,-0.001573801040649414,36.99000549316406,0.0032648879569023848,0.08421795070171356
r6_s14000_l5,6,14000,5,block,0.1684405196875,512,0.054393455386161804,0.021450519561767578,75.40001678466797,0.003217427060008049,0.16844132542610168
r6_s14000_l5,6,14000,5,block,0.336881039375,512,0.21045778691768646,0.16023707389831543,160.61944580078125,0.0031471634283661842,0.3368808627128601
r6_s14000_l5,6,14000,5,block,0.5053215590625,512,0.553902268409729,0.4853646755218506,257.017578125,0.003060925053432584,0.5053233504295349
r6_s14000_l5,6,14000,5,block,0.67376207875,512,1.125658631324768,1.050471544265747,359.7838134765625,0.00311730382964015,0.6737619638442993
r6_s14000_l5,6,14000,5,noise,0.042110129921875,1536,0.005230632610619068,0.0007195472717285156,25.735822041829426,0.0026095379143953323,0.04211077590783437
r6_s14000_l5,6,14000,5,noise,0.08422025984375,1536,0.019858260328571003,0.010063966115315903,51.02291997273763,0.00261743056277434,0.08422039945920308
r6_s14000_l5,6,14000,5,noise,0.1684405196875,1536,0.06987033536036809,0.05376076698303223,99.68674977620442,0.0026508888695389032,0.16844050586223602
r6_s14000_l5,6,14000,5,noise,0.336881039375,1536,0.24585767090320587,0.23569790522257517,189.34140014648438,0.002762110515808066,0.33688093225161236
r6_s14000_l5,6,14000,5,noise,0.5053215590625,1536,0.5222639044125875,0.5276793638865156,268.9026184082031,0.0028969343596448502,0.5053211649258932
r6_s14000_l5,6,14000,5,noise,0.67376207875,1536,0.8928787112236023,0.914617458979289,339.39368693033856,0.0030574055078128972,0.6737615664800009
r6_s14000_l8,6,14000,8,block,0.050383620392875,512,0.005862995982170105,0.017055273056030273,23.325443267822266,0.0033991364762187004,0.05038459971547127
r6_s14000_l8,6,14000,8,block,0.10076724078575,512,0.021657850593328476,0.03700542449951172,47.1729850769043,0.003347850637510419,0.10076536238193512
r6_s14000_l8,6,14000,8,block,0.2015344815715,512,0.0745195671916008,0.09694766998291016,96.23491668701172,0.003290771273896098,0.20153391361236572
r6_s14000_l8,6,14000,8,block,0.403068963143,512,0.28169965744018555,0.3459341526031494,202.2552032470703,0.0032588220201432705,0.403067409992218
r6_s14000_l8,6,14000,8,block,0.6046034447145,512,0.7324584722518921,0.869459867477417,319.9348449707031,0.003445959649980068,0.6046028733253479
r6_s14000_l8,6,14000,8,block,0.806137926286,512,1.6383934020996094,1.8983194828033447,446.7138671875,0.0038313474506139755,0.8061392307281494
r6_s14000_l8,6,14000,8,noise,0.050383620392875,1536,0.006680501314500968,0.005036354064941406,27.26974614461263,0.0024770541737476983,0.05038414771358172
r6_s14000_l8,6,14000,8,noise,0.10076724078575,1536,0.023904406776030857,0.01844612757364894,53.787148793538414,0.0024891317201157412,0.10076750069856644
r6_s14000_l8,6,14000,8,noise,0.2015344815715,1536,0.07460037370522817,0.06509049733479833,104.4395243326823,0.002543110710879167,0.20153450469175974
r6_s14000_l8,6,14000,8,noise,0.403068963143,1536,0.23779690762360892,0.23421025276184082,197.25983174641928,0.002722698263823986,0.4030689001083374
r6_s14000_l8,6,14000,8,noise,0.6046034447145,1536,0.4892604947090149,0.5022459824879961,278.3080647786458,0.002921762022500237,0.6046032706896464
r6_s14000_l8,6,14000,8,noise,0.806137926286,1536,0.8175906737645467,0.8525904814402265,348.2440490722656,0.003093272758026918,0.8061375816663107
r6_s14000_l9,6,14000,9,block,0.04665528398125,512,0.00312217278406024,-0.002569437026977539,21.354381561279297,0.0033539177384227514,0.04665561765432358
r6_s14000_l9,6,14000,9,block,0.0933105679625,512,0.012784868478775024,2.8371810913085938e-05,43.490753173828125,0.0032885046675801277,0.09330916404724121
r6_s14000_l9,6,14000,9,block,0.186621135925,512,0.05447029322385788,0.0232541561126709,89.90150451660156,0.003188149305060506,0.18662066757678986
r6_s14000_l9,6,14000,9,block,0.37324227185,512,0.23622748255729675,0.16931843757629395,189.70152282714844,0.0030784644186496735,0.3732430338859558
r6_s14000_l9,6,14000,9,block,0.559863407775,512,0.5741301774978638,0.4868500232696533,296.25665283203125,0.003142319619655609,0.5598646402359009
r6_s14000_l9,6,14000,9,block,0.7464845437,512,1.1421042680740356,1.0577728748321533,403.35919189453125,0.003387394594028592,0.7464852333068848
r6_s14000_l9,6,14000,9,noise,0.04665528398125,1536,0.0048227243435879545,0.0028228759765625,25.504535675048828,0.0023942063562572002,0.04665601501862208
r6_s14000_l9,6,14000,9,noise,0.0933105679625,1536,0.018815569579601288,0.012839237848917495,50.501121520996094,0.002400403143838048,0.09331073611974716
r6_s14000_l9,6,14000,9,noise,0.186621135925,1536,0.06406884143749873,0.05104406674702977,98.71585591634114,0.002437522324422995,0.18662107487519583
r6_s14000_l9,6,14000,9,noise,0.37324227185,1536,0.20573927958806357,0.18772665659586574,188.5445556640625,0.0025653986570735774,0.37324246764183044
r6_s14000_l9,6,14000,9,noise,0.559863407775,1536,0.4265639583269755,0.41114211082458496,268.76169840494794,0.0027458331702897945,0.5598628322283427
r6_s14000_l9,6,14000,9,noise,0.7464845437,1536,0.7266421516736349,0.7177484035491943,338.63572184244794,0.002928097421924273,0.7464842200279236
r6_s72000_l1,6,72000,1,block,0.080252001091375,512,0.00736472150310874,0.014303922653198242,34.28255081176758,0.0030236649326980114,0.08025407791137695
r6_s72000_l1,6,72000,1,block,0.16050400218275,512,0.03211577981710434,0.04547595977783203,69.7215576171875,0.003074872540310025,0.16050340235233307
r6_s72000_l1,6,72000,1,block,0.3210080043655,512,0.18694749474525452,0.20187878608703613,160.0364532470703,0.0030144737102091312,0.32100823521614075
r6_s72000_l1,6,72000,1,block,0.642016008731,512,1.7094768285751343,1.7020690441131592,424.94866943359375,0.0031497878953814507,0.6420168280601501
r6_s72000_l1,6,72000,1,block,0.9630240130965,512,4.126530647277832,4.1767871379852295,584.4268188476562,0.003395289648324251,0.9630258679389954
r6_s72000_l1,6,72000,1,block,1.284032017462,512,5.007675647735596,5.096064329147339,634.4598388671875,0.003392069600522518,1.2840321063995361
r6_s72000_l1,6,72000,1,noise,0.080252001091375,1536,0.006122157908976078,0.012935002644856919,31.88586680094401,0.003040516749024391,0.0802521010239919
r6_s72000_l1,6,72000,1,noise,0.16050400218275,1536,0.024723762025435764,0.04281298319498683,63.251444498697914,0.003051549894735217,0.16050419708093008
r6_s72000_l1,6,72000,1,noise,0.3210080043655,1536,0.11209187656641006,0.1551422278086343,131.26600646972656,0.0030490911255280175,0.32100825508435565
r6_s72000_l1,6,72000,1,noise,0.642016008731,1536,0.711304247379303,0.7941079934438067,293.8294677734375,0.0030660669629772506,0.6420161922772726
r6_s72000_l1,6,72000,1,noise,0.9630240130965,1536,1.8881899515787761,1.956113576889038,421.3087158203125,0.0032504314246277013,0.963024377822876
r6_s72000_l1,6,72000,1,noise,1.284032017462,1536,2.9285698731740317,2.994176308314006,494.1541442871094,0.003436048747971654,1.2840326229731243
r6_s72000_l2,6,72000,2,block,0.073748332423875,512,0.005980045069009066,0.01131892204284668,31.23326873779297,0.003075012471526861,0.0737481340765953
r6_s72000_l2,6,72000,2,block,0.14749666484775,512,0.025758158415555954,0.03961014747619629,63.68970489501953,0.003029261250048876,0.1474958211183548
r6_s72000_l2,6,72000,2,block,0.2949933296955,512,0.14119765162467957,0.18468356132507324,143.94207763671875,0.0030319876968860626,0.2949940860271454
r6_s72000_l2,6,72000,2,block,0.589986659391,512,1.2500181198120117,1.2704341411590576,375.1005859375,0.003244655206799507,0.5899862051010132
r6_s72000_l2,6,72000,2,block,0.8849799890865,512,2.6967196464538574,2.786630392074585,508.2833557128906,0.003366937628015876,0.8849794864654541
r6_s72000_l2,6,72000,2,block,1.179973318782,512,4.07607364654541,4.23943305015564,584.9124755859375,0.0036390582099556923,1.1799709796905518
