target_id,run_id,step,layer,selected_beta,valid_fraction,comparisons,cosine_mean,cosine_median,cosine_q10,cosine_q90,cosine_sd,directional_disagreement,block_norm_mean,noise_norm_mean,log_noise_block_norm_ratio
r6_s14000_l1,6,14000,1,0.620363203761,1.0,13824,-0.00016449295680996833,-7.469293996109627e-05,-0.04690169729292393,0.04650985896587372,0.0362060888571152,1.0001644929568099,12.911938817033338,18.767049970657187,0.37395029793453566
r6_s14000_l2,6,14000,2,0.564408561834,1.0,13824,-0.0005202515460701155,-0.0008710147812962532,-0.04684839881956577,0.046044855564832704,0.036004263840332555,1.00052025154607,14.427362935410606,19.775967151961392,0.31534081294231564
r6_s14000_l3,6,14000,3,0.574911663169,1.0,13824,0.00032328124656106824,0.00046052774996496737,-0.0466106180101633,0.046507293358445174,0.036264875680398184,0.9996767187534389,16.102268242380685,21.90345400992643,0.30768419504759104
r6_s14000_l4,6,14000,4,0.701033003106,1.0,13824,0.00021846203837419428,1.9331637304276228e-05,-0.04589262083172798,0.04697854667901993,0.035974016849735176,0.9997815379616258,23.089392801539766,30.379999863880652,0.2744111666980635
r6_s14000_l5,6,14000,5,0.336881039375,1.0,13824,-0.00021219304714994693,-0.00015854197408771142,-0.04703250676393509,0.046111341938376425,0.03632246690948159,1.00021219304715,16.544356979015802,15.600071925876868,-0.05876955076696045
r6_s14000_l8,6,14000,8,0.403068963143,1.0,13824,0.00022008271653279815,2.1562949825693067e-06,-0.04573512412607669,0.04659566916525364,0.03604381895308982,0.9997799172834672,22.65305180164675,24.01180976787927,0.05825120274871428
r6_s14000_l9,6,14000,9,0.37324227185,1.0,13824,3.353425725757705e-05,0.0004751782398670912,-0.046872599050402634,0.046624265238642694,0.03639981994428121,0.9999664657427424,24.82656844953696,25.667674248762154,0.03331800068170932
r6_s72000_l1,6,72000,1,0.642016008731,1.0,13824,-0.0004202062028785957,2.0326707272033673e-05,-0.04727221056818962,0.04562830403447151,0.03628893305701795,1.0004202062028786,9.818598822794026,14.2468634472677,0.37225834740756214
r6_s72000_l2,6,72000,2,0.589986659391,1.0,13824,-0.0008304335078927204,-0.0008167149208020419,-0.046997454017400735,0.04518409259617329,0.03592861798523691,1.0008304335078928,11.655944186262786,15.613803236503843,0.2923390654144772
r6_s72000_l3,6,72000,3,0.648777101839,1.0,13824,0.0001133105538368408,7.72392304497771e-05,-0.04585438258945941,0.04670202806591989,0.0360931962273209,0.9998866894461632,13.05491897587975,17.68919849464739,0.30378920299409234
r6_s72000_l4,6,72000,4,0.729123600034,1.0,13824,0.0003027288970424517,0.00016577925998717546,-0.04541821666061878,0.04694808423519135,0.036019725042239534,0.9996972711029576,18.580791699596578,22.052983726616258,0.17131956634836873
r6_s72000_l5,6,72000,5,0.285218258752,1.0,13824,0.00034192027101869686,0.00010338773063267581,-0.04627084098756313,0.047227732092142115,0.03624890992016015,0.9996580797289814,12.313417809291018,9.147792880043939,-0.2971769117120075
r6_s72000_l6,6,72000,6,0.22985673747,1.0,13824,0.000219335160499204,0.0004443986981641501,-0.04633274860680103,0.0460546810179949,0.03579106384667271,0.9997806648395008,11.441098197777238,7.5516615032597825,-0.4154443719467568
r6_s72000_l9,6,72000,9,0.391422888087,1.0,13824,7.305764587433892e-05,-0.00011608079876168631,-0.04678709544241428,0.04698348678648473,0.03653932172224287,0.9999269423541257,23.815276411051553,22.51300868102246,-0.056233935040924714
r6_s143000_l1,6,143000,1,0.664078649987,1.0,13824,-0.0004231418768572055,-0.0003578568866942078,-0.04681180790066719,0.04597748778760434,0.03611390551481414,1.0004231418768572,5.444506925272031,7.411547063849866,0.30843200128398035
r6_s143000_l2,6,143000,2,0.664078649987,1.0,13824,-0.0007480111078748007,-0.000715993664925918,-0.04661060608923435,0.04501314274966717,0.03581064030816579,1.0007480111078748,7.041958355913973,9.167468251660466,0.2637748507746895
r6_s143000_l3,6,143000,3,0.726977669381,1.0,13824,-3.6949854000103254e-05,-0.0001037662623275537,-0.04671873301267624,0.04585791602730751,0.03597759454546991,1.000036949854,7.840251289825472,10.381669017900196,0.28077077039505244
r6_s143000_l4,6,143000,4,0.75,1.0,13824,5.018567906568528e-05,-0.00017554577789269388,-0.04635755270719528,0.04638418294489385,0.03610419558397886,0.9999498143209343,10.911741729618775,11.775663199662059,0.07619552865768979
r6_s143000_l5,6,143000,5,0.416817701285,1.0,13824,0.00027875931082199656,0.00042374213808216155,-0.04552689753472804,0.046071470156312,0.03597701892068193,0.999721240689178,8.514650588544706,7.542044952373813,-0.12129491936632672
r6_s143000_l8,6,143000,8,0.38447851062,1.0,13824,-0.00045356520832448463,-0.0004988662549294531,-0.04706913903355598,0.04582838714122772,0.03633202254559681,1.0004535652083244,14.783417884053456,9.74447836999402,-0.41680533583512214
r6_s143000_l9,6,143000,9,0.437510816892,1.0,13824,6.1005863313923214e-05,-0.00043951859697699547,-0.04559875205159187,0.04590033032000067,0.036204987531281464,0.9999389941366861,16.41673108521435,11.62870656033219,-0.34482425836168795
