experiment,magnitude_definition,run_id,stage,step,high_layer,high_alpha,low_layer,low_alpha,high_top1_damage,low_top1_damage,directional_ds_contrast,high_kl,low_kl,absolute_kl_gap,high_nll_damage,low_nll_damage,absolute_nll_gap,high_magnitude,low_magnitude,magnitude_log_gap,magnitude_ratio,match_score
A,activation_absolute_rms,1,pilot,14000,2,1.0,8,0.75,0.3973524305555555,0.19856770833333334,0.19878472222222218,0.5368219614028931,0.0998788658115599,0.43694309559133315,0.48881491025288915,0.163419935438368,0.3253949748145212,0.5136908292770386,0.5145860380596585,0.0017411828219123947,1.001742699560901,0.013899161396835374
A,activation_absolute_rms,1,pilot,14000,3,0.75,5,1.0,0.369140625,0.2823350694444445,0.08680555555555552,0.45364171266555786,0.2374751054578357,0.21616660720772216,0.4477458794911701,0.2689779334598117,0.17876794603135843,0.5918451084030999,0.5939652456177605,0.00357584915092121,1.0035822501268636,0.03535635307616645
A,activation_absolute_rms,1,pilot,14000,6,1.0,8,1.0,0.3224826388888889,0.2699652777777778,0.052517361111111105,0.3485499123732249,0.19049122598436144,0.15805868638886347,0.4224251641167534,0.28213980462816,0.1402853594885934,0.69133989016215,0.6861151456832886,0.007586119908868962,1.007614967417252,0.0780134284285337
A,activation_absolute_rms,1,pilot,14000,9,1.0,10,0.75,0.2795138888888889,0.2547743055555555,0.02473958333333337,0.24270822604497275,0.15181958013110688,0.09088864591386586,0.2424730194939504,0.2125718063778348,0.0299012131161156,0.8751060101721021,0.8673067291577657,0.008952337098137987,1.0089925291158643,0.09301955976263368
A,activation_absolute_rms,1,pilot,14000,1,1.0,5,0.75,0.4244791666666667,0.20529513888888892,0.21918402777777776,0.6551088889439901,0.11598465922805996,0.5391242297159301,0.6822634538014728,0.1321152846018475,0.5501481691996253,0.44984094964133364,0.4454736643367343,0.009755944727472723,1.009803689093724,0.09696870233312062
A,activation_absolute_rms,1,pilot,14000,6,0.75,7,0.75,0.23350694444444445,0.20138888888888887,0.03211805555555558,0.15926946534050837,0.10811818805005814,0.05115127729045023,0.2045480675167508,0.10725532637702084,0.09729274113972997,0.5185045997301737,0.5237845447328355,0.01013152673653022,1.010183024423331,0.1057890603382846
A,activation_absolute_rms,1,pilot,14000,1,0.75,8,0.5,0.3142361111111111,0.13498263888888887,0.17925347222222224,0.3210617767439948,0.04170981173714002,0.2793519650068548,0.3360300064086916,0.08088673485649951,0.2551432715521921,0.3373807900481754,0.3430575728416443,0.016686050685320634,1.0168260403701654,0.17227750339886147
A,activation_absolute_rms,1,pilot,14000,2,0.75,3,0.5,0.2736545138888889,0.2065972222222222,0.06705729166666669,0.23040802280108133,0.12572730580965677,0.10468071699142456,0.1875983874003091,0.1271852387322321,0.06041314866807701,0.38526819811926943,0.39456217156516177,0.023837013471572712,1.0241233859718033,0.24905253710276387
A,activation_absolute_rms,1,pilot,14000,5,0.5,10,0.25,0.13563368055555555,0.08593750000000004,0.04969618055555551,0.04579157920347319,0.01516330304245154,0.03062827616102165,0.051214271121554855,0.0343239307403563,0.016890340381198556,0.29698262280888027,0.2891023887528314,0.02689271632014608,1.0272575888772268,0.28185367512911824
A,activation_absolute_rms,1,pilot,14000,1,0.5,9,0.25,0.1781684027777778,0.07074652777777779,0.107421875,0.08659533659617107,0.011571903920008078,0.07502343267616299,0.09075437651740155,0.007299794091118657,0.0834545824262829,0.22492047482066682,0.21877650254302553,0.027696222104933495,1.0280833279910075,0.28984015341350694
A,activation_absolute_rms,1,pilot,14000,4,1.0,10,0.5,0.30273437499999994,0.16905381944444445,0.1336805555555555,0.3031210336420271,0.06318408788906203,0.23993694575296504,0.3282493220435249,0.10226387447781023,0.2259854475657147,0.5552795463138156,0.5782047775056628,0.04045641827915731,1.0412859276809938,0.4220717454036082
A,activation_absolute_rms,1,pilot,14000,4,0.75,9,0.5,0.21896701388888887,0.1371527777777778,0.08181423611111108,0.1426354158255789,0.05020470834440655,0.09243070748117235,0.15395516819424104,0.04445197847154395,0.1095031897226971,0.41645945111910504,0.43755300508605105,0.049408752330641056,1.0506497185026384,0.5174752220424234
A,activation_absolute_rms,1,pilot,14000,7,1.0,9,0.75,0.2738715277777778,0.20985243055555555,0.06401909722222224,0.21800638569725883,0.1233420620361964,0.09466432366106244,0.22636331452263722,0.11887836456298813,0.10748494995964909,0.6983796887927586,0.6563297642601861,0.06209956955878922,1.0640682882635546,0.650605685027608
A,activation_absolute_rms,1,pilot,72000,3,1.0,9,0.75,0.6686197916666666,0.2571614583333333,0.4114583333333333,1.8324519660737781,0.21259782877233294,1.6198541373014452,1.8522934648725722,0.1858238644070096,1.6664696004655626,0.6465286148918999,0.6502913965119256,0.005803106285473316,1.005819976925004,0.044687990342561906
A,activation_absolute_rms,1,pilot,72000,1,1.0,6,0.75,0.4503038194444444,0.2717013888888889,0.17860243055555552,0.8050263259145948,0.20728510949346757,0.5977412164211272,0.8112180762820774,0.2537713050842287,0.5574467711978488,0.3683816923035516,0.3703519172138638,0.005334073220401177,1.005348324717203,0.04998799710636415
A,activation_absolute_rms,1,pilot,72000,2,1.0,5,1.0,0.458984375,0.3070746527777778,0.1519097222222222,0.7986855374442207,0.2841256592008803,0.5145598782433404,0.7629110813140869,0.28326426612006284,0.4796468151940241,0.42498035232226056,0.42927597628699404,0.010057075440863894,1.010107817787953,0.10037382696528227
A,activation_absolute_rms,1,pilot,72000,5,0.5,9,0.25,0.14952256944444442,0.08398437500000004,0.06553819444444438,0.06294190304146872,0.016932898201048374,0.04600900484042035,0.05214715003967285,0.0067042774624293715,0.04544287257724348,0.21463798814349702,0.21676393184396955,0.009856056785048042,1.0099047876792957,0.10295023616525802
A,activation_absolute_rms,1,pilot,72000,2,0.75,5,0.75,0.3098958333333333,0.22786458333333334,0.08203124999999997,0.3038085301717122,0.14951271646552614,0.15429581370618609,0.2642944388919406,0.14148010147942433,0.12281433741251627,0.3187352650695377,0.3219569292333391,0.01005690828151106,1.010107648938998,0.10397471376491375
