epoch,loss,answer_loss,aux_loss
1,6.011514874013265,3.2941019524892172,2.717412922732035
2,3.4809417107899985,2.5136007600148518,0.9673409504731496
3,1.829475930404663,1.6897090234120686,0.13976690265933672
4,1.0694198196729023,1.0328090423901877,0.03661077651083469
5,0.5817304199854533,0.5660036911010742,0.015726728309690952
6,0.33681638374328615,0.3281088073730469,0.008707576050112645
7,0.1880389208316803,0.18349082441329956,0.004548095893238981
8,0.1111015530069669,0.10812544278303782,0.0029761096311112247
9,0.07640044777393341,0.07360033926963806,0.0028001089332004387
10,0.051174791793028515,0.049756161256631216,0.0014186304966608684
11,0.02326514480014642,0.022543242155512174,0.0007219027040991932
12,0.008666425958151619,0.008283798801650604,0.00038262713751755655
13,0.0026478027552366257,0.00239619385804981,0.00025160889630205927
14,0.0017722830050935347,0.0015609296557803948,0.00021135334975551815
15,0.001589766081298391,0.0014030729415516058,0.00018669313989424458
16,0.0012778680197894573,0.001106218695330123,0.00017164932490171245
17,0.001192425179046889,0.0010274025356397033,0.00016502264340718587
18,0.001165407824764649,0.0010044584436031678,0.00016094938116148114
19,0.001133229589772721,0.0009754163822159171,0.0001578132072618852
20,0.0010987833261179426,0.0009413305480964482,0.00015745277802149454
